experiment,round,avg_center_control
B1_full_sharing,10,4.995
B1_full_sharing,20,5.115
B1_full_sharing,30,5.3100000000000005
B1_full_sharing,40,5.0649999999999995
B1_full_sharing,50,5.49
B1_full_sharing,60,5.5
B1_full_sharing,70,5.48
B1_full_sharing,90,5.49
B1_full_sharing,100,5.38
B1_full_sharing,110,5.21
B1_full_sharing,120,5.37
B1_full_sharing,130,5.415
B1_full_sharing,140,5.675
B1_full_sharing,150,5.654999999999999
B1_full_sharing,160,5.51
B1_full_sharing,170,5.405
B1_full_sharing,180,5.455
B1_full_sharing,190,5.365
B1_full_sharing,200,5.375
B1_full_sharing,210,5.205
B1_full_sharing,220,5.369999999999999
B1_full_sharing,230,5.395
B1_full_sharing,240,5.3100000000000005
B1_full_sharing,250,5.605
B1_full_sharing,260,5.49
B1_full_sharing,270,5.74
B1_full_sharing,280,5.485
B1_full_sharing,290,5.71
B1_full_sharing,300,5.385
B1_full_sharing,310,5.48
B1_full_sharing,320,5.470000000000001
B1_full_sharing,330,5.425000000000001
B1_full_sharing,340,5.369999999999999
B1_full_sharing,350,5.68
B2_no_sharing,10,4.965
B2_no_sharing,20,5.015
B2_no_sharing,30,5.215
B2_no_sharing,40,5.295
B2_no_sharing,50,5.195
B2_no_sharing,60,5.375
B2_no_sharing,70,5.055
B2_no_sharing,80,5.425
B2_no_sharing,90,5.105
B2_no_sharing,100,5.234999999999999
B2_no_sharing,110,5.38
B2_no_sharing,120,5.24
B2_no_sharing,130,5.515000000000001
B2_no_sharing,140,5.43
B2_no_sharing,150,5.585
B2_no_sharing,160,5.574999999999999
B2_no_sharing,170,5.4350000000000005
B2_no_sharing,180,5.63
B2_no_sharing,190,5.6
B2_no_sharing,200,5.295
B2_no_sharing,210,5.275
B2_no_sharing,220,5.41
B2_no_sharing,230,5.635
B2_no_sharing,240,5.595000000000001
B2_no_sharing,250,5.345000000000001
B2_no_sharing,260,5.475
B2_no_sharing,270,5.62
B2_no_sharing,280,5.5600000000000005
B2_no_sharing,290,5.255
B2_no_sharing,300,5.335
B2_no_sharing,310,5.695
B2_no_sharing,320,5.615
B2_no_sharing,330,5.255
B2_no_sharing,340,5.49
B2_no_sharing,350,5.5649999999999995
P1_share_early,10,5.26
P1_share_early,20,4.93
P1_share_early,30,5.23
P1_share_early,40,5.359999999999999
P1_share_early,50,5.045
P1_share_early,60,5.135
P1_share_early,70,5.4350000000000005
P1_share_early,80,4.96
P1_share_early,90,5.41
P1_share_early,100,5.595000000000001
P1_share_early,110,5.63
P1_share_early,120,5.140000000000001
P1_share_early,130,5.425
P1_share_early,140,5.605
P1_share_early,150,5.385
P1_share_early,160,5.57
P1_share_early,170,5.404999999999999
P1_share_early,180,5.779999999999999
P1_share_early,190,5.39
P1_share_early,200,5.365
P1_share_early,210,5.565
P1_share_early,220,5.4399999999999995
P1_share_early,230,5.26
P1_share_early,240,5.285
P1_share_early,250,5.425
P1_share_early,260,5.140000000000001
P1_share_early,270,5.645
P1_share_early,280,5.34
P1_share_early,290,5.5
P1_share_early,300,5.395
P1_share_early,310,5.3100000000000005
P1_share_early,320,5.65
P1_share_early,330,5.765000000000001
P1_share_early,340,5.355
P1_share_early,350,5.51
P2_share_middle,10,4.99
P2_share_middle,20,5.175000000000001
P2_share_middle,30,5.095000000000001
P2_share_middle,40,5.199999999999999
P2_share_middle,50,5.105
P2_share_middle,60,5.345000000000001
P2_share_middle,70,5.3149999999999995
P2_share_middle,80,5.25
P2_share_middle,90,5.615
P2_share_middle,100,5.455
P2_share_middle,110,5.545
P2_share_middle,120,5.35
P2_share_middle,130,5.39
P2_share_middle,140,5.4350000000000005
P2_share_middle,150,5.395
P2_share_middle,160,5.52
P2_share_middle,170,5.64
P2_share_middle,180,5.48
P2_share_middle,190,5.33
P2_share_middle,200,5.59
P2_share_middle,210,5.545
P2_share_middle,220,5.515
P2_share_middle,230,5.279999999999999
