experiment,round,avg_attacked_material,avg_captures
B1_full_sharing,10,59.235,13.0
B1_full_sharing,20,57.364999999999995,13.08
B1_full_sharing,30,58.599999999999994,13.45
B1_full_sharing,40,55.735,14.215
B1_full_sharing,50,67.4,14.3
B1_full_sharing,60,62.879999999999995,13.48
B1_full_sharing,70,65.715,13.07
B1_full_sharing,90,65.285,11.98
B1_full_sharing,100,67.235,13.42
B1_full_sharing,110,68.665,13.850000000000001
B1_full_sharing,120,69.82,14.17
B1_full_sharing,130,69.35,14.43
B1_full_sharing,140,66.535,13.25
B1_full_sharing,150,66.785,13.415
B1_full_sharing,160,65.93,14.45
B1_full_sharing,170,68.63,14.870000000000001
B1_full_sharing,180,70.43,14.435
B1_full_sharing,190,69.6,13.45
B1_full_sharing,200,76.965,16.585
B1_full_sharing,210,76.9,14.23
B1_full_sharing,220,73.35,14.68
B1_full_sharing,230,67.55,15.25
B1_full_sharing,240,69.05000000000001,15.015
B1_full_sharing,250,67.915,13.85
B1_full_sharing,260,78.33500000000001,15.885000000000002
B1_full_sharing,270,71.88499999999999,14.535
B1_full_sharing,280,65.45,13.515
B1_full_sharing,290,67.80000000000001,13.4
B1_full_sharing,300,69.87,14.18
B1_full_sharing,310,75.33500000000001,13.9
B1_full_sharing,320,76.965,15.52
B1_full_sharing,330,72.75,14.2
B1_full_sharing,340,72.9,15.350000000000001
B1_full_sharing,350,71.015,14.45
B2_no_sharing,10,53.85,13.0
B2_no_sharing,20,54.47,13.9
B2_no_sharing,30,58.77,12.85
B2_no_sharing,40,63.215,12.67
B2_no_sharing,50,58.400000000000006,13.149999999999999
B2_no_sharing,60,61.685,13.3
B2_no_sharing,70,69.185,14.635
B2_no_sharing,80,66.35,12.05
B2_no_sharing,90,68.215,13.45
B2_no_sharing,100,67.47,14.485
B2_no_sharing,110,67.97,14.75
B2_no_sharing,120,73.16999999999999,14.4
B2_no_sharing,130,73.88499999999999,15.685
B2_no_sharing,140,65.285,14.35
B2_no_sharing,150,70.43,14.315
B2_no_sharing,160,67.68,15.614999999999998
B2_no_sharing,170,70.265,14.45
B2_no_sharing,180,69.55,14.77
B2_no_sharing,190,74.9,15.05
B2_no_sharing,200,68.065,14.434999999999999
B2_no_sharing,210,73.815,15.365
B2_no_sharing,220,67.535,14.885
B2_no_sharing,230,72.565,14.835
B2_no_sharing,240,76.185,15.75
B2_no_sharing,250,69.265,16.735
B2_no_sharing,260,76.80000000000001,15.735
B2_no_sharing,270,73.285,15.399999999999999
B2_no_sharing,280,71.365,15.715
B2_no_sharing,290,67.515,12.7
B2_no_sharing,300,64.615,14.365
B2_no_sharing,310,72.235,14.73
B2_no_sharing,320,71.565,15.465
B2_no_sharing,330,72.37,15.370000000000001
B2_no_sharing,340,76.665,15.264999999999999
B2_no_sharing,350,67.53,14.43
P1_share_early,10,52.435,11.75
P1_share_early,20,58.585,12.1
P1_share_early,30,58.629999999999995,12.45
P1_share_early,40,69.47,13.649999999999999
P1_share_early,50,65.55,14.55
P1_share_early,60,62.765,13.17
P1_share_early,70,63.8,13.98
P1_share_early,80,65.15,16.299999999999997
P1_share_early,90,72.57,13.32
P1_share_early,100,69.615,13.469999999999999
P1_share_early,110,74.965,14.665
P1_share_early,120,68.435,13.565000000000001
P1_share_early,130,68.83,13.615
P1_share_early,140,70.2,13.120000000000001
P1_share_early,150,65.78,14.4
P1_share_early,160,72.685,13.7
P1_share_early,170,70.25,13.899999999999999
P1_share_early,180,69.735,13.8
P1_share_early,190,66.83500000000001,15.25
P1_share_early,200,68.315,13.135
P1_share_early,210,73.735,14.184999999999999
P1_share_early,220,69.6,15.35
P1_share_early,230,75.08500000000001,14.985
P1_share_early,240,68.165,15.48
P1_share_early,250,69.3,14.2
P1_share_early,260,75.015,15.620000000000001
P1_share_early,270,75.815,15.3
P1_share_early,280,67.17,13.850000000000001
P1_share_early,290,76.685,14.465
P1_share_early,300,67.565,15.935
P1_share_early,310,75.315,17.020000000000003
P1_share_early,320,74.715,15.115
P1_share_early,330,72.8,13.280000000000001
P1_share_early,340,67.6,14.434999999999999
P1_share_early,350,72.75,14.55
P2_share_middle,10,55.265,11.879999999999999
P2_share_middle,20,51.235,13.065
P2_share_middle,30,66.435,15.185
P2_share_middle,40,68.32,12.899999999999999
P2_share_middle,50,58.13,14.085
P2_share_middle,60,67.41499999999999,13.885
P2_share_middle,70,64.765,13.635
P2_share_middle,80,65.23,14.065
P2_share_middle,90,67.67,14.45
P2_share_middle,100,63.900000000000006,15.370000000000001
P2_share_middle,110,70.265,13.7
P2_share_middle,120,73.6,15.1
P2_share_middle,130,69.87,13.565000000000001
P2_share_middle,140,68.07,13.3
P2_share_middle,150,72.36500000000001,12.75
P2_share_middle,160,63.129999999999995,13.65
P2_share_middle,170,71.05,14.515
P2_share_middle,180,67.515,13.9
P2_share_middle,190,71.87,14.335
P2_share_middle,200,73.185,14.515
P2_share_middle,210,73.62,15.55
P2_share_middle,220,69.635,15.05
P2_share_middle,230,61.335,13.485
P2_share_middle,240,72.66499999999999,16.065
P2_share_middle,250,70.75,12.965
P2_share_middle,260,73.83500000000001,14.615
P2_share_middle,270,72.08500000000001,16.799999999999997
P2_share_middle,280,74.6,15.015
P2_share_middle,290,75.515,14.4
P2_share_middle,300,71.11500000000001,15.649999999999999
P2_share_middle,310,77.15,15.614999999999998
P2_share_middle,320,72.95,14.915
P2_share_middle,330,68.385,14.899999999999999
P2_share_middle,340,71.715,14.780000000000001
P2_share_middle,350,71.94999999999999,15.75
P3_share_late,10,51.635,11.915
P3_share_late,20,57.55,11.6
P3_share_late,30,55.215,14.05
P3_share_late,40,60.614999999999995,13.92
P3_share_late,50,68.1,13.719999999999999
P3_share_late,60,61.085,13.8
P3_share_late,70,65.985,13.515
P3_share_late,80,60.865,13.83
P3_share_late,90,65.12,14.0
P3_share_late,100,68.815,15.33
P3_share_late,110,71.47,14.315
P3_share_late,120,66.05000000000001,13.9
P3_share_late,130,71.92,14.0
P3_share_late,140,69.5,14.399999999999999
P3_share_late,150,70.935,14.07
P3_share_late,160,69.785,14.535
P3_share_late,170,69.58500000000001,13.42
P3_share_late,180,70.48,14.934999999999999
P3_share_late,190,66.38499999999999,14.95
P3_share_late,200,77.465,14.48
P3_share_late,210,72.05,15.2
P3_share_late,220,65.86500000000001,14.535
P3_share_late,230,67.43,16.285
P3_share_late,240,75.765,14.835
P3_share_late,250,79.4,17.415
P3_share_late,260,73.0,15.27
P3_share_late,270,72.91499999999999,14.95
P3_share_late,280,68.41499999999999,16.535
P3_share_late,290,74.185,16.065
P3_share_late,300,71.9,14.335
P3_share_late,310,66.57,14.85
P3_share_late,320,68.45,14.75
P3_share_late,330,70.33500000000001,14.684999999999999
P3_share_late,340,71.785,15.865
