experiment,round,avg_move_diversity
B1_full_sharing,10,0.6405000000000001
B1_full_sharing,20,0.6775
B1_full_sharing,30,0.6785000000000001
B1_full_sharing,40,0.659
B1_full_sharing,50,0.683
B1_full_sharing,60,0.665
B1_full_sharing,70,0.685
B1_full_sharing,90,0.652
B1_full_sharing,100,0.6214999999999999
B1_full_sharing,110,0.62
B1_full_sharing,120,0.647
B1_full_sharing,130,0.6265000000000001
B1_full_sharing,140,0.6225
B1_full_sharing,150,0.6295
B1_full_sharing,160,0.6265000000000001
B1_full_sharing,170,0.5945
B1_full_sharing,180,0.613
B1_full_sharing,190,0.607
B1_full_sharing,200,0.609
B1_full_sharing,210,0.64
B1_full_sharing,220,0.6615
B1_full_sharing,230,0.649
B1_full_sharing,240,0.5754999999999999
B1_full_sharing,250,0.638
B1_full_sharing,260,0.63
B1_full_sharing,270,0.646
B1_full_sharing,280,0.601
B1_full_sharing,290,0.633
B1_full_sharing,300,0.6255
B1_full_sharing,310,0.634
B1_full_sharing,320,0.61
B1_full_sharing,330,0.605
B1_full_sharing,340,0.614
B1_full_sharing,350,0.596
B2_no_sharing,10,0.681
B2_no_sharing,20,0.6435
B2_no_sharing,30,0.6739999999999999
B2_no_sharing,40,0.6425000000000001
B2_no_sharing,50,0.6805
B2_no_sharing,60,0.6325000000000001
B2_no_sharing,70,0.6465000000000001
B2_no_sharing,80,0.6255
B2_no_sharing,90,0.6255
B2_no_sharing,100,0.635
B2_no_sharing,110,0.652
B2_no_sharing,120,0.6435
B2_no_sharing,130,0.6094999999999999
B2_no_sharing,140,0.6194999999999999
B2_no_sharing,150,0.6114999999999999
B2_no_sharing,160,0.64
B2_no_sharing,170,0.609
B2_no_sharing,180,0.6315
B2_no_sharing,190,0.604
B2_no_sharing,200,0.6565000000000001
B2_no_sharing,210,0.624
B2_no_sharing,220,0.6165
B2_no_sharing,230,0.6154999999999999
B2_no_sharing,240,0.6034999999999999
B2_no_sharing,250,0.6114999999999999
B2_no_sharing,260,0.6225
B2_no_sharing,270,0.623
B2_no_sharing,280,0.637
B2_no_sharing,290,0.62
B2_no_sharing,300,0.5965
B2_no_sharing,310,0.613
B2_no_sharing,320,0.648
B2_no_sharing,330,0.6194999999999999
B2_no_sharing,340,0.628
B2_no_sharing,350,0.6255
P1_share_early,10,0.667
P1_share_early,20,0.685
P1_share_early,30,0.6715
P1_share_early,40,0.6705000000000001
P1_share_early,50,0.643
P1_share_early,60,0.652
P1_share_early,70,0.6174999999999999
P1_share_early,80,0.6355
P1_share_early,90,0.651
P1_share_early,100,0.641
P1_share_early,110,0.6275
P1_share_early,120,0.606
P1_share_early,130,0.607
P1_share_early,140,0.6054999999999999
P1_share_early,150,0.613
P1_share_early,160,0.6034999999999999
P1_share_early,170,0.6085
P1_share_early,180,0.595
P1_share_early,190,0.633
P1_share_early,200,0.6265000000000001
P1_share_early,210,0.6275
P1_share_early,220,0.6154999999999999
P1_share_early,230,0.62
P1_share_early,240,0.584
P1_share_early,250,0.6225
P1_share_early,260,0.6405000000000001
P1_share_early,270,0.6005
P1_share_early,280,0.6145
P1_share_early,290,0.6094999999999999
P1_share_early,300,0.6185
P1_share_early,310,0.617
P1_share_early,320,0.6074999999999999
P1_share_early,330,0.6080000000000001
P1_share_early,340,0.626
P1_share_early,350,0.5874999999999999
P2_share_middle,10,0.651
P2_share_middle,20,0.6659999999999999
P2_share_middle,30,0.629
P2_share_middle,40,0.6595
P2_share_middle,50,0.634
P2_share_middle,60,0.6165
P2_share_middle,70,0.632
P2_share_middle,80,0.6275
P2_share_middle,90,0.6285000000000001
P2_share_middle,100,0.638
P2_share_middle,110,0.613
P2_share_middle,120,0.607
P2_share_middle,130,0.6265000000000001
P2_share_middle,140,0.641
P2_share_middle,150,0.643
P2_share_middle,160,0.6234999999999999
P2_share_middle,170,0.634
P2_share_middle,180,0.6455
P2_share_middle,190,0.617
P2_share_middle,200,0.6094999999999999
P2_share_middle,210,0.628
P2_share_middle,220,0.6425000000000001
P2_share_middle,230,0.604
P2_share_middle,240,0.643
P2_share_middle,250,0.6185
P2_share_middle,260,0.5854999999999999
P2_share_middle,270,0.6315
P2_share_middle,280,0.6315
P2_share_middle,290,0.6
P2_share_middle,300,0.6275
P2_share_middle,310,0.6315
P2_share_middle,320,0.62
P2_share_middle,330,0.611
P2_share_middle,340,0.613
P2_share_middle,350,0.596
P3_share_late,10,0.651
P3_share_late,20,0.7015
P3_share_late,30,0.6890000000000001
P3_share_late,40,0.647
P3_share_late,50,0.6605000000000001
P3_share_late,60,0.6485000000000001
P3_share_late,70,0.6234999999999999
P3_share_late,80,0.641
P3_share_late,90,0.6265000000000001
P3_share_late,100,0.6265000000000001
P3_share_late,110,0.625
P3_share_late,120,0.63
P3_share_late,130,0.603
P3_share_late,140,0.6045
P3_share_late,150,0.623
P3_share_late,160,0.61
P3_share_late,170,0.642
P3_share_late,180,0.611
P3_share_late,190,0.625
P3_share_late,200,0.6205
P3_share_late,210,0.6305000000000001
P3_share_late,220,0.65
