experiment,layer_group,round,divergence
B1_full_sharing,input_block,10,-1e-06
B1_full_sharing,input_block,20,-1e-06
B1_full_sharing,input_block,30,-1e-06
B1_full_sharing,input_block,40,-1e-06
B1_full_sharing,input_block,50,-1e-06
B1_full_sharing,input_block,60,-1e-06
B1_full_sharing,input_block,70,-1e-06
B1_full_sharing,input_block,90,-1e-06
B1_full_sharing,input_block,100,-2e-06
B1_full_sharing,input_block,110,-2e-06
B1_full_sharing,input_block,120,-1e-06
B1_full_sharing,input_block,130,-1e-06
B1_full_sharing,input_block,140,-1e-06
B1_full_sharing,input_block,150,-1e-06
B1_full_sharing,input_block,160,-1e-06
B1_full_sharing,input_block,170,-1e-06
B1_full_sharing,input_block,180,-1e-06
B1_full_sharing,input_block,190,-1e-06
B1_full_sharing,input_block,200,-1e-06
B1_full_sharing,input_block,210,-1e-06
B1_full_sharing,input_block,220,-2e-06
B1_full_sharing,input_block,230,-2e-06
B1_full_sharing,input_block,240,-1e-06
B1_full_sharing,input_block,250,-1e-06
B1_full_sharing,input_block,260,-2e-06
B1_full_sharing,input_block,270,-1e-06
B1_full_sharing,input_block,280,-1e-06
B1_full_sharing,input_block,290,-1e-06
B1_full_sharing,input_block,300,-2e-06
B1_full_sharing,input_block,310,-1e-06
B1_full_sharing,input_block,320,-2e-06
B1_full_sharing,input_block,330,-1e-06
B1_full_sharing,input_block,340,-2e-06
B1_full_sharing,input_block,350,-2e-06
B1_full_sharing,early_residual,10,0.582804
B1_full_sharing,early_residual,20,0.567471
B1_full_sharing,early_residual,30,0.562911
B1_full_sharing,early_residual,40,0.556236
B1_full_sharing,early_residual,50,0.550232
B1_full_sharing,early_residual,60,0.548052
B1_full_sharing,early_residual,70,0.54627
B1_full_sharing,early_residual,90,0.545446
B1_full_sharing,early_residual,100,0.544124
B1_full_sharing,early_residual,110,0.546034
B1_full_sharing,early_residual,120,0.544221
B1_full_sharing,early_residual,130,0.545032
B1_full_sharing,early_residual,140,0.546762
B1_full_sharing,early_residual,150,0.547701
B1_full_sharing,early_residual,160,0.546388
B1_full_sharing,early_residual,170,0.546833
B1_full_sharing,early_residual,180,0.54765
B1_full_sharing,early_residual,190,0.548944
B1_full_sharing,early_residual,200,0.548719
B1_full_sharing,early_residual,210,0.549507
B1_full_sharing,early_residual,220,0.550732
B1_full_sharing,early_residual,230,0.551892
B1_full_sharing,early_residual,240,0.551183
B1_full_sharing,early_residual,250,0.551384
B1_full_sharing,early_residual,260,0.551812
B1_full_sharing,early_residual,270,0.552644
B1_full_sharing,early_residual,280,0.552238
B1_full_sharing,early_residual,290,0.552391
B1_full_sharing,early_residual,300,0.553552
B1_full_sharing,early_residual,310,0.554336
B1_full_sharing,early_residual,320,0.554902
B1_full_sharing,early_residual,330,0.555182
B1_full_sharing,early_residual,340,0.555413
B1_full_sharing,early_residual,350,0.555594
B1_full_sharing,middle_residual,10,0.672535
B1_full_sharing,middle_residual,20,0.667063
B1_full_sharing,middle_residual,30,0.680986
B1_full_sharing,middle_residual,40,0.676406
B1_full_sharing,middle_residual,50,0.66901
B1_full_sharing,middle_residual,60,0.676157
B1_full_sharing,middle_residual,70,0.670244
B1_full_sharing,middle_residual,90,0.667975
B1_full_sharing,middle_residual,100,0.666036
B1_full_sharing,middle_residual,110,0.66759
B1_full_sharing,middle_residual,120,0.667239
B1_full_sharing,middle_residual,130,0.665279
B1_full_sharing,middle_residual,140,0.668015
B1_full_sharing,middle_residual,150,0.666387
B1_full_sharing,middle_residual,160,0.666169
B1_full_sharing,middle_residual,170,0.672453
B1_full_sharing,middle_residual,180,0.667897
B1_full_sharing,middle_residual,190,0.667056
B1_full_sharing,middle_residual,200,0.663221
B1_full_sharing,middle_residual,210,0.664783
B1_full_sharing,middle_residual,220,0.668358
B1_full_sharing,middle_residual,230,0.666568
B1_full_sharing,middle_residual,240,0.66363
B1_full_sharing,middle_residual,250,0.665582
B1_full_sharing,middle_residual,260,0.665942
B1_full_sharing,middle_residual,270,0.66621
B1_full_sharing,middle_residual,280,0.662321
B1_full_sharing,middle_residual,290,0.661369
B1_full_sharing,middle_residual,300,0.663465
B1_full_sharing,middle_residual,310,0.664154
B1_full_sharing,middle_residual,320,0.664843
B1_full_sharing,middle_residual,330,0.665181
B1_full_sharing,middle_residual,340,0.665651
B1_full_sharing,middle_residual,350,0.665981
B1_full_sharing,policy_head,10,-1e-06
B1_full_sharing,policy_head,20,-2e-06
B1_full_sharing,policy_head,30,-1e-06
B1_full_sharing,policy_head,40,-3e-06
B1_full_sharing,policy_head,50,-2e-06
B1_full_sharing,policy_head,60,-2e-06
B1_full_sharing,policy_head,70,-4e-06
B1_full_sharing,policy_head,90,-3e-06
B1_full_sharing,policy_head,100,-3e-06
B1_full_sharing,policy_head,110,-4e-06
B1_full_sharing,policy_head,120,-4e-06
B1_full_sharing,policy_head,130,-3e-06
B1_full_sharing,policy_head,140,-3e-06
B1_full_sharing,policy_head,150,-3e-06
B1_full_sharing,policy_head,160,-3e-06
B1_full_sharing,policy_head,170,-3e-06
B1_full_sharing,policy_head,180,-4e-06
B1_full_sharing,policy_head,190,-4e-06
B1_full_sharing,policy_head,200,-4e-06
B1_full_sharing,policy_head,210,-4e-06
B1_full_sharing,policy_head,220,-4e-06
B1_full_sharing,policy_head,230,-4e-06
B1_full_sharing,policy_head,240,-3e-06
B1_full_sharing,policy_head,250,-3e-06
B1_full_sharing,policy_head,260,-3e-06
B1_full_sharing,policy_head,270,-3e-06
B1_full_sharing,policy_head,280,-3e-06
B1_full_sharing,policy_head,290,-3e-06
B1_full_sharing,policy_head,300,-3e-06
B1_full_sharing,policy_head,310,-3e-06
B1_full_sharing,policy_head,320,-3e-06
B1_full_sharing,policy_head,330,-3e-06
B1_full_sharing,policy_head,340,-3e-06
B1_full_sharing,policy_head,350,-3e-06
B1_full_sharing,value_head,10,0.0
B1_full_sharing,value_head,20,0.0
B1_full_sharing,value_head,30,-0.0
B1_full_sharing,value_head,40,-0.0
B1_full_sharing,value_head,50,0.0
B1_full_sharing,value_head,60,-0.0
B1_full_sharing,value_head,70,-0.0
B1_full_sharing,value_head,90,-0.0
B1_full_sharing,value_head,100,0.0
B1_full_sharing,value_head,110,-0.0
B1_full_sharing,value_head,120,-0.0
B1_full_sharing,value_head,130,-0.0
B1_full_sharing,value_head,140,0.0
B1_full_sharing,value_head,150,0.0
B1_full_sharing,value_head,160,-0.0
B1_full_sharing,value_head,170,0.0
B1_full_sharing,value_head,180,-0.0
B1_full_sharing,value_head,190,-0.0
B1_full_sharing,value_head,200,0.0
B1_full_sharing,value_head,210,-0.0
B1_full_sharing,value_head,220,0.0
B1_full_sharing,value_head,230,0.0
B1_full_sharing,value_head,240,0.0
B1_full_sharing,value_head,250,0.0
B1_full_sharing,value_head,260,0.0
B1_full_sharing,value_head,270,0.0
B1_full_sharing,value_head,280,0.0
B1_full_sharing,value_head,290,0.0
B1_full_sharing,value_head,300,0.0
B1_full_sharing,value_head,310,-0.0
B1_full_sharing,value_head,320,-0.0
B1_full_sharing,value_head,330,-0.0
B1_full_sharing,value_head,340,-0.0
B1_full_sharing,value_head,350,-0.0
B2_no_sharing,input_block,10,0.891618
B2_no_sharing,input_block,20,0.839354
B2_no_sharing,input_block,30,0.839585
B2_no_sharing,input_block,40,0.862044
B2_no_sharing,input_block,50,0.883855
B2_no_sharing,input_block,60,0.889435
B2_no_sharing,input_block,70,0.913773
B2_no_sharing,input_block,80,0.920916
B2_no_sharing,input_block,90,0.927413
B2_no_sharing,input_block,100,0.933055
B2_no_sharing,input_block,110,0.944668
B2_no_sharing,input_block,120,0.943676
B2_no_sharing,input_block,130,0.949138
B2_no_sharing,input_block,140,0.946094
B2_no_sharing,input_block,150,0.961045
B2_no_sharing,input_block,160,0.960729
B2_no_sharing,input_block,170,0.959256
B2_no_sharing,input_block,180,0.965042
B2_no_sharing,input_block,190,0.958047
B2_no_sharing,input_block,200,0.965463
B2_no_sharing,input_block,210,0.9624
B2_no_sharing,input_block,220,0.96366
B2_no_sharing,input_block,230,0.970329
B2_no_sharing,input_block,240,0.97393
B2_no_sharing,input_block,250,0.974
B2_no_sharing,input_block,260,0.972964
B2_no_sharing,input_block,270,0.978402
B2_no_sharing,input_block,280,0.97569
B2_no_sharing,input_block,290,0.975462
B2_no_sharing,input_block,300,0.976774
B2_no_sharing,input_block,310,0.975093
B2_no_sharing,input_block,320,0.974166
B2_no_sharing,input_block,330,0.972961
B2_no_sharing,input_block,340,0.97368
B2_no_sharing,input_block,350,0.972176
B2_no_sharing,early_residual,10,0.617219
B2_no_sharing,early_residual,20,0.63183
B2_no_sharing,early_residual,30,0.644793
B2_no_sharing,early_residual,40,0.648323
B2_no_sharing,early_residual,50,0.652437
B2_no_sharing,early_residual,60,0.655268
B2_no_sharing,early_residual,70,0.656447
B2_no_sharing,early_residual,80,0.658407
B2_no_sharing,early_residual,90,0.665029
B2_no_sharing,early_residual,100,0.669642
B2_no_sharing,early_residual,110,0.674421
B2_no_sharing,early_residual,120,0.678005
B2_no_sharing,early_residual,130,0.68218
B2_no_sharing,early_residual,140,0.684094
B2_no_sharing,early_residual,150,0.689804
B2_no_sharing,early_residual,160,0.693542
B2_no_sharing,early_residual,170,0.695661
B2_no_sharing,early_residual,180,0.699391
B2_no_sharing,early_residual,190,0.701456
B2_no_sharing,early_residual,200,0.704726
B2_no_sharing,early_residual,210,0.708808
B2_no_sharing,early_residual,220,0.710669
B2_no_sharing,early_residual,230,0.713634
B2_no_sharing,early_residual,240,0.7177
B2_no_sharing,early_residual,250,0.719284
B2_no_sharing,early_residual,260,0.719635
B2_no_sharing,early_residual,270,0.720662
B2_no_sharing,early_residual,280,0.720392
B2_no_sharing,early_residual,290,0.720764
B2_no_sharing,early_residual,300,0.721205
B2_no_sharing,early_residual,310,0.721559
B2_no_sharing,early_residual,320,0.721092
B2_no_sharing,early_residual,330,0.721478
B2_no_sharing,early_residual,340,0.722545
B2_no_sharing,early_residual,350,0.722864
B2_no_sharing,middle_residual,10,0.72274
B2_no_sharing,middle_residual,20,0.720997
B2_no_sharing,middle_residual,30,0.726333
B2_no_sharing,middle_residual,40,0.715721
B2_no_sharing,middle_residual,50,0.715362
B2_no_sharing,middle_residual,60,0.730979
B2_no_sharing,middle_residual,70,0.757879
B2_no_sharing,middle_residual,80,0.779181
B2_no_sharing,middle_residual,90,0.797393
B2_no_sharing,middle_residual,100,0.814689
B2_no_sharing,middle_residual,110,0.826703
B2_no_sharing,middle_residual,120,0.843649
B2_no_sharing,middle_residual,130,0.85889
B2_no_sharing,middle_residual,140,0.862336
B2_no_sharing,middle_residual,150,0.86786
B2_no_sharing,middle_residual,160,0.877511
B2_no_sharing,middle_residual,170,0.884332
B2_no_sharing,middle_residual,180,0.888123
B2_no_sharing,middle_residual,190,0.889208
B2_no_sharing,middle_residual,200,0.895963
B2_no_sharing,middle_residual,210,0.901851
B2_no_sharing,middle_residual,220,0.906244
B2_no_sharing,middle_residual,230,0.911585
B2_no_sharing,middle_residual,240,0.912361
B2_no_sharing,middle_residual,250,0.916588
B2_no_sharing,middle_residual,260,0.916104
B2_no_sharing,middle_residual,270,0.919662
B2_no_sharing,middle_residual,280,0.917417
B2_no_sharing,middle_residual,290,0.917954
B2_no_sharing,middle_residual,300,0.919673
B2_no_sharing,middle_residual,310,0.91908
B2_no_sharing,middle_residual,320,0.918248
B2_no_sharing,middle_residual,330,0.917756
B2_no_sharing,middle_residual,340,0.919841
B2_no_sharing,middle_residual,350,0.920344
B2_no_sharing,policy_head,10,0.315527
B2_no_sharing,policy_head,20,0.305115
B2_no_sharing,policy_head,30,0.299071
B2_no_sharing,policy_head,40,0.294007
B2_no_sharing,policy_head,50,0.287877
B2_no_sharing,policy_head,60,0.28215
B2_no_sharing,policy_head,70,0.276596
B2_no_sharing,policy_head,80,0.27127
B2_no_sharing,policy_head,90,0.266404
B2_no_sharing,policy_head,100,0.261873
B2_no_sharing,policy_head,110,0.257659
B2_no_sharing,policy_head,120,0.254405
B2_no_sharing,policy_head,130,0.251536
B2_no_sharing,policy_head,140,0.248668
B2_no_sharing,policy_head,150,0.246048
B2_no_sharing,policy_head,160,0.243153
B2_no_sharing,policy_head,170,0.241295
