round,input_block,early_residual,middle_residual,late_residual,policy_head,value_head
10,-1e-06,0.582804,0.672535,0,-1e-06,0.0
20,-1e-06,0.567471,0.667063,0,-2e-06,0.0
30,-1e-06,0.562911,0.680986,0,-1e-06,-0.0
40,-1e-06,0.556236,0.676406,0,-3e-06,-0.0
50,-1e-06,0.550232,0.66901,0,-2e-06,0.0
60,-1e-06,0.548052,0.676157,0,-2e-06,-0.0
70,-1e-06,0.54627,0.670244,0,-4e-06,-0.0
90,-1e-06,0.545446,0.667975,0,-3e-06,-0.0
100,-2e-06,0.544124,0.666036,0,-3e-06,0.0
110,-2e-06,0.546034,0.66759,0,-4e-06,-0.0
120,-1e-06,0.544221,0.667239,0,-4e-06,-0.0
130,-1e-06,0.545032,0.665279,0,-3e-06,-0.0
140,-1e-06,0.546762,0.668015,0,-3e-06,0.0
150,-1e-06,0.547701,0.666387,0,-3e-06,0.0
160,-1e-06,0.546388,0.666169,0,-3e-06,-0.0
170,-1e-06,0.546833,0.672453,0,-3e-06,0.0
180,-1e-06,0.54765,0.667897,0,-4e-06,-0.0
190,-1e-06,0.548944,0.667056,0,-4e-06,-0.0
200,-1e-06,0.548719,0.663221,0,-4e-06,0.0
210,-1e-06,0.549507,0.664783,0,-4e-06,-0.0
220,-2e-06,0.550732,0.668358,0,-4e-06,0.0
230,-2e-06,0.551892,0.666568,0,-4e-06,0.0
240,-1e-06,0.551183,0.66363,0,-3e-06,0.0
250,-1e-06,0.551384,0.665582,0,-3e-06,0.0
260,-2e-06,0.551812,0.665942,0,-3e-06,0.0
270,-1e-06,0.552644,0.66621,0,-3e-06,0.0
280,-1e-06,0.552238,0.662321,0,-3e-06,0.0
290,-1e-06,0.552391,0.661369,0,-3e-06,0.0
300,-2e-06,0.553552,0.663465,0,-3e-06,0.0
310,-1e-06,0.554336,0.664154,0,-3e-06,-0.0
320,-2e-06,0.554902,0.664843,0,-3e-06,-0.0
330,-1e-06,0.555182,0.665181,0,-3e-06,-0.0
340,-2e-06,0.555413,0.665651,0,-3e-06,-0.0
350,-2e-06,0.555594,0.665981,0,-3e-06,-0.0
