round,input_block,early_residual,middle_residual,late_residual,policy_head,value_head
10,0.891618,0.617219,0.72274,0,0.315527,1.091856
20,0.839354,0.63183,0.720997,0,0.305115,1.074486
30,0.839585,0.644793,0.726333,0,0.299071,1.062867
40,0.862044,0.648323,0.715721,0,0.294007,1.103551
50,0.883855,0.652437,0.715362,0,0.287877,1.149105
60,0.889435,0.655268,0.730979,0,0.28215,1.128383
70,0.913773,0.656447,0.757879,0,0.276596,1.15473
80,0.920916,0.658407,0.779181,0,0.27127,1.163526
90,0.927413,0.665029,0.797393,0,0.266404,1.141521
100,0.933055,0.669642,0.814689,0,0.261873,1.129314
110,0.944668,0.674421,0.826703,0,0.257659,1.151935
120,0.943676,0.678005,0.843649,0,0.254405,1.174756
130,0.949138,0.68218,0.85889,0,0.251536,1.144535
140,0.946094,0.684094,0.862336,0,0.248668,1.178461
150,0.961045,0.689804,0.86786,0,0.246048,1.197021
160,0.960729,0.693542,0.877511,0,0.243153,1.1916
170,0.959256,0.695661,0.884332,0,0.241295,1.176061
180,0.965042,0.699391,0.888123,0,0.239385,1.197983
190,0.958047,0.701456,0.889208,0,0.238109,1.165694
200,0.965463,0.704726,0.895963,0,0.236367,1.192776
210,0.9624,0.708808,0.901851,0,0.235506,1.20983
220,0.96366,0.710669,0.906244,0,0.234262,1.216038
230,0.970329,0.713634,0.911585,0,0.233089,1.211219
240,0.97393,0.7177,0.912361,0,0.23161,1.22713
250,0.974,0.719284,0.916588,0,0.230888,1.215028
260,0.972964,0.719635,0.916104,0,0.230103,1.180276
270,0.978402,0.720662,0.919662,0,0.229103,1.2104
280,0.97569,0.720392,0.917417,0,0.229033,0.742739
290,0.975462,0.720764,0.917954,0,0.228641,0.741101
300,0.976774,0.721205,0.919673,0,0.228292,1.147739
310,0.975093,0.721559,0.91908,0,0.228261,0.740718
320,0.974166,0.721092,0.918248,0,0.228224,0.739151
330,0.972961,0.721478,0.917756,0,0.228194,0.73812
340,0.97368,0.722545,0.919841,0,0.228103,0.737028
350,0.972176,0.722864,0.920344,0,0.228079,0.736605
