round,input_block,early_residual,middle_residual,late_residual,policy_head,value_head
10,-1e-06,0.619888,0.714013,0,0.289642,0.609067
20,-1e-06,0.625109,0.733748,0,0.282949,0.619195
30,-1e-06,0.6296,0.743987,0,0.279115,1.104505
40,-1e-06,0.631896,0.733294,0,0.276636,1.111358
50,-1e-06,0.63463,0.731527,0,0.272975,1.036901
60,-1e-06,0.635274,0.73313,0,0.269301,0.632856
70,-1e-06,0.641447,0.751814,0,0.265608,0.638725
80,-1e-06,0.648216,0.771321,0,0.262225,1.043747
90,-1e-06,0.653931,0.786376,0,0.257948,0.646671
100,-1e-06,0.659598,0.802112,0,0.253645,1.088822
110,-1e-06,0.663277,0.815237,0,0.250531,1.13953
120,-1e-06,0.668677,0.824113,0,0.246764,1.07532
130,-1e-06,0.675506,0.83334,0,0.243351,1.137612
140,-1e-06,0.678794,0.849367,0,0.239308,1.155742
150,-1e-06,0.683422,0.857942,0,0.236331,1.12952
160,-1e-06,0.688112,0.865905,0,0.234534,1.159826
170,-1e-06,0.691956,0.872992,0,0.231887,1.162973
180,-1e-06,0.6962,0.87506,0,0.229043,0.695836
190,-1e-06,0.700655,0.883023,0,0.227108,0.701905
200,-1e-06,0.702187,0.892948,0,0.225156,1.162546
210,-1e-06,0.706302,0.898544,0,0.22322,0.708628
220,-1e-06,0.709391,0.901282,0,0.221724,0.716393
230,-1e-06,0.71,0.90308,0,0.219702,1.175159
240,-1e-06,0.714806,0.904001,0,0.218731,0.715657
250,-1e-06,0.715637,0.908263,0,0.217518,0.719754
260,-1e-06,0.720691,0.91628,0,0.21691,0.715361
270,-1e-06,0.720043,0.916715,0,0.216546,0.715115
280,-1e-06,0.721799,0.912075,0,0.215589,0.721013
290,-1e-06,0.723347,0.913645,0,0.215258,1.174321
300,-1e-06,0.725384,0.91552,0,0.214799,1.189819
310,-1e-06,0.726867,0.91502,0,0.214155,1.173911
320,-1e-06,0.728339,0.915923,0,0.214123,1.178085
330,-1e-06,0.728915,0.91572,0,0.213942,1.191911
340,-1e-06,0.730025,0.915967,0,0.213823,1.192672
350,-1e-06,0.729045,0.91392,0,0.213827,1.182483
