round,input_block,early_residual,middle_residual,late_residual,policy_head,value_head
10,0.864089,0.628335,0.672997,0,0.316545,1.116132
20,0.784793,0.637114,0.681492,0,0.310986,1.490887
30,0.788785,0.646331,0.677221,0,0.304019,1.062533
40,0.812934,0.646933,0.667688,0,0.296879,1.065902
50,0.826096,0.64617,0.666962,0,0.289516,0.675944
60,0.852908,0.648262,0.672204,0,0.283779,0.686013
70,0.869515,0.654253,0.686379,0,0.27743,0.693799
80,0.888532,0.657142,0.688215,0,0.271867,0.703948
90,0.895923,0.66272,0.694219,0,0.26741,0.711612
100,0.918622,0.666519,0.706729,0,0.26244,0.713811
110,0.918748,0.669448,0.716634,0,0.25823,0.724894
120,0.936703,0.675574,0.722725,0,0.254494,1.139028
130,0.938619,0.678989,0.736888,0,0.251104,0.726137
140,0.939123,0.683252,0.747187,0,0.248203,0.732923
150,0.946814,0.687753,0.757444,0,0.245343,0.739645
160,0.946967,0.689322,0.761275,0,0.242577,0.74184
170,0.948755,0.692902,0.765104,0,0.239852,0.742838
180,0.951689,0.695102,0.770195,0,0.237384,0.747454
190,0.954276,0.697522,0.774801,0,0.236295,0.750882
200,0.948642,0.701846,0.782048,0,0.233989,0.752866
210,0.955185,0.705513,0.791869,0,0.233094,0.757486
220,0.955493,0.704845,0.791411,0,0.231497,1.17038
230,0.952133,0.710006,0.795769,0,0.230336,0.765545
240,0.957007,0.711925,0.799765,0,0.229156,0.765272
250,0.955133,0.71293,0.798267,0,0.228146,1.164885
260,0.958167,0.71414,0.798241,0,0.227019,0.765176
270,0.957177,0.714353,0.797634,0,0.226264,1.172619
280,0.958083,0.715951,0.798032,0,0.226044,1.585685
290,0.958225,0.716822,0.797241,0,0.225796,1.589529
300,0.958072,0.718365,0.797442,0,0.225544,1.200754
310,0.954746,0.719606,0.798009,0,0.225314,1.202597
320,0.956822,0.719932,0.799939,0,0.225039,1.186748
330,0.955331,0.720392,0.799821,0,0.224657,1.584792
340,0.952927,0.721473,0.803456,0,0.224985,1.575959
350,0.955858,0.721345,0.8033,0,0.224726,1.57232
