round,input_block,early_residual,middle_residual,late_residual,policy_head,value_head
10,0.800754,0.562542,0.68851,0,-1e-06,-0.0
20,0.725221,0.539233,0.672103,0,-2e-06,-0.0
30,0.711927,0.529789,0.663363,0,-1e-06,-0.0
40,0.720269,0.528646,0.662865,0,-2e-06,0.0
50,0.728817,0.526912,0.65648,0,-2e-06,0.0
60,0.733932,0.526619,0.659877,0,-2e-06,-0.0
70,0.746332,0.530538,0.671041,0,-3e-06,-0.0
80,0.746646,0.530804,0.679978,0,-3e-06,-0.0
90,0.750139,0.535493,0.693441,0,-2e-06,-0.0
100,0.768436,0.538083,0.702066,0,-2e-06,-0.0
110,0.769124,0.541336,0.71499,0,-3e-06,0.0
120,0.778868,0.546143,0.723219,0,-4e-06,0.0
130,0.778651,0.54949,0.737971,0,-3e-06,-0.0
140,0.778147,0.551029,0.740825,0,-3e-06,-0.0
150,0.793474,0.554096,0.747897,0,-3e-06,0.0
160,0.790947,0.556612,0.757506,0,-3e-06,-0.0
170,0.791359,0.559981,0.762259,0,-3e-06,0.0
180,0.793436,0.563996,0.764887,0,-4e-06,0.0
190,0.801517,0.56634,0.772264,0,-4e-06,0.0
200,0.800402,0.569234,0.778888,0,-4e-06,-0.0
210,0.810741,0.571449,0.783736,0,-4e-06,0.0
220,0.805478,0.573367,0.788077,0,-4e-06,-0.0
230,0.809977,0.575892,0.791686,0,-3e-06,-0.0
240,0.811214,0.577798,0.792791,0,-4e-06,0.0
250,0.815044,0.580183,0.800494,0,-3e-06,-0.0
260,0.823688,0.582473,0.803106,0,-3e-06,-0.0
270,0.814976,0.581303,0.80359,0,-3e-06,-0.0
280,0.817606,0.582794,0.80609,0,-3e-06,-0.0
290,0.819934,0.584627,0.807207,0,-3e-06,-0.0
300,0.819946,0.586374,0.808435,0,-3e-06,-0.0
310,0.820807,0.588005,0.812095,0,-3e-06,-0.0
320,0.821061,0.589527,0.812463,0,-3e-06,-0.0
330,0.821136,0.589908,0.813051,0,-3e-06,-0.0
340,0.820809,0.59034,0.813293,0,-3e-06,-0.0
350,0.819142,0.589831,0.81292,0,-3e-06,-0.0
