round,input_block,early_residual,middle_residual,late_residual,policy_head,value_head
10,-1e-06,0.625749,0.696795,0,0.287065,0.671839
20,-1e-06,0.630717,0.700052,0,0.277356,0.681497
30,-1e-06,0.624982,0.709011,0,0.273425,0.67987
40,-1e-06,0.621722,0.696911,0,0.270602,0.685965
50,-1e-06,0.618126,0.700501,0,0.265734,0.693218
60,-1e-06,0.62035,0.704462,0,0.262461,0.6962
70,-1e-06,0.626062,0.71065,0,0.25803,0.700852
80,-1e-06,0.630399,0.722537,0,0.253108,0.700148
90,-1e-06,0.634435,0.734254,0,0.24936,0.712579
100,-1e-06,0.637952,0.747747,0,0.245838,0.716511
110,-2e-06,0.642164,0.764373,0,0.241279,0.728065
120,-1e-06,0.646608,0.775452,0,0.23824,0.73464
130,-1e-06,0.652506,0.79017,0,0.234821,0.734996
140,-1e-06,0.657383,0.798779,0,0.231459,1.143696
150,-1e-06,0.661526,0.806859,0,0.229438,0.74368
160,-1e-06,0.666348,0.815047,0,0.226812,1.180375
170,-1e-06,0.669641,0.826556,0,0.224417,0.749881
180,-1e-06,0.676718,0.834434,0,0.223272,0.757034
190,-1e-06,0.679603,0.837135,0,0.221318,1.194491
200,-1e-06,0.684062,0.840835,0,0.219785,1.218311
210,-1e-06,0.686492,0.840723,0,0.218133,1.193385
220,-1e-06,0.688762,0.844043,0,0.217234,1.2235
230,-1e-06,0.69224,0.849717,0,0.215743,0.769283
240,-1e-06,0.693792,0.852576,0,0.214852,1.229512
250,-2e-06,0.695911,0.854117,0,0.214341,1.203334
260,-1e-06,0.698902,0.856739,0,0.21342,1.19648
270,-1e-06,0.699336,0.85759,0,0.212707,1.182448
280,-1e-06,0.701588,0.85779,0,0.212463,1.253505
290,-1e-06,0.701918,0.862311,0,0.211751,1.235081
300,-1e-06,0.702733,0.86409,0,0.211194,1.254135
310,-1e-06,0.702847,0.863404,0,0.211035,1.238143
320,-1e-06,0.702541,0.863196,0,0.211028,0.772545
330,-1e-06,0.703803,0.864494,0,0.210828,1.189334
340,-1e-06,0.703772,0.863829,0,0.210855,0.771437
350,-1e-06,0.704227,0.863793,0,0.210894,0.770918
