experiment,round,global_divergence
B1_full_sharing,10,0.548746
B1_full_sharing,20,0.536655
B1_full_sharing,30,0.536045
B1_full_sharing,40,0.530359
B1_full_sharing,50,0.524617
B1_full_sharing,60,0.52442
B1_full_sharing,70,0.522001
B1_full_sharing,90,0.520972
B1_full_sharing,100,0.519648
B1_full_sharing,110,0.521322
B1_full_sharing,120,0.519949
B1_full_sharing,130,0.520157
B1_full_sharing,140,0.521928
B1_full_sharing,150,0.522291
B1_full_sharing,160,0.521304
B1_full_sharing,170,0.522831
B1_full_sharing,180,0.522544
B1_full_sharing,190,0.523314
B1_full_sharing,200,0.522416
B1_full_sharing,210,0.523283
B1_full_sharing,220,0.524852
B1_full_sharing,230,0.525343
B1_full_sharing,240,0.524269
B1_full_sharing,250,0.524788
B1_full_sharing,260,0.525166
B1_full_sharing,270,0.525816
B1_full_sharing,280,0.524777
B1_full_sharing,290,0.524704
B1_full_sharing,300,0.525942
B1_full_sharing,310,0.526639
B1_full_sharing,320,0.527179
B1_full_sharing,330,0.527446
B1_full_sharing,340,0.527702
B1_full_sharing,350,0.527896
B2_no_sharing,10,0.65581
B2_no_sharing,20,0.663795
B2_no_sharing,30,0.67355
B2_no_sharing,40,0.676098
B2_no_sharing,50,0.68119
B2_no_sharing,60,0.685394
B2_no_sharing,70,0.692912
B2_no_sharing,80,0.698809
B2_no_sharing,90,0.706233
B2_no_sharing,100,0.712414
B2_no_sharing,110,0.719244
B2_no_sharing,120,0.725888
B2_no_sharing,130,0.730674
B2_no_sharing,140,0.733929
B2_no_sharing,150,0.740139
B2_no_sharing,160,0.74439
B2_no_sharing,170,0.746524
B2_no_sharing,180,0.750907
B2_no_sharing,190,0.751112
B2_no_sharing,200,0.755982
B2_no_sharing,210,0.76064
B2_no_sharing,220,0.763073
B2_no_sharing,230,0.766172
B2_no_sharing,240,0.769935
B2_no_sharing,250,0.771388
B2_no_sharing,260,0.770114
B2_no_sharing,270,0.772848
B2_no_sharing,280,0.753449
B2_no_sharing,290,0.75374
B2_no_sharing,300,0.770676
B2_no_sharing,310,0.754495
B2_no_sharing,320,0.753914
