experiment,cluster,round,elo
B1_full_sharing,tactical,10,800
B1_full_sharing,tactical,20,800
B1_full_sharing,tactical,30,800
B1_full_sharing,tactical,40,800
B1_full_sharing,tactical,50,800
B1_full_sharing,tactical,60,800
B1_full_sharing,tactical,70,800
B1_full_sharing,tactical,90,800
B1_full_sharing,tactical,100,825
B1_full_sharing,tactical,110,800
B1_full_sharing,tactical,120,850
B1_full_sharing,tactical,130,1025
B1_full_sharing,tactical,140,800
B1_full_sharing,tactical,150,1000
B1_full_sharing,tactical,160,800
B1_full_sharing,tactical,170,800
B1_full_sharing,tactical,180,850
B1_full_sharing,tactical,190,800
B1_full_sharing,tactical,200,950
B1_full_sharing,tactical,210,800
B1_full_sharing,tactical,220,875
B1_full_sharing,tactical,230,950
B1_full_sharing,tactical,240,1025
B1_full_sharing,tactical,250,925
B1_full_sharing,tactical,260,1100
B1_full_sharing,tactical,270,900
B1_full_sharing,tactical,280,825
B1_full_sharing,tactical,290,1000
B1_full_sharing,tactical,300,975
B1_full_sharing,tactical,310,1125
B1_full_sharing,tactical,320,925
B1_full_sharing,tactical,330,1050
B1_full_sharing,tactical,340,1025
B1_full_sharing,tactical,350,1025
B1_full_sharing,positional,10,800
B1_full_sharing,positional,20,800
B1_full_sharing,positional,30,800
B1_full_sharing,positional,40,800
B1_full_sharing,positional,50,800
B1_full_sharing,positional,60,800
B1_full_sharing,positional,70,800
B1_full_sharing,positional,90,800
B1_full_sharing,positional,100,800
B1_full_sharing,positional,110,825
B1_full_sharing,positional,120,875
B1_full_sharing,positional,130,1075
B1_full_sharing,positional,140,800
B1_full_sharing,positional,150,875
B1_full_sharing,positional,160,850
B1_full_sharing,positional,170,800
B1_full_sharing,positional,180,950
B1_full_sharing,positional,190,900
B1_full_sharing,positional,200,950
B1_full_sharing,positional,210,875
B1_full_sharing,positional,220,875
B1_full_sharing,positional,230,1175
B1_full_sharing,positional,240,950
B1_full_sharing,positional,250,875
B1_full_sharing,positional,260,925
B1_full_sharing,positional,270,950
B1_full_sharing,positional,280,925
B1_full_sharing,positional,290,1025
B1_full_sharing,positional,300,1025
B1_full_sharing,positional,310,900
B1_full_sharing,positional,320,975
B1_full_sharing,positional,330,975
B1_full_sharing,positional,340,950
B1_full_sharing,positional,350,1000
B2_no_sharing,tactical,10,800
B2_no_sharing,tactical,20,800
B2_no_sharing,tactical,30,800
B2_no_sharing,tactical,40,800
B2_no_sharing,tactical,50,800
B2_no_sharing,tactical,60,800
B2_no_sharing,tactical,70,800
B2_no_sharing,tactical,80,800
B2_no_sharing,tactical,90,800
B2_no_sharing,tactical,100,850
B2_no_sharing,tactical,110,800
B2_no_sharing,tactical,120,925
B2_no_sharing,tactical,130,925
B2_no_sharing,tactical,140,825
B2_no_sharing,tactical,150,800
B2_no_sharing,tactical,160,975
B2_no_sharing,tactical,170,1025
B2_no_sharing,tactical,180,1025
B2_no_sharing,tactical,190,950
B2_no_sharing,tactical,200,1025
B2_no_sharing,tactical,210,800
B2_no_sharing,tactical,220,1000
