cluster,round,elo
tactical,10,800
tactical,20,800
tactical,30,800
tactical,40,800
tactical,50,800
tactical,60,800
tactical,70,800
tactical,90,800
tactical,100,825
tactical,110,800
tactical,120,850
tactical,130,1025
tactical,140,800
tactical,150,1000
tactical,160,800
tactical,170,800
tactical,180,850
tactical,190,800
tactical,200,950
tactical,210,800
tactical,220,875
tactical,230,950
tactical,240,1025
tactical,250,925
tactical,260,1100
tactical,270,900
tactical,280,825
tactical,290,1000
tactical,300,975
tactical,310,1125
tactical,320,925
tactical,330,1050
tactical,340,1025
tactical,350,1025
positional,10,800
positional,20,800
positional,30,800
positional,40,800
positional,50,800
positional,60,800
positional,70,800
positional,90,800
positional,100,800
positional,110,825
positional,120,875
positional,130,1075
positional,140,800
positional,150,875
positional,160,850
positional,170,800
positional,180,950
positional,190,900
positional,200,950
positional,210,875
positional,220,875
positional,230,1175
positional,240,950
positional,250,875
positional,260,925
positional,270,950
positional,280,925
positional,290,1025
positional,300,1025
positional,310,900
positional,320,975
positional,330,975
positional,340,950
positional,350,1000
