cluster,round,elo
tactical,10,800
tactical,20,800
tactical,30,800
tactical,40,800
tactical,50,800
tactical,60,800
tactical,70,800
tactical,80,800
tactical,90,800
tactical,100,850
tactical,110,800
tactical,120,925
tactical,130,925
tactical,140,825
tactical,150,800
tactical,160,975
tactical,170,1025
tactical,180,1025
tactical,190,950
tactical,200,1025
tactical,210,800
tactical,220,1000
tactical,230,950
tactical,240,1000
tactical,250,925
tactical,260,950
tactical,270,925
tactical,280,1100
tactical,290,1025
tactical,300,975
tactical,310,1000
tactical,320,925
tactical,330,1125
tactical,340,975
tactical,350,1225
positional,10,800
positional,20,800
positional,30,800
positional,40,800
positional,50,800
positional,60,800
positional,70,800
positional,80,900
positional,90,825
positional,100,900
positional,110,800
positional,120,800
positional,130,925
positional,140,1050
positional,150,925
positional,160,925
positional,170,900
positional,180,1025
positional,190,975
positional,200,1075
positional,210,900
positional,220,950
positional,230,950
positional,240,1025
positional,250,1150
positional,260,975
positional,270,950
positional,280,825
positional,290,950
positional,300,975
positional,310,1050
positional,320,950
positional,330,950
positional,340,1075
positional,350,1075
