cluster,round,elo
tactical,10,800
tactical,20,800
tactical,30,800
tactical,40,800
tactical,50,800
tactical,60,800
tactical,70,825
tactical,80,900
tactical,90,900
tactical,100,825
tactical,110,1025
tactical,120,875
tactical,130,800
tactical,140,800
tactical,150,1000
tactical,160,800
tactical,170,800
tactical,180,925
tactical,190,1025
tactical,200,825
tactical,210,1100
tactical,220,1025
tactical,230,975
tactical,240,950
tactical,250,950
tactical,260,975
tactical,270,1150
tactical,280,1100
tactical,290,1050
tactical,300,1025
tactical,310,1125
tactical,320,1100
tactical,330,975
tactical,340,900
tactical,350,1075
positional,10,800
positional,20,800
positional,30,800
positional,40,800
positional,50,800
positional,60,800
positional,70,800
positional,80,800
positional,90,875
positional,100,900
positional,110,925
positional,120,825
positional,130,800
positional,140,975
positional,150,900
positional,160,800
positional,170,900
positional,180,900
positional,190,1000
positional,200,900
positional,210,825
positional,220,1025
positional,230,800
positional,240,900
positional,250,900
positional,260,950
positional,270,900
positional,280,1125
positional,290,975
positional,300,900
positional,310,1150
positional,320,975
positional,330,1075
positional,340,1050
positional,350,1125
