cluster,round,elo
tactical,10,800
tactical,20,800
tactical,30,800
tactical,40,800
tactical,50,800
tactical,60,800
tactical,70,800
tactical,80,800
tactical,90,800
tactical,100,800
tactical,110,800
tactical,120,925
tactical,130,850
tactical,140,900
tactical,150,925
tactical,160,950
tactical,170,850
tactical,180,900
tactical,190,800
tactical,200,875
tactical,210,800
tactical,220,1025
tactical,230,825
tactical,240,1050
tactical,250,1050
tactical,260,975
tactical,270,1025
tactical,280,1075
tactical,290,1050
tactical,300,950
tactical,310,1050
tactical,320,1025
tactical,330,1000
tactical,340,1025
tactical,350,1150
positional,10,800
positional,20,800
positional,30,800
positional,40,800
positional,50,800
positional,60,800
positional,70,825
positional,80,800
positional,90,875
positional,100,800
positional,110,800
positional,120,850
positional,130,800
positional,140,950
positional,150,825
positional,160,800
positional,170,950
positional,180,875
positional,190,1075
positional,200,1050
positional,210,925
positional,220,1075
positional,230,975
positional,240,1125
positional,250,1000
positional,260,925
positional,270,1100
positional,280,1100
positional,290,1000
positional,300,1050
positional,310,1200
positional,320,1100
positional,330,1075
positional,340,1125
positional,350,1125
