cluster,round,elo
tactical,10,800
tactical,20,800
tactical,30,800
tactical,40,800
tactical,50,800
tactical,60,800
tactical,70,800
tactical,80,800
tactical,90,800
tactical,100,825
tactical,110,800
tactical,120,850
tactical,130,875
tactical,140,800
tactical,150,875
tactical,160,900
tactical,170,800
tactical,180,875
tactical,190,975
tactical,200,925
tactical,210,925
tactical,220,1025
tactical,230,875
tactical,240,950
tactical,250,1000
tactical,260,1050
tactical,270,1100
tactical,280,1100
tactical,290,1000
tactical,300,1025
tactical,310,975
tactical,320,1050
tactical,330,925
tactical,340,1025
tactical,350,925
positional,10,800
positional,20,800
positional,30,800
positional,40,800
positional,50,800
positional,60,800
positional,70,800
positional,80,800
positional,90,800
positional,100,950
positional,110,875
positional,120,925
positional,130,975
positional,140,950
positional,150,850
positional,160,800
positional,170,900
positional,180,825
positional,190,925
positional,200,975
positional,210,975
positional,220,950
positional,230,1000
positional,240,1050
positional,250,1075
positional,260,975
positional,270,925
positional,280,925
positional,290,1000
positional,300,1000
positional,310,975
positional,320,925
positional,330,1050
positional,340,1025
positional,350,950
