layer_group,round,l2_norm
input_block,10,671.18083
input_block,20,1330.911164
input_block,30,1991.397232
input_block,40,2646.231563
input_block,50,3296.843602
input_block,60,3949.041161
input_block,70,4607.188233
input_block,90,5919.643368
input_block,100,6568.643499
input_block,110,7221.143944
input_block,120,7878.044176
input_block,130,8530.716213
input_block,140,9183.53168
input_block,150,9836.445976
input_block,160,10498.289812
input_block,170,11160.247236
input_block,180,11819.140759
input_block,190,12469.793282
input_block,200,13123.412893
input_block,210,13775.460379
input_block,220,14427.570006
input_block,230,15083.661961
input_block,240,15737.549367
input_block,250,16394.413152
input_block,260,17048.443682
input_block,270,17706.250369
input_block,280,18359.284245
input_block,290,19005.561745
input_block,300,19653.092885
input_block,310,20300.318762
input_block,320,20950.230543
input_block,330,21599.870285
input_block,340,22251.889619
input_block,350,22902.724234
early_residual,10,2128.331105
early_residual,20,4482.229172
early_residual,30,6274.430794
early_residual,40,7419.492727
early_residual,50,8299.515327
early_residual,60,8981.976559
early_residual,70,9556.249205
early_residual,90,11229.549272
early_residual,100,11993.019887
early_residual,110,12849.245599
early_residual,120,13835.940057
early_residual,130,14779.878711
early_residual,140,15783.070632
early_residual,150,16778.672126
early_residual,160,17831.819218
early_residual,170,18852.63434
early_residual,180,19858.806333
early_residual,190,20570.920458
early_residual,200,21297.895666
early_residual,210,21878.070058
early_residual,220,22567.084944
early_residual,230,23303.452629
early_residual,240,23897.065955
early_residual,250,24343.701657
early_residual,260,24957.907584
early_residual,270,25568.499395
early_residual,280,26097.533188
early_residual,290,26600.808155
early_residual,300,27215.700674
early_residual,310,27728.148112
early_residual,320,28359.31626
early_residual,330,28982.62505
early_residual,340,29662.125795
early_residual,350,30282.129445
middle_residual,10,2236.026354
middle_residual,20,4901.841803
middle_residual,30,7443.865109
middle_residual,40,8983.227221
middle_residual,50,10161.9789
middle_residual,60,10984.218988
middle_residual,70,11582.290785
middle_residual,90,13576.008728
middle_residual,100,14485.761613
middle_residual,110,15351.726699
middle_residual,120,16290.993749
middle_residual,130,17154.259657
middle_residual,140,18197.120045
middle_residual,150,19245.028397
middle_residual,160,20417.175686
middle_residual,170,21513.062165
middle_residual,180,22488.79113
middle_residual,190,23060.996094
middle_residual,200,23810.244655
middle_residual,210,24251.31329
middle_residual,220,25016.193374
middle_residual,230,25710.124927
middle_residual,240,26194.329938
middle_residual,250,26613.486514
middle_residual,260,27252.947884
middle_residual,270,27850.468329
middle_residual,280,28234.940642
middle_residual,290,28687.295095
middle_residual,300,29274.201796
middle_residual,310,29756.888856
middle_residual,320,30381.666778
middle_residual,330,31039.266481
middle_residual,340,31717.558289
middle_residual,350,32359.610144
policy_head,10,1580.687013
policy_head,20,2480.810978
policy_head,30,3528.341849
policy_head,40,4712.055624
policy_head,50,5893.280945
policy_head,60,7160.312168
policy_head,70,8559.661118
policy_head,90,11537.451856
policy_head,100,12900.935383
policy_head,110,14518.374742
policy_head,120,16138.51437
policy_head,130,17834.056533
policy_head,140,19628.732671
policy_head,150,21384.759907
policy_head,160,23238.292747
policy_head,170,25125.583455
policy_head,180,27021.971004
policy_head,190,27885.24408
policy_head,200,29152.36993
policy_head,210,30418.879406
policy_head,220,31273.259619
policy_head,230,32578.880724
policy_head,240,33841.541118
policy_head,250,34218.078719
policy_head,260,34899.716223
policy_head,270,35682.272819
policy_head,280,36148.915253
policy_head,290,36835.410573
policy_head,300,37342.475057
policy_head,310,37773.061213
policy_head,320,38345.313
policy_head,330,38758.269579
policy_head,340,39441.211589
policy_head,350,40052.999192
value_head,10,405.090181
value_head,20,800.816782
value_head,30,1196.719594
value_head,40,1590.867446
value_head,50,1981.018853
value_head,60,2375.429855
value_head,70,2774.483395
value_head,90,3568.878302
value_head,100,3960.559644
value_head,110,4356.132283
value_head,120,4753.542014
value_head,130,5149.192291
value_head,140,5547.988732
value_head,150,5948.651068
value_head,160,6350.132399
value_head,170,6750.426596
value_head,180,7144.149097
value_head,190,7540.262578
value_head,200,7940.522746
value_head,210,8335.629337
value_head,220,8721.943304
value_head,230,9124.496773
value_head,240,9523.990998
value_head,250,9919.747258
value_head,260,10315.148642
value_head,270,10718.730458
value_head,280,11113.389177
value_head,290,11517.167026
value_head,300,11911.107074
value_head,310,12319.119752
value_head,320,12717.105508
value_head,330,13141.77932
value_head,340,13541.849587
value_head,350,13965.046402
