layer_group,round,l2_norm
input_block,10,669.227374
input_block,20,1319.853016
input_block,30,1971.94018
input_block,40,2618.094758
input_block,50,3268.195418
input_block,60,3916.488059
input_block,70,4571.63993
input_block,80,5228.100187
input_block,90,5889.477147
input_block,100,6536.999986
input_block,110,7188.80416
input_block,120,7840.380601
input_block,130,8491.082397
input_block,140,9142.423853
input_block,150,9794.243808
input_block,160,10454.922283
input_block,170,11110.322006
input_block,180,11764.273369
input_block,190,12408.865574
input_block,200,13053.125051
input_block,210,13698.527837
input_block,220,14339.915279
input_block,230,14989.141949
input_block,240,15632.643933
input_block,250,16283.835757
input_block,260,16933.975027
input_block,270,17584.623285
input_block,280,18234.975089
input_block,290,18873.493519
input_block,300,19514.039395
input_block,310,20156.549426
input_block,320,20808.037039
input_block,330,21455.374911
input_block,340,22106.89619
input_block,350,22754.89353
early_residual,10,1932.349019
early_residual,20,2989.747642
early_residual,30,3716.408176
early_residual,40,4551.822593
early_residual,50,5449.52862
early_residual,60,6337.603444
early_residual,70,7242.806004
early_residual,80,8198.422675
early_residual,90,9130.832559
early_residual,100,10012.808645
early_residual,110,10976.147793
early_residual,120,11946.740728
early_residual,130,12911.326727
early_residual,140,13806.943741
early_residual,150,14659.111483
early_residual,160,15631.408892
early_residual,170,16438.119646
early_residual,180,17270.164091
early_residual,190,17970.108187
early_residual,200,18528.870034
early_residual,210,19263.969141
early_residual,220,19911.152172
early_residual,230,20486.893037
early_residual,240,20998.979392
early_residual,250,21669.52697
early_residual,260,22266.961834
early_residual,270,22893.750586
early_residual,280,23527.566756
early_residual,290,24084.567407
early_residual,300,24604.713387
early_residual,310,25170.37095
early_residual,320,25845.668604
early_residual,330,26459.012284
early_residual,340,27057.232181
early_residual,350,27686.477592
middle_residual,10,2048.141698
middle_residual,20,3682.330628
middle_residual,30,4810.557595
middle_residual,40,5502.963521
middle_residual,50,6172.828772
middle_residual,60,6893.544652
middle_residual,70,7598.953007
middle_residual,80,8466.257206
middle_residual,90,9317.720929
middle_residual,100,10138.396094
middle_residual,110,11019.957811
middle_residual,120,11960.204618
middle_residual,130,12713.564199
middle_residual,140,13615.509366
middle_residual,150,14372.728609
middle_residual,160,15298.645787
middle_residual,170,16017.804864
middle_residual,180,16704.196868
middle_residual,190,17395.633342
middle_residual,200,17929.297227
middle_residual,210,18605.864887
middle_residual,220,19208.102032
middle_residual,230,19824.023335
middle_residual,240,20366.733547
middle_residual,250,21022.864497
middle_residual,260,21592.615853
middle_residual,270,22200.856209
middle_residual,280,22812.999227
middle_residual,290,23414.453875
middle_residual,300,23935.92105
middle_residual,310,24530.850526
middle_residual,320,25176.469049
middle_residual,330,25820.254552
middle_residual,340,26440.598278
middle_residual,350,27080.761639
policy_head,10,1126.033441
policy_head,20,2052.294508
policy_head,30,3142.388721
policy_head,40,4443.267452
policy_head,50,5815.878763
policy_head,60,7273.954239
policy_head,70,8743.967119
policy_head,80,10501.346542
policy_head,90,12037.396136
policy_head,100,14029.947761
policy_head,110,15972.259839
policy_head,120,17655.22321
policy_head,130,20087.99547
policy_head,140,22413.534467
policy_head,150,24249.490946
policy_head,160,26755.208865
policy_head,170,28772.964812
policy_head,180,31198.678881
policy_head,190,32535.767166
policy_head,200,33395.160677
policy_head,210,35562.426962
policy_head,220,36427.610525
policy_head,230,37298.12149
policy_head,240,37972.790509
policy_head,250,39042.131415
policy_head,260,40117.847494
policy_head,270,41131.901073
policy_head,280,41766.709384
policy_head,290,42594.505709
policy_head,300,42945.139946
policy_head,310,43572.682219
policy_head,320,44824.285604
policy_head,330,45040.490956
policy_head,340,45300.00647
policy_head,350,45939.407436
value_head,10,401.29812
value_head,20,794.783161
value_head,30,1187.444552
value_head,40,1580.626187
value_head,50,1970.653287
value_head,60,2365.013362
value_head,70,2759.955966
value_head,80,3156.545317
value_head,90,3562.785054
value_head,100,3955.52278
value_head,110,4361.687054
value_head,120,4765.214458
value_head,130,5163.744986
value_head,140,5567.432409
value_head,150,5967.019009
value_head,160,6385.350861
value_head,170,6785.884383
value_head,180,7177.747163
value_head,190,7575.406217
value_head,200,7980.797662
value_head,210,8380.771725
value_head,220,8780.631124
value_head,230,9198.767087
value_head,240,9589.628305
value_head,250,9979.599711
value_head,260,10354.786222
value_head,270,10750.887079
value_head,280,11136.709025
value_head,290,11517.995292
value_head,300,11911.473528
value_head,310,12301.168241
value_head,320,12704.040361
value_head,330,13121.833104
value_head,340,13559.13996
value_head,350,13993.807864
