layer_group,round,l2_norm
input_block,10,671.346387
input_block,20,1331.167618
input_block,30,1991.273604
input_block,40,2646.050791
input_block,50,3297.178418
input_block,60,3949.561768
input_block,70,4607.955031
input_block,80,5263.62627
input_block,90,5920.864819
input_block,100,6570.575122
input_block,110,7223.252696
input_block,120,7880.481373
input_block,130,8533.780131
input_block,140,9186.948167
input_block,150,9839.980609
input_block,160,10502.18903
input_block,170,11164.414494
input_block,180,11823.432881
input_block,190,12475.9171
input_block,200,13131.718299
input_block,210,13785.91087
input_block,220,14440.42879
input_block,230,15098.408482
input_block,240,15753.1823
input_block,250,16412.268735
input_block,260,17069.085613
input_block,270,17728.760988
input_block,280,18382.335178
input_block,290,19029.007387
input_block,300,19677.627261
input_block,310,20325.716635
input_block,320,20975.425099
input_block,330,21626.264801
input_block,340,22278.514943
input_block,350,22929.544304
early_residual,10,2218.085327
early_residual,20,3947.302039
early_residual,30,4875.010252
early_residual,40,5277.295338
early_residual,50,6123.714729
early_residual,60,7013.161534
early_residual,70,7979.163657
early_residual,80,8934.272813
early_residual,90,9958.782409
early_residual,100,10862.672393
early_residual,110,11730.421508
early_residual,120,12674.349159
early_residual,130,13641.065108
early_residual,140,14517.421339
early_residual,150,15377.27187
early_residual,160,16186.811333
early_residual,170,17019.624791
early_residual,180,17947.094428
early_residual,190,18627.974856
early_residual,200,19402.937045
early_residual,210,20157.072635
early_residual,220,20824.013346
early_residual,230,21621.022932
early_residual,240,22230.077009
early_residual,250,22869.329938
early_residual,260,23479.785863
early_residual,270,24136.756085
early_residual,280,24772.991437
early_residual,290,25318.444967
early_residual,300,25947.423456
early_residual,310,26511.068204
early_residual,320,27131.623237
early_residual,330,27713.945958
early_residual,340,28283.715865
early_residual,350,28905.886042
middle_residual,10,2392.090127
middle_residual,20,4542.589116
middle_residual,30,5927.497563
middle_residual,40,5974.483833
middle_residual,50,6727.741212
middle_residual,60,7579.376366
middle_residual,70,8476.991901
middle_residual,80,9324.711529
middle_residual,90,10222.746839
middle_residual,100,11009.594359
middle_residual,110,11913.091875
middle_residual,120,12772.783781
middle_residual,130,13688.200619
middle_residual,140,14431.966238
middle_residual,150,15298.887969
middle_residual,160,16105.675045
middle_residual,170,16896.750252
middle_residual,180,17779.179381
middle_residual,190,18407.863329
middle_residual,200,19229.830675
middle_residual,210,19879.828359
middle_residual,220,20537.957743
middle_residual,230,21374.758378
middle_residual,240,21957.779935
middle_residual,250,22550.506675
middle_residual,260,23158.047629
middle_residual,270,23856.977794
middle_residual,280,24431.637555
middle_residual,290,25017.963655
middle_residual,300,25647.086504
middle_residual,310,26227.036366
middle_residual,320,26810.411202
middle_residual,330,27427.376502
middle_residual,340,28025.914874
middle_residual,350,28645.05541
policy_head,10,1254.05427
policy_head,20,2156.190349
policy_head,30,3207.824579
policy_head,40,4516.352067
policy_head,50,5804.145273
policy_head,60,7276.87574
policy_head,70,8582.966078
policy_head,80,10083.802355
policy_head,90,11525.569852
policy_head,100,13304.796164
policy_head,110,14793.14515
policy_head,120,16740.134558
policy_head,130,18863.515798
policy_head,140,20610.180983
policy_head,150,22274.602595
policy_head,160,24019.007962
policy_head,170,26088.379058
policy_head,180,28469.329129
policy_head,190,29761.473099
policy_head,200,31707.975453
policy_head,210,34101.137399
policy_head,220,35092.6579
policy_head,230,36817.259192
policy_head,240,38454.041636
policy_head,250,40586.169746
policy_head,260,41111.810173
policy_head,270,42230.505009
policy_head,280,42777.911001
policy_head,290,43306.772595
policy_head,300,44187.031112
policy_head,310,45130.413323
policy_head,320,45864.746647
policy_head,330,46256.080192
policy_head,340,46656.040529
policy_head,350,47450.51802
value_head,10,401.534787
value_head,20,792.057117
value_head,30,1184.031809
value_head,40,1572.123476
value_head,50,1960.401108
value_head,60,2350.363669
value_head,70,2744.833101
value_head,80,3138.945442
value_head,90,3542.993476
value_head,100,3939.873724
value_head,110,4342.10698
value_head,120,4740.073579
value_head,130,5140.316495
value_head,140,5535.404895
value_head,150,5928.871997
value_head,160,6358.685141
value_head,170,6748.193597
value_head,180,7155.597929
value_head,190,7553.899771
value_head,200,7953.230489
value_head,210,8368.137821
value_head,220,8762.377012
value_head,230,9142.815141
value_head,240,9535.854311
value_head,250,9934.029768
value_head,260,10338.034989
value_head,270,10731.196984
value_head,280,11130.58436
value_head,290,11538.981945
value_head,300,11940.090798
value_head,310,12335.11324
value_head,320,12725.853468
value_head,330,13114.81798
value_head,340,13502.073531
value_head,350,13908.008282
