layer_group,round,l2_norm
input_block,10,668.747009
input_block,20,1319.066929
input_block,30,1971.071634
input_block,40,2617.411602
input_block,50,3267.43118
input_block,60,3915.529059
input_block,70,4570.425938
input_block,80,5226.861958
input_block,90,5888.239518
input_block,100,6535.470734
input_block,110,7186.52738
input_block,120,7837.813888
input_block,130,8489.090519
input_block,140,9140.383501
input_block,150,9792.16593
input_block,160,10454.139446
input_block,170,11109.550765
input_block,180,11765.225152
input_block,190,12412.60363
input_block,200,13059.391013
input_block,210,13705.529058
input_block,220,14349.203043
input_block,230,14999.646251
input_block,240,15646.078551
input_block,250,16297.37343
input_block,260,16948.757969
input_block,270,17601.52953
input_block,280,18252.084468
input_block,290,18891.277432
input_block,300,19531.091936
input_block,310,20173.780623
input_block,320,20824.79703
input_block,330,21472.799425
input_block,340,22124.498043
input_block,350,22771.787895
early_residual,10,1996.154735
early_residual,20,3623.502004
early_residual,30,5121.0265
early_residual,40,6575.531291
early_residual,50,7868.409919
early_residual,60,9219.594852
early_residual,70,10423.495813
early_residual,80,11623.516677
early_residual,90,12873.123123
early_residual,100,13922.570273
early_residual,110,15022.72525
early_residual,120,16185.109864
early_residual,130,17270.869742
early_residual,140,18393.410245
early_residual,150,19512.230045
early_residual,160,20685.659899
early_residual,170,21865.144844
early_residual,180,22681.830567
early_residual,190,23769.604201
early_residual,200,24601.918051
early_residual,210,25476.373558
early_residual,220,26598.312317
early_residual,230,27288.684178
early_residual,240,27862.987996
early_residual,250,28461.250472
early_residual,260,29170.405901
early_residual,270,29831.112087
early_residual,280,30117.798099
early_residual,290,30508.427614
early_residual,300,30762.001482
early_residual,310,31124.186531
early_residual,320,31595.983995
early_residual,330,32222.261923
early_residual,340,32796.631195
early_residual,350,33488.279546
middle_residual,10,2319.779165
middle_residual,20,5051.280392
middle_residual,30,7803.808011
middle_residual,40,10232.205419
middle_residual,50,12119.34467
middle_residual,60,14036.117952
middle_residual,70,15485.057932
middle_residual,80,17135.689335
middle_residual,90,18675.809109
middle_residual,100,19736.461736
middle_residual,110,21115.752527
middle_residual,120,22589.500848
middle_residual,130,23953.597638
middle_residual,140,25321.838968
middle_residual,150,26779.959578
middle_residual,160,28128.091965
middle_residual,170,29761.16337
middle_residual,180,30535.898333
middle_residual,190,31906.941081
middle_residual,200,32777.446913
middle_residual,210,33580.380237
middle_residual,220,35144.961355
middle_residual,230,35735.08461
middle_residual,240,36123.212789
middle_residual,250,36554.408104
middle_residual,260,37318.307584
middle_residual,270,37790.448856
middle_residual,280,37635.583948
middle_residual,290,37813.841966
middle_residual,300,37643.624175
middle_residual,310,37710.098898
middle_residual,320,37959.532126
middle_residual,330,38550.931357
middle_residual,340,39038.341686
middle_residual,350,39772.379905
policy_head,10,1788.347336
policy_head,20,2678.084374
policy_head,30,3750.044997
policy_head,40,5009.978386
policy_head,50,6389.361415
policy_head,60,7829.978721
policy_head,70,9418.303712
policy_head,80,11016.321467
policy_head,90,12682.77568
policy_head,100,14388.342913
policy_head,110,16355.383126
policy_head,120,18147.696511
policy_head,130,20147.228891
policy_head,140,22341.053479
policy_head,150,24362.286764
policy_head,160,26492.50835
policy_head,170,28849.326501
policy_head,180,31219.091234
policy_head,190,32993.554406
policy_head,200,35206.298341
policy_head,210,36995.951289
policy_head,220,39586.708318
policy_head,230,41149.833097
policy_head,240,42792.645757
policy_head,250,44321.290377
policy_head,260,46126.609993
policy_head,270,47935.984922
policy_head,280,48018.404148
policy_head,290,48488.211998
policy_head,300,48711.443077
policy_head,310,49050.142312
policy_head,320,49913.553611
policy_head,330,50445.61304
policy_head,340,50755.50216
policy_head,350,51667.094639
value_head,10,409.131252
value_head,20,805.602252
value_head,30,1203.784018
value_head,40,1599.982718
value_head,50,1995.269522
value_head,60,2389.652363
value_head,70,2790.045396
value_head,80,3184.889643
value_head,90,3587.831786
value_head,100,3978.279134
value_head,110,4389.87197
value_head,120,4789.506205
value_head,130,5193.2858
value_head,140,5599.100742
value_head,150,5992.040138
value_head,160,6413.761173
value_head,170,6820.334948
value_head,180,7239.623997
value_head,190,7644.918464
value_head,200,8049.054137
value_head,210,8444.356465
value_head,220,8874.568991
value_head,230,9282.345008
value_head,240,9666.267236
value_head,250,10084.556564
value_head,260,10475.528695
value_head,270,10870.048249
value_head,280,11270.92919
value_head,290,11674.307437
value_head,300,12079.552037
value_head,310,12489.983995
value_head,320,12892.340997
value_head,330,13290.225953
value_head,340,13689.070023
value_head,350,14104.477276
