layer_group,round,l2_norm
input_block,10,671.364901
input_block,20,1331.119319
input_block,30,1990.906762
input_block,40,2645.724132
input_block,50,3296.669073
input_block,60,3948.934223
input_block,70,4607.027617
input_block,80,5262.072656
input_block,90,5919.516379
input_block,100,6568.61699
input_block,110,7221.330424
input_block,120,7878.001412
input_block,130,8531.046485
input_block,140,9184.902757
input_block,150,9837.022175
input_block,160,10498.538948
input_block,170,11160.166123
input_block,180,11818.949356
input_block,190,12469.590771
input_block,200,13124.311461
input_block,210,13776.755373
input_block,220,14430.149955
input_block,230,15086.041743
input_block,240,15739.547927
input_block,250,16396.471784
input_block,260,17050.6019
input_block,270,17708.830199
input_block,280,18361.841232
input_block,290,19008.533541
input_block,300,19655.991202
input_block,310,20303.026967
input_block,320,20952.518692
input_block,330,21602.955274
input_block,340,22254.943004
input_block,350,22906.293896
early_residual,10,1794.450782
early_residual,20,2940.817731
early_residual,30,3808.76859
early_residual,40,4695.050216
early_residual,50,5602.838069
early_residual,60,6646.238726
early_residual,70,7534.814546
early_residual,80,8518.435326
early_residual,90,9409.163957
early_residual,100,10317.60294
early_residual,110,11216.268239
early_residual,120,12051.078405
early_residual,130,13009.314123
early_residual,140,13846.154838
early_residual,150,14778.982772
early_residual,160,15664.842945
early_residual,170,16558.297272
early_residual,180,17428.74593
early_residual,190,18171.178693
early_residual,200,18845.587153
early_residual,210,19558.672672
early_residual,220,20262.951575
early_residual,230,20919.306112
early_residual,240,21356.03603
early_residual,250,21953.758039
early_residual,260,22563.592812
early_residual,270,23200.378321
early_residual,280,23713.440374
early_residual,290,24318.362576
early_residual,300,24897.556032
early_residual,310,25477.799145
early_residual,320,26107.658751
early_residual,330,26651.760558
early_residual,340,27285.968555
early_residual,350,27921.85373
middle_residual,10,2071.112993
middle_residual,20,4076.509821
middle_residual,30,5937.734674
middle_residual,40,7062.889564
middle_residual,50,8043.345191
middle_residual,60,9007.694935
middle_residual,70,9583.179063
middle_residual,80,10499.387057
middle_residual,90,11197.636795
middle_residual,100,12127.951175
middle_residual,110,12956.691379
middle_residual,120,13573.350265
middle_residual,130,14395.485227
middle_residual,140,15001.413673
middle_residual,150,15895.927292
middle_residual,160,16737.511809
middle_residual,170,17511.68626
middle_residual,180,18310.193718
middle_residual,190,19044.493897
middle_residual,200,19697.650658
middle_residual,210,20324.564447
middle_residual,220,20936.401173
middle_residual,230,21527.87232
middle_residual,240,21946.25908
middle_residual,250,22441.120112
middle_residual,260,23027.245462
middle_residual,270,23646.123627
middle_residual,280,24139.587939
middle_residual,290,24758.060154
middle_residual,300,25320.173565
middle_residual,310,25890.413139
middle_residual,320,26517.367087
middle_residual,330,27091.469808
middle_residual,340,27746.556485
middle_residual,350,28358.241525
policy_head,10,991.784852
policy_head,20,1901.247969
policy_head,30,2935.439912
policy_head,40,4135.09451
policy_head,50,5360.203516
policy_head,60,6820.066783
policy_head,70,8215.583227
policy_head,80,9873.027697
policy_head,90,11542.616316
policy_head,100,13080.075891
policy_head,110,14819.320866
policy_head,120,16475.605238
policy_head,130,18622.937793
policy_head,140,20652.4603
policy_head,150,22918.619927
policy_head,160,24860.105189
policy_head,170,27213.195503
policy_head,180,30110.894268
policy_head,190,31462.976668
policy_head,200,32917.226026
policy_head,210,34797.930498
policy_head,220,36875.919948
policy_head,230,37889.849806
policy_head,240,38810.237953
policy_head,250,39843.363847
policy_head,260,41168.190168
policy_head,270,42336.468697
policy_head,280,42419.885915
policy_head,290,43660.225323
policy_head,300,44359.119254
policy_head,310,44975.039244
policy_head,320,45756.918724
policy_head,330,46206.588611
policy_head,340,47020.118996
policy_head,350,47941.7749
value_head,10,397.673013
value_head,20,788.08481
value_head,30,1182.870562
value_head,40,1574.469457
value_head,50,1970.648073
value_head,60,2371.112452
value_head,70,2767.889964
value_head,80,3171.369218
value_head,90,3566.597837
value_head,100,3957.255805
value_head,110,4355.651905
value_head,120,4752.505594
value_head,130,5143.167688
value_head,140,5545.098828
value_head,150,5945.612133
value_head,160,6353.922856
value_head,170,6766.089632
value_head,180,7177.731489
value_head,190,7584.183487
value_head,200,7979.667909
value_head,210,8382.01459
value_head,220,8773.922598
value_head,230,9163.104691
value_head,240,9556.922024
value_head,250,9960.416855
value_head,260,10372.609108
value_head,270,10771.040169
value_head,280,11149.035025
value_head,290,11538.425047
value_head,300,11928.19701
value_head,310,12318.999468
value_head,320,12709.634294
value_head,330,13123.30105
value_head,340,13533.634886
value_head,350,13948.723009
