cluster,phase,round,avg_legal_moves
tactical,Opening,10,14.97
tactical,Opening,20,15.57
tactical,Opening,30,16.53
tactical,Opening,40,17.23
tactical,Opening,50,18.07
tactical,Opening,60,16.53
tactical,Opening,70,17.07
tactical,Opening,90,17.57
tactical,Opening,100,16.43
tactical,Opening,110,18.13
tactical,Opening,120,16.53
tactical,Opening,130,15.53
tactical,Opening,140,16.63
tactical,Opening,150,17.37
tactical,Opening,160,16.73
tactical,Opening,170,17.17
tactical,Opening,180,18.2
tactical,Opening,190,17.43
tactical,Opening,200,17.97
tactical,Opening,210,19.4
tactical,Opening,220,18.03
tactical,Opening,230,17.03
tactical,Opening,240,17.13
tactical,Opening,250,17.03
tactical,Opening,260,17.47
tactical,Opening,270,14.7
tactical,Opening,280,17.97
tactical,Opening,290,18.0
tactical,Opening,300,17.37
tactical,Opening,310,17.07
tactical,Opening,320,17.23
tactical,Opening,330,16.5
tactical,Opening,340,16.97
tactical,Opening,350,16.97
positional,Opening,10,12.57
positional,Opening,20,15.43
positional,Opening,30,18.5
positional,Opening,40,17.97
positional,Opening,50,17.07
positional,Opening,60,18.27
positional,Opening,70,17.27
positional,Opening,90,15.37
positional,Opening,100,14.07
positional,Opening,110,13.6
positional,Opening,120,16.3
positional,Opening,130,17.33
positional,Opening,140,15.6
positional,Opening,150,15.03
positional,Opening,160,19.27
positional,Opening,170,18.3
positional,Opening,180,16.23
positional,Opening,190,14.17
positional,Opening,200,15.3
positional,Opening,210,15.2
positional,Opening,220,17.93
positional,Opening,230,15.8
positional,Opening,240,15.17
positional,Opening,250,14.33
positional,Opening,260,16.4
positional,Opening,270,14.8
positional,Opening,280,14.93
positional,Opening,290,14.37
positional,Opening,300,15.23
positional,Opening,310,14.83
positional,Opening,320,15.07
positional,Opening,330,14.9
positional,Opening,340,14.83
positional,Opening,350,14.6
tactical,Middlegame,10,34.17
tactical,Middlegame,20,33.61
tactical,Middlegame,30,34.37
tactical,Middlegame,40,36.22
tactical,Middlegame,50,37.04
tactical,Middlegame,60,35.33
tactical,Middlegame,70,35.02
tactical,Middlegame,90,36.87
tactical,Middlegame,100,36.84
tactical,Middlegame,110,35.99
tactical,Middlegame,120,35.1
tactical,Middlegame,130,35.71
tactical,Middlegame,140,37.08
tactical,Middlegame,150,36.64
tactical,Middlegame,160,35.26
tactical,Middlegame,170,37.77
tactical,Middlegame,180,36.69
tactical,Middlegame,190,36.81
tactical,Middlegame,200,38.02
tactical,Middlegame,210,38.07
tactical,Middlegame,220,36.5
tactical,Middlegame,230,35.46
tactical,Middlegame,240,36.13
tactical,Middlegame,250,36.61
tactical,Middlegame,260,37.49
tactical,Middlegame,270,36.33
tactical,Middlegame,280,37.86
tactical,Middlegame,290,36.97
tactical,Middlegame,300,37.43
tactical,Middlegame,310,36.82
tactical,Middlegame,320,36.43
tactical,Middlegame,330,36.88
tactical,Middlegame,340,36.68
tactical,Middlegame,350,36.41
positional,Middlegame,10,34.14
positional,Middlegame,20,35.03
positional,Middlegame,30,37.35
positional,Middlegame,40,35.5
positional,Middlegame,50,37.96
positional,Middlegame,60,37.29
positional,Middlegame,70,35.98
positional,Middlegame,90,34.67
positional,Middlegame,100,34.45
positional,Middlegame,110,34.78
positional,Middlegame,120,37.3
positional,Middlegame,130,38.39
positional,Middlegame,140,36.61
positional,Middlegame,150,35.82
positional,Middlegame,160,36.6
positional,Middlegame,170,36.74
positional,Middlegame,180,37.14
positional,Middlegame,190,35.07
positional,Middlegame,200,35.97
positional,Middlegame,210,37.23
positional,Middlegame,220,37.84
positional,Middlegame,230,36.78
positional,Middlegame,240,34.6
positional,Middlegame,250,35.21
positional,Middlegame,260,37.88
positional,Middlegame,270,35.77
positional,Middlegame,280,36.28
positional,Middlegame,290,36.42
positional,Middlegame,300,37.18
positional,Middlegame,310,36.47
positional,Middlegame,320,36.44
positional,Middlegame,330,36.2
positional,Middlegame,340,35.82
positional,Middlegame,350,36.82
tactical,Endgame,10,33.2
tactical,Endgame,20,29.56
tactical,Endgame,30,28.11
tactical,Endgame,40,31.22
tactical,Endgame,50,32.13
tactical,Endgame,60,32.13
tactical,Endgame,70,32.42
tactical,Endgame,90,33.79
tactical,Endgame,100,35.03
tactical,Endgame,110,32.16
tactical,Endgame,120,31.74
tactical,Endgame,130,36.0
tactical,Endgame,140,35.37
tactical,Endgame,150,36.47
tactical,Endgame,160,34.28
tactical,Endgame,170,37.1
tactical,Endgame,180,38.37
tactical,Endgame,190,38.03
tactical,Endgame,200,35.68
tactical,Endgame,210,36.33
tactical,Endgame,220,35.83
tactical,Endgame,230,35.06
tactical,Endgame,240,37.38
tactical,Endgame,250,36.94
tactical,Endgame,260,36.43
tactical,Endgame,270,37.6
tactical,Endgame,280,36.03
tactical,Endgame,290,38.71
tactical,Endgame,300,34.95
tactical,Endgame,310,38.41
tactical,Endgame,320,36.52
tactical,Endgame,330,37.45
tactical,Endgame,340,37.89
tactical,Endgame,350,37.58
positional,Endgame,10,24.65
positional,Endgame,20,29.4
positional,Endgame,30,35.05
positional,Endgame,40,31.24
positional,Endgame,50,30.71
positional,Endgame,60,33.36
positional,Endgame,70,31.77
positional,Endgame,90,34.0
positional,Endgame,100,34.83
positional,Endgame,110,33.51
positional,Endgame,120,37.7
positional,Endgame,130,34.99
positional,Endgame,140,34.54
positional,Endgame,150,34.6
positional,Endgame,160,34.73
positional,Endgame,170,31.37
positional,Endgame,180,34.74
positional,Endgame,190,36.68
positional,Endgame,200,34.45
positional,Endgame,210,34.44
positional,Endgame,220,32.0
positional,Endgame,230,37.57
positional,Endgame,240,34.42
positional,Endgame,250,33.14
positional,Endgame,260,35.07
positional,Endgame,270,35.23
positional,Endgame,280,38.76
positional,Endgame,290,36.1
positional,Endgame,300,37.46
positional,Endgame,310,37.98
positional,Endgame,320,34.14
positional,Endgame,330,34.92
positional,Endgame,340,36.16
positional,Endgame,350,37.81
