cluster,phase,round,avg_legal_moves
tactical,Opening,10,17.57
tactical,Opening,20,15.6
tactical,Opening,30,17.0
tactical,Opening,40,15.9
tactical,Opening,50,16.2
tactical,Opening,60,16.17
tactical,Opening,70,16.57
tactical,Opening,80,13.93
tactical,Opening,90,16.8
tactical,Opening,100,16.23
tactical,Opening,110,18.5
tactical,Opening,120,17.57
tactical,Opening,130,16.43
tactical,Opening,140,16.73
tactical,Opening,150,15.5
tactical,Opening,160,16.33
tactical,Opening,170,18.37
tactical,Opening,180,17.97
tactical,Opening,190,18.67
tactical,Opening,200,17.4
tactical,Opening,210,15.6
tactical,Opening,220,19.6
tactical,Opening,230,18.0
tactical,Opening,240,19.2
tactical,Opening,250,17.73
tactical,Opening,260,18.57
tactical,Opening,270,19.53
tactical,Opening,280,19.3
tactical,Opening,290,18.53
tactical,Opening,300,20.0
tactical,Opening,310,17.87
tactical,Opening,320,16.73
tactical,Opening,330,18.23
tactical,Opening,340,17.07
tactical,Opening,350,16.23
positional,Opening,10,15.67
positional,Opening,20,16.63
positional,Opening,30,16.2
positional,Opening,40,16.17
positional,Opening,50,16.37
positional,Opening,60,15.07
positional,Opening,70,17.57
positional,Opening,80,16.47
positional,Opening,90,16.03
positional,Opening,100,18.63
positional,Opening,110,14.83
positional,Opening,120,17.63
positional,Opening,130,17.57
positional,Opening,140,15.8
positional,Opening,150,15.77
positional,Opening,160,16.33
positional,Opening,170,17.13
positional,Opening,180,18.9
positional,Opening,190,19.63
positional,Opening,200,16.13
positional,Opening,210,17.43
positional,Opening,220,19.03
positional,Opening,230,15.87
positional,Opening,240,17.1
positional,Opening,250,18.47
positional,Opening,260,18.3
positional,Opening,270,16.27
positional,Opening,280,16.4
positional,Opening,290,15.27
positional,Opening,300,13.83
positional,Opening,310,17.87
positional,Opening,320,17.47
positional,Opening,330,15.9
positional,Opening,340,18.73
positional,Opening,350,17.47
tactical,Middlegame,10,35.34
tactical,Middlegame,20,33.71
tactical,Middlegame,30,34.27
tactical,Middlegame,40,35.39
tactical,Middlegame,50,34.28
tactical,Middlegame,60,34.79
tactical,Middlegame,70,34.63
tactical,Middlegame,80,34.81
tactical,Middlegame,90,35.81
tactical,Middlegame,100,35.79
tactical,Middlegame,110,35.96
tactical,Middlegame,120,36.91
tactical,Middlegame,130,35.61
tactical,Middlegame,140,36.33
tactical,Middlegame,150,35.67
tactical,Middlegame,160,36.04
tactical,Middlegame,170,36.5
tactical,Middlegame,180,35.2
tactical,Middlegame,190,37.73
tactical,Middlegame,200,36.13
tactical,Middlegame,210,36.4
tactical,Middlegame,220,37.12
tactical,Middlegame,230,37.24
tactical,Middlegame,240,37.46
tactical,Middlegame,250,36.33
tactical,Middlegame,260,37.94
tactical,Middlegame,270,39.27
tactical,Middlegame,280,37.97
tactical,Middlegame,290,36.96
tactical,Middlegame,300,38.13
tactical,Middlegame,310,36.92
tactical,Middlegame,320,35.55
tactical,Middlegame,330,37.34
tactical,Middlegame,340,37.15
tactical,Middlegame,350,36.51
positional,Middlegame,10,34.8
positional,Middlegame,20,34.02
positional,Middlegame,30,36.13
positional,Middlegame,40,37.23
positional,Middlegame,50,35.05
positional,Middlegame,60,34.93
positional,Middlegame,70,35.51
positional,Middlegame,80,37.0
positional,Middlegame,90,34.56
positional,Middlegame,100,38.06
positional,Middlegame,110,36.53
positional,Middlegame,120,36.24
positional,Middlegame,130,39.26
positional,Middlegame,140,35.85
positional,Middlegame,150,37.15
positional,Middlegame,160,35.43
positional,Middlegame,170,37.38
