cluster,phase,round,avg_legal_moves
tactical,Opening,10,18.7
tactical,Opening,20,15.97
tactical,Opening,30,15.67
tactical,Opening,40,15.2
tactical,Opening,50,16.97
tactical,Opening,60,16.2
tactical,Opening,70,17.2
tactical,Opening,80,18.23
tactical,Opening,90,16.43
tactical,Opening,100,17.57
tactical,Opening,110,18.03
tactical,Opening,120,17.0
tactical,Opening,130,17.47
tactical,Opening,140,17.53
tactical,Opening,150,16.9
tactical,Opening,160,18.1
tactical,Opening,170,17.73
tactical,Opening,180,17.17
tactical,Opening,190,17.9
tactical,Opening,200,18.73
tactical,Opening,210,17.67
tactical,Opening,220,18.67
tactical,Opening,230,18.6
tactical,Opening,240,16.93
tactical,Opening,250,18.3
tactical,Opening,260,17.3
tactical,Opening,270,17.4
tactical,Opening,280,15.93
tactical,Opening,290,18.77
tactical,Opening,300,18.07
tactical,Opening,310,17.03
tactical,Opening,320,17.53
tactical,Opening,330,19.53
tactical,Opening,340,17.77
tactical,Opening,350,18.83
positional,Opening,10,15.03
positional,Opening,20,15.77
positional,Opening,30,15.83
positional,Opening,40,18.2
positional,Opening,50,15.8
positional,Opening,60,16.63
positional,Opening,70,15.83
positional,Opening,80,16.03
positional,Opening,90,15.53
positional,Opening,100,13.9
positional,Opening,110,14.53
positional,Opening,120,13.47
positional,Opening,130,14.4
positional,Opening,140,13.83
positional,Opening,150,14.03
positional,Opening,160,15.57
positional,Opening,170,15.67
positional,Opening,180,16.73
positional,Opening,190,14.63
positional,Opening,200,14.43
positional,Opening,210,17.63
positional,Opening,220,14.67
positional,Opening,230,14.1
positional,Opening,240,14.37
positional,Opening,250,15.8
positional,Opening,260,14.8
positional,Opening,270,15.67
positional,Opening,280,15.33
positional,Opening,290,15.67
positional,Opening,300,15.4
positional,Opening,310,14.53
positional,Opening,320,16.27
positional,Opening,330,15.27
positional,Opening,340,15.13
positional,Opening,350,15.13
tactical,Middlegame,10,36.11
tactical,Middlegame,20,33.94
tactical,Middlegame,30,36.47
tactical,Middlegame,40,36.31
tactical,Middlegame,50,36.38
tactical,Middlegame,60,35.66
tactical,Middlegame,70,35.92
tactical,Middlegame,80,34.62
tactical,Middlegame,90,36.12
tactical,Middlegame,100,35.93
tactical,Middlegame,110,37.4
tactical,Middlegame,120,35.73
tactical,Middlegame,130,36.44
tactical,Middlegame,140,36.33
tactical,Middlegame,150,35.85
tactical,Middlegame,160,36.47
tactical,Middlegame,170,37.74
tactical,Middlegame,180,35.77
tactical,Middlegame,190,36.41
tactical,Middlegame,200,36.93
tactical,Middlegame,210,36.81
tactical,Middlegame,220,36.87
tactical,Middlegame,230,37.71
tactical,Middlegame,240,35.72
tactical,Middlegame,250,36.46
tactical,Middlegame,260,37.15
tactical,Middlegame,270,38.21
tactical,Middlegame,280,36.95
tactical,Middlegame,290,36.73
tactical,Middlegame,300,36.84
tactical,Middlegame,310,36.96
tactical,Middlegame,320,36.82
tactical,Middlegame,330,37.8
tactical,Middlegame,340,36.43
tactical,Middlegame,350,37.21
positional,Middlegame,10,33.03
positional,Middlegame,20,34.4
positional,Middlegame,30,35.61
positional,Middlegame,40,37.58
positional,Middlegame,50,35.48
positional,Middlegame,60,34.72
positional,Middlegame,70,36.0
positional,Middlegame,80,36.22
positional,Middlegame,90,36.74
positional,Middlegame,100,36.17
positional,Middlegame,110,35.39
positional,Middlegame,120,34.35
positional,Middlegame,130,35.82
positional,Middlegame,140,33.84
positional,Middlegame,150,36.5
positional,Middlegame,160,34.72
positional,Middlegame,170,36.82
positional,Middlegame,180,37.81
positional,Middlegame,190,34.93
positional,Middlegame,200,35.73
positional,Middlegame,210,38.7
positional,Middlegame,220,35.2
positional,Middlegame,230,34.3
positional,Middlegame,240,35.36
positional,Middlegame,250,35.42
positional,Middlegame,260,36.51
positional,Middlegame,270,37.94
positional,Middlegame,280,35.41
positional,Middlegame,290,36.46
positional,Middlegame,300,35.87
positional,Middlegame,310,36.33
positional,Middlegame,320,37.79
positional,Middlegame,330,36.59
positional,Middlegame,340,36.08
positional,Middlegame,350,35.68
tactical,Endgame,10,29.04
tactical,Endgame,20,27.48
tactical,Endgame,30,31.31
tactical,Endgame,40,33.29
tactical,Endgame,50,31.53
tactical,Endgame,60,34.03
tactical,Endgame,70,36.68
tactical,Endgame,80,34.08
tactical,Endgame,90,35.01
tactical,Endgame,100,36.18
tactical,Endgame,110,36.21
tactical,Endgame,120,36.87
tactical,Endgame,130,34.01
tactical,Endgame,140,35.79
tactical,Endgame,150,37.26
tactical,Endgame,160,34.51
tactical,Endgame,170,34.63
tactical,Endgame,180,35.5
tactical,Endgame,190,35.04
tactical,Endgame,200,37.82
tactical,Endgame,210,35.84
tactical,Endgame,220,38.69
tactical,Endgame,230,36.04
tactical,Endgame,240,37.35
tactical,Endgame,250,37.4
tactical,Endgame,260,34.42
tactical,Endgame,270,37.35
tactical,Endgame,280,36.11
tactical,Endgame,290,35.14
tactical,Endgame,300,36.11
tactical,Endgame,310,36.96
tactical,Endgame,320,37.32
tactical,Endgame,330,39.42
tactical,Endgame,340,34.14
tactical,Endgame,350,36.82
positional,Endgame,10,26.46
positional,Endgame,20,29.77
positional,Endgame,30,31.69
positional,Endgame,40,31.13
positional,Endgame,50,35.75
positional,Endgame,60,29.46
positional,Endgame,70,36.35
positional,Endgame,80,31.71
positional,Endgame,90,31.43
positional,Endgame,100,35.66
positional,Endgame,110,33.24
positional,Endgame,120,35.62
positional,Endgame,130,33.21
positional,Endgame,140,37.6
positional,Endgame,150,35.28
positional,Endgame,160,34.56
positional,Endgame,170,35.59
positional,Endgame,180,37.01
positional,Endgame,190,34.43
positional,Endgame,200,33.74
positional,Endgame,210,34.83
positional,Endgame,220,36.33
positional,Endgame,230,35.9
positional,Endgame,240,36.33
positional,Endgame,250,36.29
positional,Endgame,260,35.22
positional,Endgame,270,36.65
positional,Endgame,280,36.4
positional,Endgame,290,36.78
positional,Endgame,300,30.59
positional,Endgame,310,35.94
positional,Endgame,320,36.91
positional,Endgame,330,37.45
positional,Endgame,340,34.62
positional,Endgame,350,36.46
