cluster,phase,round,avg_legal_moves
tactical,Opening,10,15.7
tactical,Opening,20,16.4
tactical,Opening,30,13.73
tactical,Opening,40,16.43
tactical,Opening,50,17.57
tactical,Opening,60,16.07
tactical,Opening,70,16.5
tactical,Opening,80,16.67
tactical,Opening,90,14.83
tactical,Opening,100,17.37
tactical,Opening,110,17.73
tactical,Opening,120,16.07
tactical,Opening,130,17.17
tactical,Opening,140,16.83
tactical,Opening,150,17.27
tactical,Opening,160,16.97
tactical,Opening,170,18.5
tactical,Opening,180,17.7
tactical,Opening,190,16.93
tactical,Opening,200,16.87
tactical,Opening,210,16.67
tactical,Opening,220,17.03
tactical,Opening,230,16.6
tactical,Opening,240,18.37
tactical,Opening,250,16.73
tactical,Opening,260,16.73
tactical,Opening,270,17.57
tactical,Opening,280,19.33
tactical,Opening,290,15.8
tactical,Opening,300,18.47
tactical,Opening,310,17.57
tactical,Opening,320,17.5
tactical,Opening,330,18.23
tactical,Opening,340,17.23
tactical,Opening,350,15.87
positional,Opening,10,14.43
positional,Opening,20,15.1
positional,Opening,30,15.97
positional,Opening,40,16.03
positional,Opening,50,16.0
positional,Opening,60,17.07
positional,Opening,70,16.17
positional,Opening,80,18.13
positional,Opening,90,14.37
positional,Opening,100,16.73
positional,Opening,110,15.7
positional,Opening,120,16.4
positional,Opening,130,14.7
positional,Opening,140,15.9
positional,Opening,150,17.57
positional,Opening,160,15.67
positional,Opening,170,16.13
positional,Opening,180,16.2
positional,Opening,190,17.1
positional,Opening,200,16.03
positional,Opening,210,15.47
positional,Opening,220,16.6
positional,Opening,230,13.43
positional,Opening,240,14.73
positional,Opening,250,14.63
positional,Opening,260,15.93
positional,Opening,270,15.33
positional,Opening,280,16.17
positional,Opening,290,14.23
positional,Opening,300,15.07
positional,Opening,310,14.1
positional,Opening,320,15.17
positional,Opening,330,15.0
positional,Opening,340,14.63
positional,Opening,350,13.8
tactical,Middlegame,10,33.36
tactical,Middlegame,20,33.97
tactical,Middlegame,30,36.13
tactical,Middlegame,40,35.86
tactical,Middlegame,50,35.81
tactical,Middlegame,60,35.43
tactical,Middlegame,70,34.12
tactical,Middlegame,80,35.87
tactical,Middlegame,90,36.83
tactical,Middlegame,100,36.52
tactical,Middlegame,110,37.42
tactical,Middlegame,120,35.56
tactical,Middlegame,130,35.75
tactical,Middlegame,140,34.85
tactical,Middlegame,150,35.98
tactical,Middlegame,160,36.6
tactical,Middlegame,170,37.43
tactical,Middlegame,180,34.64
tactical,Middlegame,190,36.65
tactical,Middlegame,200,35.89
tactical,Middlegame,210,35.98
tactical,Middlegame,220,36.97
tactical,Middlegame,230,35.95
tactical,Middlegame,240,36.1
tactical,Middlegame,250,35.71
tactical,Middlegame,260,36.78
tactical,Middlegame,270,35.88
tactical,Middlegame,280,37.56
tactical,Middlegame,290,37.02
tactical,Middlegame,300,37.21
tactical,Middlegame,310,36.7
tactical,Middlegame,320,35.45
tactical,Middlegame,330,36.7
tactical,Middlegame,340,37.1
tactical,Middlegame,350,36.72
positional,Middlegame,10,33.16
positional,Middlegame,20,33.96
positional,Middlegame,30,34.99
positional,Middlegame,40,35.06
positional,Middlegame,50,35.38
positional,Middlegame,60,37.38
positional,Middlegame,70,35.71
positional,Middlegame,80,37.2
positional,Middlegame,90,35.22
positional,Middlegame,100,36.17
positional,Middlegame,110,35.57
positional,Middlegame,120,36.78
positional,Middlegame,130,35.9
positional,Middlegame,140,36.87
positional,Middlegame,150,36.97
positional,Middlegame,160,36.03
positional,Middlegame,170,36.29
positional,Middlegame,180,37.57
positional,Middlegame,190,38.12
positional,Middlegame,200,36.96
positional,Middlegame,210,36.31
positional,Middlegame,220,36.48
positional,Middlegame,230,34.04
positional,Middlegame,240,36.78
positional,Middlegame,250,35.43
positional,Middlegame,260,35.51
positional,Middlegame,270,36.06
positional,Middlegame,280,36.16
positional,Middlegame,290,35.99
positional,Middlegame,300,36.17
positional,Middlegame,310,35.76
positional,Middlegame,320,36.34
positional,Middlegame,330,35.43
positional,Middlegame,340,34.84
positional,Middlegame,350,35.19
tactical,Endgame,10,29.24
tactical,Endgame,20,24.11
tactical,Endgame,30,30.88
tactical,Endgame,40,30.57
tactical,Endgame,50,32.51
tactical,Endgame,60,34.38
tactical,Endgame,70,30.62
tactical,Endgame,80,36.52
tactical,Endgame,90,37.2
tactical,Endgame,100,35.07
tactical,Endgame,110,37.15
tactical,Endgame,120,34.47
tactical,Endgame,130,37.1
tactical,Endgame,140,35.35
tactical,Endgame,150,34.91
tactical,Endgame,160,35.75
tactical,Endgame,170,33.35
tactical,Endgame,180,32.64
tactical,Endgame,190,38.04
tactical,Endgame,200,38.05
tactical,Endgame,210,36.34
tactical,Endgame,220,33.81
tactical,Endgame,230,35.56
tactical,Endgame,240,36.28
tactical,Endgame,250,34.79
tactical,Endgame,260,37.02
tactical,Endgame,270,31.49
tactical,Endgame,280,36.04
tactical,Endgame,290,38.71
tactical,Endgame,300,33.19
tactical,Endgame,310,37.49
tactical,Endgame,320,35.38
tactical,Endgame,330,36.33
tactical,Endgame,340,37.54
tactical,Endgame,350,38.73
positional,Endgame,10,29.67
positional,Endgame,20,28.99
positional,Endgame,30,31.64
positional,Endgame,40,32.02
positional,Endgame,50,26.85
positional,Endgame,60,35.26
positional,Endgame,70,32.99
positional,Endgame,80,33.52
positional,Endgame,90,33.62
positional,Endgame,100,32.17
positional,Endgame,110,33.7
positional,Endgame,120,35.66
positional,Endgame,130,34.69
positional,Endgame,140,35.46
positional,Endgame,150,34.08
positional,Endgame,160,33.07
positional,Endgame,170,33.45
positional,Endgame,180,36.77
positional,Endgame,190,33.95
positional,Endgame,200,37.0
positional,Endgame,210,35.89
positional,Endgame,220,36.6
positional,Endgame,230,34.61
positional,Endgame,240,36.14
positional,Endgame,250,32.36
positional,Endgame,260,35.38
positional,Endgame,270,36.48
positional,Endgame,280,33.03
positional,Endgame,290,37.59
positional,Endgame,300,32.3
positional,Endgame,310,38.38
positional,Endgame,320,36.69
positional,Endgame,330,33.68
positional,Endgame,340,36.72
positional,Endgame,350,38.89
