cluster,phase,round,avg_legal_moves
tactical,Opening,10,15.37
tactical,Opening,20,16.6
tactical,Opening,30,16.1
tactical,Opening,40,16.47
tactical,Opening,50,17.5
tactical,Opening,60,14.63
tactical,Opening,70,16.33
tactical,Opening,80,17.33
tactical,Opening,90,17.37
tactical,Opening,100,17.1
tactical,Opening,110,16.8
tactical,Opening,120,16.8
tactical,Opening,130,16.77
tactical,Opening,140,18.13
tactical,Opening,150,17.07
tactical,Opening,160,17.03
tactical,Opening,170,19.4
tactical,Opening,180,17.53
tactical,Opening,190,16.73
tactical,Opening,200,16.93
tactical,Opening,210,17.63
tactical,Opening,220,15.93
tactical,Opening,230,15.83
tactical,Opening,240,18.3
tactical,Opening,250,18.37
tactical,Opening,260,16.1
tactical,Opening,270,17.27
tactical,Opening,280,16.97
tactical,Opening,290,18.03
tactical,Opening,300,18.17
tactical,Opening,310,18.57
tactical,Opening,320,17.23
tactical,Opening,330,19.1
tactical,Opening,340,18.23
tactical,Opening,350,18.6
positional,Opening,10,15.4
positional,Opening,20,16.5
positional,Opening,30,16.6
positional,Opening,40,15.43
positional,Opening,50,16.57
positional,Opening,60,15.47
positional,Opening,70,15.6
positional,Opening,80,16.23
positional,Opening,90,16.97
positional,Opening,100,14.37
positional,Opening,110,15.77
positional,Opening,120,15.5
positional,Opening,130,17.73
positional,Opening,140,15.27
positional,Opening,150,17.27
positional,Opening,160,17.83
positional,Opening,170,15.0
positional,Opening,180,17.93
positional,Opening,190,17.63
positional,Opening,200,18.53
positional,Opening,210,16.37
positional,Opening,220,16.2
positional,Opening,230,15.1
positional,Opening,240,18.2
positional,Opening,250,17.5
positional,Opening,260,16.6
positional,Opening,270,14.13
positional,Opening,280,14.07
positional,Opening,290,18.9
positional,Opening,300,14.43
positional,Opening,310,14.43
positional,Opening,320,14.97
positional,Opening,330,13.77
positional,Opening,340,14.37
positional,Opening,350,14.9
tactical,Middlegame,10,33.14
tactical,Middlegame,20,34.38
tactical,Middlegame,30,33.53
tactical,Middlegame,40,34.45
tactical,Middlegame,50,34.47
tactical,Middlegame,60,35.18
tactical,Middlegame,70,36.1
tactical,Middlegame,80,35.29
tactical,Middlegame,90,35.54
tactical,Middlegame,100,36.08
tactical,Middlegame,110,36.3
tactical,Middlegame,120,36.27
tactical,Middlegame,130,37.34
tactical,Middlegame,140,36.43
tactical,Middlegame,150,36.64
tactical,Middlegame,160,36.41
tactical,Middlegame,170,37.57
tactical,Middlegame,180,37.8
tactical,Middlegame,190,35.45
tactical,Middlegame,200,36.21
tactical,Middlegame,210,36.81
tactical,Middlegame,220,35.63
tactical,Middlegame,230,37.16
tactical,Middlegame,240,38.39
tactical,Middlegame,250,38.38
tactical,Middlegame,260,37.43
tactical,Middlegame,270,36.26
tactical,Middlegame,280,37.56
tactical,Middlegame,290,37.02
tactical,Middlegame,300,38.22
tactical,Middlegame,310,36.6
tactical,Middlegame,320,37.03
tactical,Middlegame,330,37.71
tactical,Middlegame,340,36.57
tactical,Middlegame,350,38.13
