cluster,phase,round,avg_legal_moves
tactical,Opening,10,16.67
tactical,Opening,20,16.23
tactical,Opening,30,16.47
tactical,Opening,40,16.73
tactical,Opening,50,17.73
tactical,Opening,60,17.17
tactical,Opening,70,14.3
tactical,Opening,80,17.0
tactical,Opening,90,17.03
tactical,Opening,100,17.17
tactical,Opening,110,16.83
tactical,Opening,120,16.37
tactical,Opening,130,16.27
tactical,Opening,140,17.8
tactical,Opening,150,16.93
tactical,Opening,160,17.4
tactical,Opening,170,15.07
tactical,Opening,180,16.53
tactical,Opening,190,15.8
tactical,Opening,200,15.7
tactical,Opening,210,15.67
tactical,Opening,220,17.27
tactical,Opening,230,15.13
tactical,Opening,240,18.13
tactical,Opening,250,17.6
tactical,Opening,260,16.4
tactical,Opening,270,18.37
tactical,Opening,280,15.03
tactical,Opening,290,18.43
tactical,Opening,300,15.5
tactical,Opening,310,14.8
tactical,Opening,320,17.37
tactical,Opening,330,18.13
tactical,Opening,340,16.67
tactical,Opening,350,16.77
positional,Opening,10,16.13
positional,Opening,20,14.37
positional,Opening,30,16.1
positional,Opening,40,16.33
positional,Opening,50,16.0
positional,Opening,60,15.8
positional,Opening,70,17.5
positional,Opening,80,15.33
positional,Opening,90,18.67
positional,Opening,100,16.17
positional,Opening,110,13.97
positional,Opening,120,14.13
positional,Opening,130,18.03
positional,Opening,140,14.03
positional,Opening,150,18.1
positional,Opening,160,15.77
positional,Opening,170,16.67
positional,Opening,180,17.3
positional,Opening,190,16.47
positional,Opening,200,15.8
positional,Opening,210,17.13
positional,Opening,220,16.5
positional,Opening,230,15.77
positional,Opening,240,16.2
positional,Opening,250,18.33
positional,Opening,260,17.03
positional,Opening,270,19.67
positional,Opening,280,14.8
positional,Opening,290,17.17
positional,Opening,300,18.33
positional,Opening,310,16.83
positional,Opening,320,15.7
positional,Opening,330,17.6
positional,Opening,340,16.33
positional,Opening,350,17.87
tactical,Middlegame,10,34.74
tactical,Middlegame,20,32.9
tactical,Middlegame,30,35.17
tactical,Middlegame,40,33.43
tactical,Middlegame,50,34.3
tactical,Middlegame,60,34.53
tactical,Middlegame,70,35.35
tactical,Middlegame,80,36.43
tactical,Middlegame,90,36.26
tactical,Middlegame,100,36.5
tactical,Middlegame,110,35.88
tactical,Middlegame,120,35.52
tactical,Middlegame,130,36.5
tactical,Middlegame,140,36.26
tactical,Middlegame,150,34.77
tactical,Middlegame,160,36.08
tactical,Middlegame,170,35.85
tactical,Middlegame,180,35.19
tactical,Middlegame,190,37.03
tactical,Middlegame,200,36.15
tactical,Middlegame,210,35.98
tactical,Middlegame,220,35.89
tactical,Middlegame,230,34.67
tactical,Middlegame,240,36.78
tactical,Middlegame,250,35.81
tactical,Middlegame,260,35.68
tactical,Middlegame,270,37.63
tactical,Middlegame,280,36.22
tactical,Middlegame,290,35.77
tactical,Middlegame,300,35.47
tactical,Middlegame,310,34.79
tactical,Middlegame,320,37.44
tactical,Middlegame,330,36.41
tactical,Middlegame,340,36.44
tactical,Middlegame,350,35.74
positional,Middlegame,10,33.41
positional,Middlegame,20,33.1
positional,Middlegame,30,34.83
positional,Middlegame,40,36.36
positional,Middlegame,50,34.32
positional,Middlegame,60,36.25
positional,Middlegame,70,36.38
positional,Middlegame,80,36.49
positional,Middlegame,90,36.84
positional,Middlegame,100,36.92
positional,Middlegame,110,34.18
positional,Middlegame,120,36.25
positional,Middlegame,130,37.99
positional,Middlegame,140,34.86
positional,Middlegame,150,38.8
positional,Middlegame,160,36.44
positional,Middlegame,170,36.7
positional,Middlegame,180,36.67
positional,Middlegame,190,35.31
positional,Middlegame,200,35.53
positional,Middlegame,210,37.0
positional,Middlegame,220,35.96
positional,Middlegame,230,35.78
positional,Middlegame,240,36.35
positional,Middlegame,250,37.22
positional,Middlegame,260,37.22
positional,Middlegame,270,37.24
positional,Middlegame,280,35.03
positional,Middlegame,290,36.63
positional,Middlegame,300,37.21
positional,Middlegame,310,35.5
positional,Middlegame,320,35.6
positional,Middlegame,330,37.32
positional,Middlegame,340,37.75
positional,Middlegame,350,37.73
tactical,Endgame,10,29.99
tactical,Endgame,20,27.96
tactical,Endgame,30,30.76
tactical,Endgame,40,29.77
tactical,Endgame,50,31.69
tactical,Endgame,60,27.57
tactical,Endgame,70,35.35
tactical,Endgame,80,34.7
tactical,Endgame,90,36.33
tactical,Endgame,100,34.88
tactical,Endgame,110,33.69
tactical,Endgame,120,33.52
tactical,Endgame,130,37.36
tactical,Endgame,140,34.47
tactical,Endgame,150,33.21
tactical,Endgame,160,32.3
tactical,Endgame,170,36.12
tactical,Endgame,180,36.85
tactical,Endgame,190,37.37
tactical,Endgame,200,35.27
tactical,Endgame,210,32.83
tactical,Endgame,220,37.42
tactical,Endgame,230,35.0
tactical,Endgame,240,34.67
tactical,Endgame,250,36.62
tactical,Endgame,260,33.52
tactical,Endgame,270,37.27
tactical,Endgame,280,34.8
tactical,Endgame,290,35.64
tactical,Endgame,300,32.07
tactical,Endgame,310,35.14
tactical,Endgame,320,33.6
tactical,Endgame,330,36.46
tactical,Endgame,340,38.85
tactical,Endgame,350,33.62
positional,Endgame,10,25.04
positional,Endgame,20,30.68
positional,Endgame,30,29.87
positional,Endgame,40,33.22
positional,Endgame,50,32.11
positional,Endgame,60,34.66
positional,Endgame,70,28.86
positional,Endgame,80,36.54
positional,Endgame,90,34.93
positional,Endgame,100,32.02
positional,Endgame,110,31.67
positional,Endgame,120,34.29
positional,Endgame,130,35.59
positional,Endgame,140,36.96
positional,Endgame,150,36.07
positional,Endgame,160,38.63
positional,Endgame,170,35.28
positional,Endgame,180,36.46
positional,Endgame,190,30.64
positional,Endgame,200,35.08
positional,Endgame,210,36.12
positional,Endgame,220,35.69
positional,Endgame,230,36.37
positional,Endgame,240,33.23
positional,Endgame,250,36.84
positional,Endgame,260,33.33
positional,Endgame,270,35.92
positional,Endgame,280,35.12
positional,Endgame,290,34.55
positional,Endgame,300,34.83
positional,Endgame,310,35.66
positional,Endgame,320,36.67
positional,Endgame,330,34.38
positional,Endgame,340,38.16
positional,Endgame,350,35.95
