cluster,round,attacked_material,captures
tactical,10,59.57,12.87
tactical,20,58.93,12.53
tactical,30,53.87,11.97
tactical,40,60.17,14.7
tactical,50,69.73,13.9
tactical,60,61.83,14.13
tactical,70,56.5,13.27
tactical,90,64.37,10.13
tactical,100,68.27,13.47
tactical,110,70.93,14.73
tactical,120,69.97,13.77
tactical,130,72.1,14.23
tactical,140,67.3,12.8
tactical,150,72.9,14.2
tactical,160,62.43,13.7
tactical,170,72.33,14.97
tactical,180,65.73,12.9
tactical,190,69.93,13.0
tactical,200,81.63,15.2
tactical,210,74.3,14.23
tactical,220,68.77,15.13
tactical,230,67.07,15.03
tactical,240,69.23,14.2
tactical,250,72.7,13.37
tactical,260,81.67,15.67
tactical,270,73.77,16.2
tactical,280,62.77,13.83
tactical,290,67.67,12.83
tactical,300,73.57,13.63
tactical,310,82.5,14.07
tactical,320,78.7,14.47
tactical,330,71.57,13.5
tactical,340,74.47,15.4
tactical,350,68.6,14.23
positional,10,58.9,13.13
positional,20,55.8,13.63
positional,30,63.33,14.93
positional,40,51.3,13.73
positional,50,65.07,14.7
positional,60,63.93,12.83
positional,70,74.93,12.87
positional,90,66.2,13.83
positional,100,66.2,13.37
positional,110,66.4,12.97
positional,120,69.67,14.57
positional,130,66.6,14.63
positional,140,65.77,13.7
positional,150,60.67,12.63
positional,160,69.43,15.2
positional,170,64.93,14.77
positional,180,75.13,15.97
positional,190,69.27,13.9
positional,200,72.3,17.97
positional,210,79.5,14.23
positional,220,77.93,14.23
positional,230,68.03,15.47
positional,240,68.87,15.83
positional,250,63.13,14.33
positional,260,75.0,16.1
positional,270,70.0,12.87
positional,280,68.13,13.2
positional,290,67.93,13.97
positional,300,66.17,14.73
positional,310,68.17,13.73
positional,320,75.23,16.57
positional,330,73.93,14.9
positional,340,71.33,15.3
positional,350,73.43,14.67
