cluster,round,attacked_material,captures
tactical,10,50.0,12.3
tactical,20,49.57,13.5
tactical,30,52.67,11.6
tactical,40,61.1,12.87
tactical,50,59.53,13.93
tactical,60,57.6,13.4
tactical,70,68.8,14.67
tactical,80,61.63,13.07
tactical,90,68.83,12.7
tactical,100,63.17,13.27
tactical,110,72.67,14.33
tactical,120,74.07,12.5
tactical,130,67.97,15.9
tactical,140,64.9,14.43
tactical,150,69.33,13.6
tactical,160,72.03,17.4
tactical,170,64.13,14.2
tactical,180,64.5,15.37
tactical,190,76.23,13.0
tactical,200,64.43,13.37
tactical,210,69.2,15.43
tactical,220,66.3,14.07
tactical,230,78.0,15.57
tactical,240,75.07,15.23
tactical,250,66.0,17.1
tactical,260,72.17,14.57
tactical,270,72.4,15.77
tactical,280,69.6,16.83
tactical,290,69.7,13.77
tactical,300,66.33,14.5
tactical,310,68.57,13.73
tactical,320,69.53,14.3
tactical,330,73.87,16.57
tactical,340,69.9,12.7
tactical,350,63.73,15.13
positional,10,57.7,13.7
positional,20,59.37,14.3
positional,30,64.87,14.1
positional,40,65.33,12.47
positional,50,57.27,12.37
positional,60,65.77,13.2
positional,70,69.57,14.6
positional,80,71.07,11.03
positional,90,67.6,14.2
positional,100,71.77,15.7
positional,110,63.27,15.17
positional,120,72.27,16.3
positional,130,79.8,15.47
positional,140,65.67,14.27
positional,150,71.53,15.03
positional,160,63.33,13.83
positional,170,76.4,14.7
positional,180,74.6,14.17
positional,190,73.57,17.1
positional,200,71.7,15.5
positional,210,78.43,15.3
positional,220,68.77,15.7
positional,230,67.13,14.1
positional,240,77.3,16.27
positional,250,72.53,16.37
positional,260,81.43,16.9
positional,270,74.17,15.03
positional,280,73.13,14.6
positional,290,65.33,11.63
positional,300,62.9,14.23
positional,310,75.9,15.73
positional,320,73.6,16.63
positional,330,70.87,14.17
positional,340,83.43,17.83
positional,350,71.33,13.73
