cluster,round,attacked_material,captures
tactical,10,57.37,12.93
tactical,20,58.27,12.03
tactical,30,58.03,14.17
tactical,40,73.87,13.53
tactical,50,69.3,17.67
tactical,60,66.9,12.67
tactical,70,61.0,12.63
tactical,80,65.83,16.2
tactical,90,75.07,12.07
tactical,100,72.6,14.27
tactical,110,83.93,15.13
tactical,120,76.17,15.13
tactical,130,68.63,12.83
tactical,140,73.7,15.27
tactical,150,62.43,12.8
tactical,160,69.27,13.13
tactical,170,72.4,14.1
tactical,180,64.6,14.03
tactical,190,66.5,15.4
tactical,200,74.8,12.57
tactical,210,72.9,14.77
tactical,220,67.13,15.67
tactical,230,79.5,14.97
tactical,240,72.9,15.43
tactical,250,70.83,14.43
tactical,260,73.93,15.47
tactical,270,80.63,15.93
tactical,280,69.17,14.57
tactical,290,81.97,14.8
tactical,300,69.3,16.1
tactical,310,71.3,16.67
tactical,320,73.23,14.5
tactical,330,78.03,13.13
tactical,340,67.3,15.1
tactical,350,67.97,14.07
positional,10,47.5,10.57
positional,20,58.9,12.17
positional,30,59.23,10.73
positional,40,65.07,13.77
positional,50,61.8,11.43
positional,60,58.63,13.67
positional,70,66.6,15.33
positional,80,64.47,16.4
positional,90,70.07,14.57
positional,100,66.63,12.67
positional,110,66.0,14.2
positional,120,60.7,12.0
positional,130,69.03,14.4
positional,140,66.7,10.97
positional,150,69.13,16.0
positional,160,76.1,14.27
positional,170,68.1,13.7
positional,180,74.87,13.57
positional,190,67.17,15.1
positional,200,61.83,13.7
positional,210,74.57,13.6
positional,220,72.07,15.03
positional,230,70.67,15.0
positional,240,63.43,15.53
positional,250,67.77,13.97
positional,260,76.1,15.77
positional,270,71.0,14.67
positional,280,65.17,13.13
positional,290,71.4,14.13
positional,300,65.83,15.77
positional,310,79.33,17.37
positional,320,76.2,15.73
positional,330,67.57,13.43
positional,340,67.9,13.77
positional,350,77.53,15.03
