cluster,round,attacked_material,captures
tactical,10,51.8,12.43
tactical,20,50.3,12.03
tactical,30,68.5,14.2
tactical,40,65.87,12.93
tactical,50,59.13,12.5
tactical,60,65.53,13.2
tactical,70,67.03,13.6
tactical,80,67.33,14.2
tactical,90,68.17,15.33
tactical,100,61.93,15.47
tactical,110,67.7,13.2
tactical,120,75.63,15.1
tactical,130,71.17,12.9
tactical,140,67.27,12.8
tactical,150,74.53,12.2
tactical,160,66.33,14.13
tactical,170,71.0,15.8
tactical,180,58.33,13.8
tactical,190,75.27,12.97
tactical,200,72.67,12.5
tactical,210,74.37,14.9
tactical,220,70.4,14.67
tactical,230,65.37,14.3
tactical,240,73.53,15.9
tactical,250,73.5,13.0
tactical,260,72.9,14.6
tactical,270,66.4,16.7
tactical,280,76.17,14.83
tactical,290,76.2,12.57
tactical,300,69.43,14.33
tactical,310,79.2,14.9
tactical,320,69.2,15.3
tactical,330,66.87,15.37
tactical,340,74.0,15.83
tactical,350,77.6,16.37
positional,10,58.73,11.33
positional,20,52.17,14.1
positional,30,64.37,16.17
positional,40,70.77,12.87
positional,50,57.13,15.67
positional,60,69.3,14.57
positional,70,62.5,13.67
positional,80,63.13,13.93
positional,90,67.17,13.57
positional,100,65.87,15.27
positional,110,72.83,14.2
positional,120,71.57,15.1
positional,130,68.57,14.23
positional,140,68.87,13.8
positional,150,70.2,13.3
positional,160,59.93,13.17
positional,170,71.1,13.23
positional,180,76.7,14.0
positional,190,68.47,15.7
positional,200,73.7,16.53
positional,210,72.87,16.2
positional,220,68.87,15.43
positional,230,57.3,12.67
positional,240,71.8,16.23
positional,250,68.0,12.93
positional,260,74.77,14.63
positional,270,77.77,16.9
positional,280,73.03,15.2
positional,290,74.83,16.23
positional,300,72.8,16.97
positional,310,75.1,16.33
positional,320,76.7,14.53
positional,330,69.9,14.43
positional,340,69.43,13.73
positional,350,66.3,15.13
