cluster,round,attacked_material,captures
tactical,10,54.4,12.5
tactical,20,59.47,11.33
tactical,30,48.43,13.53
tactical,40,60.23,14.27
tactical,50,60.1,13.57
tactical,60,60.97,14.33
tactical,70,64.7,12.8
tactical,80,60.53,13.73
tactical,90,63.27,14.43
tactical,100,66.4,15.43
tactical,110,67.67,14.53
tactical,120,69.9,14.23
tactical,130,72.67,14.63
tactical,140,73.57,14.77
tactical,150,70.3,14.67
tactical,160,70.0,14.47
tactical,170,68.4,13.77
tactical,180,69.53,14.17
tactical,190,68.47,14.6
tactical,200,69.83,12.23
tactical,210,78.97,15.67
tactical,220,64.33,14.77
tactical,230,69.03,16.67
tactical,240,84.4,14.2
tactical,250,81.7,16.43
tactical,260,69.7,14.87
tactical,270,72.73,15.57
tactical,280,70.7,18.97
tactical,290,72.1,15.4
tactical,300,71.93,16.27
tactical,310,63.67,14.17
tactical,320,66.87,15.53
tactical,330,70.67,15.1
tactical,340,66.0,16.43
tactical,350,71.03,14.7
positional,10,48.87,11.33
positional,20,55.63,11.87
positional,30,62.0,14.57
positional,40,61.0,13.57
positional,50,76.1,13.87
positional,60,61.2,13.27
positional,70,67.27,14.23
positional,80,61.2,13.93
positional,90,66.97,13.57
positional,100,71.23,15.23
positional,110,75.27,14.1
positional,120,62.2,13.57
positional,130,71.17,13.37
positional,140,65.43,14.03
positional,150,71.57,13.47
positional,160,69.57,14.6
positional,170,70.77,13.07
positional,180,71.43,15.7
positional,190,64.3,15.3
positional,200,85.1,16.73
positional,210,65.13,14.73
positional,220,67.4,14.3
positional,230,65.83,15.9
positional,240,67.13,15.47
positional,250,77.1,18.4
positional,260,76.3,15.67
positional,270,73.1,14.33
positional,280,66.13,14.1
positional,290,76.27,16.73
positional,300,71.87,12.4
positional,310,69.47,15.53
positional,320,70.03,13.97
positional,330,70.0,14.27
positional,340,77.57,15.3
positional,350,66.2,13.9
