cluster,round,diversity_ratio
tactical,10,0.628
tactical,20,0.673
tactical,30,0.675
tactical,40,0.624
tactical,50,0.715
tactical,60,0.661
tactical,70,0.673
tactical,90,0.665
tactical,100,0.619
tactical,110,0.635
tactical,120,0.668
tactical,130,0.609
tactical,140,0.616
tactical,150,0.593
tactical,160,0.661
tactical,170,0.591
tactical,180,0.606
tactical,190,0.615
tactical,200,0.582
tactical,210,0.641
tactical,220,0.649
tactical,230,0.658
tactical,240,0.583
tactical,250,0.655
tactical,260,0.647
tactical,270,0.655
tactical,280,0.593
tactical,290,0.635
tactical,300,0.634
tactical,310,0.633
tactical,320,0.632
tactical,330,0.61
tactical,340,0.606
tactical,350,0.606
positional,10,0.653
positional,20,0.682
positional,30,0.682
positional,40,0.694
positional,50,0.651
positional,60,0.669
positional,70,0.697
positional,90,0.639
positional,100,0.624
positional,110,0.605
positional,120,0.626
positional,130,0.644
positional,140,0.629
positional,150,0.666
positional,160,0.592
positional,170,0.598
positional,180,0.62
positional,190,0.599
positional,200,0.636
positional,210,0.639
positional,220,0.674
positional,230,0.64
positional,240,0.568
positional,250,0.621
positional,260,0.613
positional,270,0.637
positional,280,0.609
positional,290,0.631
positional,300,0.617
positional,310,0.635
positional,320,0.588
positional,330,0.6
positional,340,0.622
positional,350,0.586
