cluster,round,diversity_ratio
tactical,10,0.688
tactical,20,0.643
tactical,30,0.695
tactical,40,0.648
tactical,50,0.668
tactical,60,0.63
tactical,70,0.636
tactical,80,0.641
tactical,90,0.659
tactical,100,0.654
tactical,110,0.648
tactical,120,0.644
tactical,130,0.652
tactical,140,0.578
tactical,150,0.612
tactical,160,0.63
tactical,170,0.614
tactical,180,0.611
tactical,190,0.602
tactical,200,0.656
tactical,210,0.622
tactical,220,0.615
tactical,230,0.593
tactical,240,0.599
tactical,250,0.621
tactical,260,0.629
tactical,270,0.64
tactical,280,0.618
tactical,290,0.672
tactical,300,0.614
tactical,310,0.622
tactical,320,0.678
tactical,330,0.623
tactical,340,0.619
tactical,350,0.628
positional,10,0.674
positional,20,0.644
positional,30,0.653
positional,40,0.637
positional,50,0.693
positional,60,0.635
positional,70,0.657
positional,80,0.61
positional,90,0.592
positional,100,0.616
positional,110,0.656
positional,120,0.643
positional,130,0.567
positional,140,0.661
positional,150,0.611
positional,160,0.65
positional,170,0.604
positional,180,0.652
positional,190,0.606
positional,200,0.657
positional,210,0.626
positional,220,0.618
positional,230,0.638
positional,240,0.608
positional,250,0.602
positional,260,0.616
positional,270,0.606
positional,280,0.656
positional,290,0.568
positional,300,0.579
positional,310,0.604
positional,320,0.618
positional,330,0.616
positional,340,0.637
positional,350,0.623
