cluster,round,diversity_ratio
tactical,10,0.633
tactical,20,0.648
tactical,30,0.661
tactical,40,0.669
tactical,50,0.631
tactical,60,0.654
tactical,70,0.659
tactical,80,0.623
tactical,90,0.634
tactical,100,0.64
tactical,110,0.636
tactical,120,0.599
tactical,130,0.634
tactical,140,0.618
tactical,150,0.635
tactical,160,0.638
tactical,170,0.599
tactical,180,0.59
tactical,190,0.636
tactical,200,0.619
tactical,210,0.628
tactical,220,0.599
tactical,230,0.629
tactical,240,0.598
tactical,250,0.601
tactical,260,0.642
tactical,270,0.58
tactical,280,0.609
tactical,290,0.636
tactical,300,0.635
tactical,310,0.628
tactical,320,0.623
tactical,330,0.654
tactical,340,0.616
tactical,350,0.611
positional,10,0.701
positional,20,0.722
positional,30,0.682
positional,40,0.672
positional,50,0.655
positional,60,0.65
positional,70,0.576
positional,80,0.648
positional,90,0.668
positional,100,0.642
positional,110,0.619
positional,120,0.613
positional,130,0.58
positional,140,0.593
positional,150,0.591
positional,160,0.569
positional,170,0.618
positional,180,0.6
positional,190,0.63
positional,200,0.634
positional,210,0.627
positional,220,0.632
positional,230,0.611
positional,240,0.57
positional,250,0.644
positional,260,0.639
positional,270,0.621
positional,280,0.62
positional,290,0.583
positional,300,0.602
positional,310,0.606
positional,320,0.592
positional,330,0.562
positional,340,0.636
positional,350,0.564
