cluster,round,diversity_ratio
tactical,10,0.634
tactical,20,0.705
tactical,30,0.659
tactical,40,0.668
tactical,50,0.659
tactical,60,0.648
tactical,70,0.616
tactical,80,0.645
tactical,90,0.61
tactical,100,0.632
tactical,110,0.614
tactical,120,0.607
tactical,130,0.625
tactical,140,0.639
tactical,150,0.621
tactical,160,0.633
tactical,170,0.622
tactical,180,0.659
tactical,190,0.609
tactical,200,0.624
tactical,210,0.598
tactical,220,0.661
tactical,230,0.625
tactical,240,0.658
tactical,250,0.6
tactical,260,0.577
tactical,270,0.679
tactical,280,0.645
tactical,290,0.6
tactical,300,0.621
tactical,310,0.608
tactical,320,0.63
tactical,330,0.634
tactical,340,0.604
tactical,350,0.599
positional,10,0.668
positional,20,0.627
positional,30,0.599
positional,40,0.651
positional,50,0.609
positional,60,0.585
positional,70,0.648
positional,80,0.61
positional,90,0.647
positional,100,0.644
positional,110,0.612
positional,120,0.607
positional,130,0.628
positional,140,0.643
positional,150,0.665
positional,160,0.614
positional,170,0.646
positional,180,0.632
positional,190,0.625
positional,200,0.595
positional,210,0.658
positional,220,0.624
positional,230,0.583
positional,240,0.628
positional,250,0.637
positional,260,0.594
positional,270,0.584
positional,280,0.618
positional,290,0.6
positional,300,0.634
positional,310,0.655
positional,320,0.61
positional,330,0.588
positional,340,0.622
positional,350,0.593
