cluster,round,diversity_ratio
tactical,10,0.66
tactical,20,0.702
tactical,30,0.701
tactical,40,0.646
tactical,50,0.686
tactical,60,0.653
tactical,70,0.641
tactical,80,0.622
tactical,90,0.636
tactical,100,0.655
tactical,110,0.618
tactical,120,0.618
tactical,130,0.598
tactical,140,0.598
tactical,150,0.627
tactical,160,0.617
tactical,170,0.649
tactical,180,0.598
tactical,190,0.618
tactical,200,0.628
tactical,210,0.633
tactical,220,0.668
tactical,230,0.639
tactical,240,0.617
tactical,250,0.628
tactical,260,0.633
tactical,270,0.618
tactical,280,0.608
tactical,290,0.635
tactical,300,0.643
tactical,310,0.582
tactical,320,0.579
tactical,330,0.603
tactical,340,0.629
tactical,350,0.607
positional,10,0.642
positional,20,0.701
positional,30,0.677
positional,40,0.648
positional,50,0.635
positional,60,0.644
positional,70,0.606
positional,80,0.66
positional,90,0.617
positional,100,0.598
positional,110,0.632
positional,120,0.642
positional,130,0.608
positional,140,0.611
positional,150,0.619
positional,160,0.603
positional,170,0.635
positional,180,0.624
positional,190,0.632
positional,200,0.613
positional,210,0.628
positional,220,0.632
positional,230,0.622
positional,240,0.623
positional,250,0.631
positional,260,0.624
positional,270,0.588
positional,280,0.614
positional,290,0.623
positional,300,0.638
positional,310,0.63
positional,320,0.621
positional,330,0.596
positional,340,0.585
positional,350,0.635
