cluster,round,diversity_ratio
tactical,10,0.629
tactical,20,0.654
tactical,30,0.663
tactical,40,0.668
tactical,50,0.663
tactical,60,0.668
tactical,70,0.651
tactical,80,0.627
tactical,90,0.622
tactical,100,0.619
tactical,110,0.641
tactical,120,0.612
tactical,130,0.592
tactical,140,0.641
tactical,150,0.612
tactical,160,0.668
tactical,170,0.606
tactical,180,0.608
tactical,190,0.61
tactical,200,0.63
tactical,210,0.644
tactical,220,0.612
tactical,230,0.624
tactical,240,0.598
tactical,250,0.636
tactical,260,0.621
tactical,270,0.636
tactical,280,0.65
tactical,290,0.628
tactical,300,0.642
tactical,310,0.603
tactical,320,0.6
tactical,330,0.601
tactical,340,0.632
tactical,350,0.622
positional,10,0.666
positional,20,0.694
positional,30,0.65
positional,40,0.627
positional,50,0.635
positional,60,0.662
positional,70,0.684
positional,80,0.61
positional,90,0.644
positional,100,0.683
positional,110,0.612
positional,120,0.611
positional,130,0.613
positional,140,0.592
positional,150,0.634
positional,160,0.593
positional,170,0.617
positional,180,0.628
positional,190,0.628
positional,200,0.574
positional,210,0.64
positional,220,0.608
positional,230,0.649
positional,240,0.645
positional,250,0.625
positional,260,0.63
positional,270,0.609
positional,280,0.572
positional,290,0.593
positional,300,0.599
positional,310,0.566
positional,320,0.605
positional,330,0.611
positional,340,0.616
positional,350,0.593
