cluster,move_type,round,percentage
tactical,aggressive_pct,10,29.3
tactical,aggressive_pct,20,29.39
tactical,aggressive_pct,30,29.41
tactical,aggressive_pct,40,28.32
tactical,aggressive_pct,50,29.2
tactical,aggressive_pct,60,29.63
tactical,aggressive_pct,70,28.03
tactical,aggressive_pct,90,28.06
tactical,aggressive_pct,100,29.5
tactical,aggressive_pct,110,28.65
tactical,aggressive_pct,120,27.66
tactical,aggressive_pct,130,26.37
tactical,aggressive_pct,140,26.86
tactical,aggressive_pct,150,28.04
tactical,aggressive_pct,160,29.64
tactical,aggressive_pct,170,27.78
tactical,aggressive_pct,180,28.45
tactical,aggressive_pct,190,28.99
tactical,aggressive_pct,200,26.85
tactical,aggressive_pct,210,29.81
tactical,aggressive_pct,220,28.81
tactical,aggressive_pct,230,29.93
tactical,aggressive_pct,240,27.02
tactical,aggressive_pct,250,29.15
tactical,aggressive_pct,260,29.6
tactical,aggressive_pct,270,29.15
tactical,aggressive_pct,280,28.64
tactical,aggressive_pct,290,29.15
tactical,aggressive_pct,300,26.6
tactical,aggressive_pct,310,25.7
tactical,aggressive_pct,320,29.19
tactical,aggressive_pct,330,28.7
tactical,aggressive_pct,340,28.52
tactical,aggressive_pct,350,27.4
positional,aggressive_pct,10,29.51
positional,aggressive_pct,20,31.19
positional,aggressive_pct,30,28.45
positional,aggressive_pct,40,30.12
positional,aggressive_pct,50,29.1
positional,aggressive_pct,60,30.64
positional,aggressive_pct,70,27.48
positional,aggressive_pct,90,28.35
positional,aggressive_pct,100,29.11
positional,aggressive_pct,110,27.26
positional,aggressive_pct,120,30.92
positional,aggressive_pct,130,27.85
positional,aggressive_pct,140,30.07
positional,aggressive_pct,150,26.98
positional,aggressive_pct,160,27.23
positional,aggressive_pct,170,27.19
positional,aggressive_pct,180,29.21
positional,aggressive_pct,190,28.35
positional,aggressive_pct,200,28.47
positional,aggressive_pct,210,27.01
positional,aggressive_pct,220,29.25
positional,aggressive_pct,230,27.05
positional,aggressive_pct,240,27.75
positional,aggressive_pct,250,26.96
positional,aggressive_pct,260,28.29
positional,aggressive_pct,270,27.41
positional,aggressive_pct,280,27.32
positional,aggressive_pct,290,27.19
positional,aggressive_pct,300,28.66
positional,aggressive_pct,310,27.66
positional,aggressive_pct,320,27.66
positional,aggressive_pct,330,29.59
positional,aggressive_pct,340,29.65
positional,aggressive_pct,350,27.17
tactical,captures_pct,10,22.82
tactical,captures_pct,20,21.87
tactical,captures_pct,30,22.5
tactical,captures_pct,40,20.59
tactical,captures_pct,50,22.65
tactical,captures_pct,60,22.12
tactical,captures_pct,70,21.35
tactical,captures_pct,90,20.06
tactical,captures_pct,100,20.18
tactical,captures_pct,110,20.18
tactical,captures_pct,120,20.46
tactical,captures_pct,130,18.92
tactical,captures_pct,140,18.92
tactical,captures_pct,150,18.97
tactical,captures_pct,160,20.59
tactical,captures_pct,170,18.83
tactical,captures_pct,180,19.96
tactical,captures_pct,190,18.96
tactical,captures_pct,200,18.04
tactical,captures_pct,210,20.68
tactical,captures_pct,220,21.14
tactical,captures_pct,230,20.55
tactical,captures_pct,240,17.77
tactical,captures_pct,250,20.47
tactical,captures_pct,260,21.12
tactical,captures_pct,270,20.62
tactical,captures_pct,280,18.53
tactical,captures_pct,290,20.16
tactical,captures_pct,300,19.15
tactical,captures_pct,310,19.14
tactical,captures_pct,320,19.12
tactical,captures_pct,330,19.4
tactical,captures_pct,340,19.27
tactical,captures_pct,350,18.89
positional,captures_pct,10,23.54
positional,captures_pct,20,24.22
positional,captures_pct,30,21.7
positional,captures_pct,40,22.19
positional,captures_pct,50,20.71
positional,captures_pct,60,22.85
positional,captures_pct,70,20.37
positional,captures_pct,90,20.25
positional,captures_pct,100,19.87
positional,captures_pct,110,18.72
positional,captures_pct,120,20.84
positional,captures_pct,130,19.42
positional,captures_pct,140,20.91
positional,captures_pct,150,19.96
positional,captures_pct,160,18.81
positional,captures_pct,170,18.68
positional,captures_pct,180,18.91
positional,captures_pct,190,19.38
positional,captures_pct,200,19.61
positional,captures_pct,210,19.58
positional,captures_pct,220,20.11
positional,captures_pct,230,19.26
positional,captures_pct,240,17.49
positional,captures_pct,250,19.95
positional,captures_pct,260,19.72
positional,captures_pct,270,19.52
positional,captures_pct,280,18.67
positional,captures_pct,290,19.06
positional,captures_pct,300,19.81
positional,captures_pct,310,19.37
positional,captures_pct,320,18.81
positional,captures_pct,330,19.11
positional,captures_pct,340,20.3
positional,captures_pct,350,18.42
tactical,checks_pct,10,6.47
tactical,checks_pct,20,7.53
tactical,checks_pct,30,6.91
tactical,checks_pct,40,7.73
tactical,checks_pct,50,6.55
tactical,checks_pct,60,7.51
tactical,checks_pct,70,6.68
tactical,checks_pct,90,8.0
tactical,checks_pct,100,9.31
tactical,checks_pct,110,8.47
tactical,checks_pct,120,7.2
tactical,checks_pct,130,7.45
tactical,checks_pct,140,7.94
tactical,checks_pct,150,9.07
tactical,checks_pct,160,9.05
tactical,checks_pct,170,8.96
tactical,checks_pct,180,8.49
tactical,checks_pct,190,10.03
tactical,checks_pct,200,8.81
tactical,checks_pct,210,9.13
tactical,checks_pct,220,7.67
tactical,checks_pct,230,9.39
tactical,checks_pct,240,9.25
tactical,checks_pct,250,8.68
tactical,checks_pct,260,8.48
tactical,checks_pct,270,8.53
tactical,checks_pct,280,10.11
tactical,checks_pct,290,9.0
tactical,checks_pct,300,7.45
tactical,checks_pct,310,6.57
tactical,checks_pct,320,10.07
tactical,checks_pct,330,9.31
tactical,checks_pct,340,9.25
tactical,checks_pct,350,8.51
positional,checks_pct,10,5.97
positional,checks_pct,20,6.97
positional,checks_pct,30,6.76
positional,checks_pct,40,7.93
positional,checks_pct,50,8.4
positional,checks_pct,60,7.79
positional,checks_pct,70,7.1
positional,checks_pct,90,8.11
positional,checks_pct,100,9.24
positional,checks_pct,110,8.54
positional,checks_pct,120,10.07
positional,checks_pct,130,8.43
positional,checks_pct,140,9.16
positional,checks_pct,150,7.02
positional,checks_pct,160,8.42
positional,checks_pct,170,8.51
positional,checks_pct,180,10.29
positional,checks_pct,190,8.97
positional,checks_pct,200,8.87
positional,checks_pct,210,7.43
positional,checks_pct,220,9.14
positional,checks_pct,230,7.79
positional,checks_pct,240,10.26
positional,checks_pct,250,7.01
positional,checks_pct,260,8.57
positional,checks_pct,270,7.89
positional,checks_pct,280,8.65
positional,checks_pct,290,8.13
positional,checks_pct,300,8.85
positional,checks_pct,310,8.29
positional,checks_pct,320,8.85
positional,checks_pct,330,10.48
positional,checks_pct,340,9.35
positional,checks_pct,350,8.75
tactical,quiet_moves_pct,10,73.14
tactical,quiet_moves_pct,20,73.62
tactical,quiet_moves_pct,30,72.99
tactical,quiet_moves_pct,40,74.19
tactical,quiet_moves_pct,50,73.32
tactical,quiet_moves_pct,60,72.78
tactical,quiet_moves_pct,70,73.81
tactical,quiet_moves_pct,90,74.47
tactical,quiet_moves_pct,100,72.87
tactical,quiet_moves_pct,110,73.29
tactical,quiet_moves_pct,120,74.26
tactical,quiet_moves_pct,130,75.53
tactical,quiet_moves_pct,140,74.94
tactical,quiet_moves_pct,150,74.03
tactical,quiet_moves_pct,160,73.1
tactical,quiet_moves_pct,170,74.24
tactical,quiet_moves_pct,180,73.49
tactical,quiet_moves_pct,190,73.14
tactical,quiet_moves_pct,200,74.96
tactical,quiet_moves_pct,210,72.75
tactical,quiet_moves_pct,220,73.4
tactical,quiet_moves_pct,230,72.46
tactical,quiet_moves_pct,240,74.97
tactical,quiet_moves_pct,250,72.67
tactical,quiet_moves_pct,260,72.5
tactical,quiet_moves_pct,270,73.21
tactical,quiet_moves_pct,280,73.47
tactical,quiet_moves_pct,290,73.07
tactical,quiet_moves_pct,300,75.51
tactical,quiet_moves_pct,310,76.34
tactical,quiet_moves_pct,320,72.91
tactical,quiet_moves_pct,330,73.29
tactical,quiet_moves_pct,340,73.64
tactical,quiet_moves_pct,350,74.84
positional,quiet_moves_pct,10,72.88
positional,quiet_moves_pct,20,71.83
positional,quiet_moves_pct,30,73.75
positional,quiet_moves_pct,40,72.5
positional,quiet_moves_pct,50,73.44
positional,quiet_moves_pct,60,71.91
positional,quiet_moves_pct,70,74.72
