cluster,move_type,round,percentage
tactical,aggressive_pct,10,31.92
tactical,aggressive_pct,20,29.95
tactical,aggressive_pct,30,29.92
tactical,aggressive_pct,40,28.56
tactical,aggressive_pct,50,28.51
tactical,aggressive_pct,60,26.92
tactical,aggressive_pct,70,28.98
tactical,aggressive_pct,80,29.38
tactical,aggressive_pct,90,27.83
tactical,aggressive_pct,100,26.74
tactical,aggressive_pct,110,28.38
tactical,aggressive_pct,120,27.85
tactical,aggressive_pct,130,30.06
tactical,aggressive_pct,140,26.54
tactical,aggressive_pct,150,25.5
tactical,aggressive_pct,160,28.54
tactical,aggressive_pct,170,27.9
tactical,aggressive_pct,180,27.83
tactical,aggressive_pct,190,26.17
tactical,aggressive_pct,200,28.42
tactical,aggressive_pct,210,28.0
tactical,aggressive_pct,220,27.96
tactical,aggressive_pct,230,28.41
tactical,aggressive_pct,240,27.28
tactical,aggressive_pct,250,28.46
tactical,aggressive_pct,260,28.28
tactical,aggressive_pct,270,29.01
tactical,aggressive_pct,280,30.36
tactical,aggressive_pct,290,29.73
tactical,aggressive_pct,300,27.25
tactical,aggressive_pct,310,27.38
tactical,aggressive_pct,320,29.75
tactical,aggressive_pct,330,28.5
tactical,aggressive_pct,340,26.02
tactical,aggressive_pct,350,28.89
positional,aggressive_pct,10,32.12
positional,aggressive_pct,20,27.67
positional,aggressive_pct,30,27.71
positional,aggressive_pct,40,28.28
positional,aggressive_pct,50,28.6
positional,aggressive_pct,60,28.16
positional,aggressive_pct,70,29.44
positional,aggressive_pct,80,26.34
positional,aggressive_pct,90,26.87
positional,aggressive_pct,100,27.86
positional,aggressive_pct,110,29.48
positional,aggressive_pct,120,29.41
positional,aggressive_pct,130,28.16
positional,aggressive_pct,140,29.39
positional,aggressive_pct,150,30.01
positional,aggressive_pct,160,27.91
positional,aggressive_pct,170,27.92
positional,aggressive_pct,180,27.75
positional,aggressive_pct,190,27.85
positional,aggressive_pct,200,30.14
positional,aggressive_pct,210,28.25
positional,aggressive_pct,220,29.04
positional,aggressive_pct,230,26.97
positional,aggressive_pct,240,29.46
positional,aggressive_pct,250,28.54
positional,aggressive_pct,260,28.41
positional,aggressive_pct,270,28.72
positional,aggressive_pct,280,28.23
positional,aggressive_pct,290,27.18
positional,aggressive_pct,300,27.14
positional,aggressive_pct,310,27.93
positional,aggressive_pct,320,28.16
positional,aggressive_pct,330,27.22
positional,aggressive_pct,340,27.72
positional,aggressive_pct,350,28.69
tactical,captures_pct,10,24.41
tactical,captures_pct,20,21.0
tactical,captures_pct,30,22.12
tactical,captures_pct,40,21.99
tactical,captures_pct,50,21.32
tactical,captures_pct,60,19.68
tactical,captures_pct,70,21.44
tactical,captures_pct,80,20.66
tactical,captures_pct,90,20.11
tactical,captures_pct,100,20.45
tactical,captures_pct,110,20.22
tactical,captures_pct,120,18.84
tactical,captures_pct,130,22.03
tactical,captures_pct,140,17.68
tactical,captures_pct,150,18.42
tactical,captures_pct,160,20.29
tactical,captures_pct,170,19.38
tactical,captures_pct,180,19.03
tactical,captures_pct,190,18.53
tactical,captures_pct,200,19.91
tactical,captures_pct,210,19.34
tactical,captures_pct,220,18.65
tactical,captures_pct,230,18.36
tactical,captures_pct,240,18.2
tactical,captures_pct,250,20.55
tactical,captures_pct,260,19.8
tactical,captures_pct,270,20.51
tactical,captures_pct,280,20.19
tactical,captures_pct,290,21.02
tactical,captures_pct,300,18.79
tactical,captures_pct,310,18.39
tactical,captures_pct,320,21.4
tactical,captures_pct,330,19.84
tactical,captures_pct,340,18.34
tactical,captures_pct,350,18.94
positional,captures_pct,10,25.51
positional,captures_pct,20,20.58
positional,captures_pct,30,20.96
positional,captures_pct,40,21.05
positional,captures_pct,50,21.51
positional,captures_pct,60,20.39
positional,captures_pct,70,20.63
positional,captures_pct,80,18.21
positional,captures_pct,90,18.8
positional,captures_pct,100,19.47
positional,captures_pct,110,21.54
positional,captures_pct,120,21.89
positional,captures_pct,130,17.31
positional,captures_pct,140,20.01
positional,captures_pct,150,19.62
positional,captures_pct,160,18.42
positional,captures_pct,170,18.14
positional,captures_pct,180,19.83
positional,captures_pct,190,19.1
positional,captures_pct,200,20.68
positional,captures_pct,210,19.57
positional,captures_pct,220,19.58
positional,captures_pct,230,18.61
positional,captures_pct,240,19.68
positional,captures_pct,250,18.27
positional,captures_pct,260,19.01
positional,captures_pct,270,18.92
positional,captures_pct,280,20.84
positional,captures_pct,290,17.89
positional,captures_pct,300,18.82
positional,captures_pct,310,18.29
positional,captures_pct,320,18.88
positional,captures_pct,330,18.74
positional,captures_pct,340,19.05
positional,captures_pct,350,19.46
tactical,checks_pct,10,7.51
tactical,checks_pct,20,8.94
tactical,checks_pct,30,7.8
tactical,checks_pct,40,6.57
tactical,checks_pct,50,7.19
tactical,checks_pct,60,7.24
tactical,checks_pct,70,7.54
tactical,checks_pct,80,8.73
tactical,checks_pct,90,7.72
tactical,checks_pct,100,6.29
tactical,checks_pct,110,8.16
tactical,checks_pct,120,9.01
tactical,checks_pct,130,8.02
tactical,checks_pct,140,8.86
tactical,checks_pct,150,7.08
tactical,checks_pct,160,8.25
tactical,checks_pct,170,8.52
tactical,checks_pct,180,8.8
tactical,checks_pct,190,7.63
tactical,checks_pct,200,8.51
tactical,checks_pct,210,8.66
tactical,checks_pct,220,9.31
tactical,checks_pct,230,10.04
tactical,checks_pct,240,9.07
tactical,checks_pct,250,7.91
tactical,checks_pct,260,8.48
tactical,checks_pct,270,8.5
tactical,checks_pct,280,10.17
tactical,checks_pct,290,8.71
tactical,checks_pct,300,8.46
tactical,checks_pct,310,8.99
tactical,checks_pct,320,8.35
tactical,checks_pct,330,8.66
tactical,checks_pct,340,7.68
tactical,checks_pct,350,9.96
positional,checks_pct,10,6.61
positional,checks_pct,20,7.09
positional,checks_pct,30,6.75
positional,checks_pct,40,7.22
positional,checks_pct,50,7.1
positional,checks_pct,60,7.77
positional,checks_pct,70,8.81
positional,checks_pct,80,8.13
positional,checks_pct,90,8.07
positional,checks_pct,100,8.4
positional,checks_pct,110,7.94
positional,checks_pct,120,7.52
positional,checks_pct,130,10.86
positional,checks_pct,140,9.38
positional,checks_pct,150,10.4
positional,checks_pct,160,9.5
positional,checks_pct,170,9.78
positional,checks_pct,180,7.92
positional,checks_pct,190,8.75
positional,checks_pct,200,9.47
positional,checks_pct,210,8.68
positional,checks_pct,220,9.46
positional,checks_pct,230,8.36
