cluster,move_type,round,percentage
tactical,aggressive_pct,10,30.91
tactical,aggressive_pct,20,29.81
tactical,aggressive_pct,30,28.26
tactical,aggressive_pct,40,28.97
tactical,aggressive_pct,50,27.59
tactical,aggressive_pct,60,27.93
tactical,aggressive_pct,70,27.25
tactical,aggressive_pct,80,29.63
tactical,aggressive_pct,90,26.46
tactical,aggressive_pct,100,27.69
tactical,aggressive_pct,110,29.6
tactical,aggressive_pct,120,28.29
tactical,aggressive_pct,130,27.21
tactical,aggressive_pct,140,28.38
tactical,aggressive_pct,150,26.07
tactical,aggressive_pct,160,28.39
tactical,aggressive_pct,170,27.76
tactical,aggressive_pct,180,27.2
tactical,aggressive_pct,190,29.57
tactical,aggressive_pct,200,28.36
tactical,aggressive_pct,210,27.86
tactical,aggressive_pct,220,28.88
tactical,aggressive_pct,230,28.34
tactical,aggressive_pct,240,28.59
tactical,aggressive_pct,250,28.44
tactical,aggressive_pct,260,29.47
tactical,aggressive_pct,270,27.76
tactical,aggressive_pct,280,28.04
tactical,aggressive_pct,290,29.12
tactical,aggressive_pct,300,28.9
tactical,aggressive_pct,310,28.19
tactical,aggressive_pct,320,27.05
tactical,aggressive_pct,330,28.27
tactical,aggressive_pct,340,27.8
tactical,aggressive_pct,350,27.27
positional,aggressive_pct,10,30.04
positional,aggressive_pct,20,28.92
positional,aggressive_pct,30,28.14
positional,aggressive_pct,40,30.31
positional,aggressive_pct,50,27.27
positional,aggressive_pct,60,28.11
positional,aggressive_pct,70,28.03
positional,aggressive_pct,80,30.89
positional,aggressive_pct,90,30.67
positional,aggressive_pct,100,28.19
positional,aggressive_pct,110,27.46
positional,aggressive_pct,120,29.52
positional,aggressive_pct,130,27.65
positional,aggressive_pct,140,27.14
positional,aggressive_pct,150,29.1
positional,aggressive_pct,160,27.28
positional,aggressive_pct,170,28.42
positional,aggressive_pct,180,27.72
positional,aggressive_pct,190,28.68
positional,aggressive_pct,200,28.51
positional,aggressive_pct,210,26.88
positional,aggressive_pct,220,27.86
positional,aggressive_pct,230,28.75
positional,aggressive_pct,240,27.8
positional,aggressive_pct,250,27.59
positional,aggressive_pct,260,28.44
positional,aggressive_pct,270,29.95
positional,aggressive_pct,280,28.27
positional,aggressive_pct,290,27.62
positional,aggressive_pct,300,27.12
positional,aggressive_pct,310,28.92
positional,aggressive_pct,320,28.59
positional,aggressive_pct,330,26.02
positional,aggressive_pct,340,27.9
positional,aggressive_pct,350,26.36
tactical,captures_pct,10,22.46
tactical,captures_pct,20,22.26
tactical,captures_pct,30,21.11
tactical,captures_pct,40,21.44
tactical,captures_pct,50,20.74
tactical,captures_pct,60,20.22
tactical,captures_pct,70,19.69
tactical,captures_pct,80,19.5
tactical,captures_pct,90,19.43
tactical,captures_pct,100,19.59
tactical,captures_pct,110,20.4
tactical,captures_pct,120,19.37
tactical,captures_pct,130,19.07
tactical,captures_pct,140,20.42
tactical,captures_pct,150,18.47
tactical,captures_pct,160,20.24
tactical,captures_pct,170,18.26
tactical,captures_pct,180,18.36
tactical,captures_pct,190,19.37
tactical,captures_pct,200,19.49
tactical,captures_pct,210,18.94
tactical,captures_pct,220,19.09
tactical,captures_pct,230,19.68
tactical,captures_pct,240,19.15
tactical,captures_pct,250,18.47
tactical,captures_pct,260,20.11
tactical,captures_pct,270,18.32
tactical,captures_pct,280,18.77
tactical,captures_pct,290,20.7
tactical,captures_pct,300,19.51
tactical,captures_pct,310,19.95
tactical,captures_pct,320,18.38
tactical,captures_pct,330,19.67
tactical,captures_pct,340,19.31
tactical,captures_pct,350,18.68
positional,captures_pct,10,23.03
positional,captures_pct,20,22.51
positional,captures_pct,30,22.43
positional,captures_pct,40,22.9
positional,captures_pct,50,20.66
positional,captures_pct,60,20.52
positional,captures_pct,70,18.75
positional,captures_pct,80,22.04
positional,captures_pct,90,22.12
positional,captures_pct,100,20.06
positional,captures_pct,110,18.12
positional,captures_pct,120,18.9
positional,captures_pct,130,19.42
positional,captures_pct,140,18.24
positional,captures_pct,150,19.65
