cluster,move_type,round,percentage
tactical,aggressive_pct,10,31.42
tactical,aggressive_pct,20,28.96
tactical,aggressive_pct,30,27.83
tactical,aggressive_pct,40,29.02
tactical,aggressive_pct,50,29.5
tactical,aggressive_pct,60,30.63
tactical,aggressive_pct,70,27.56
tactical,aggressive_pct,80,26.85
tactical,aggressive_pct,90,29.41
tactical,aggressive_pct,100,29.42
tactical,aggressive_pct,110,28.39
tactical,aggressive_pct,120,30.19
tactical,aggressive_pct,130,27.72
tactical,aggressive_pct,140,28.59
tactical,aggressive_pct,150,27.26
tactical,aggressive_pct,160,28.48
tactical,aggressive_pct,170,28.35
tactical,aggressive_pct,180,31.01
tactical,aggressive_pct,190,28.87
tactical,aggressive_pct,200,27.26
tactical,aggressive_pct,210,29.26
tactical,aggressive_pct,220,28.77
tactical,aggressive_pct,230,26.76
tactical,aggressive_pct,240,28.58
tactical,aggressive_pct,250,26.68
tactical,aggressive_pct,260,26.48
tactical,aggressive_pct,270,30.17
tactical,aggressive_pct,280,29.67
tactical,aggressive_pct,290,27.52
tactical,aggressive_pct,300,26.44
tactical,aggressive_pct,310,27.97
tactical,aggressive_pct,320,26.98
tactical,aggressive_pct,330,30.34
tactical,aggressive_pct,340,28.13
tactical,aggressive_pct,350,29.19
positional,aggressive_pct,10,30.21
positional,aggressive_pct,20,29.73
positional,aggressive_pct,30,28.61
positional,aggressive_pct,40,27.84
positional,aggressive_pct,50,28.39
positional,aggressive_pct,60,27.35
positional,aggressive_pct,70,28.71
positional,aggressive_pct,80,28.23
positional,aggressive_pct,90,28.05
positional,aggressive_pct,100,28.74
positional,aggressive_pct,110,28.25
positional,aggressive_pct,120,27.98
positional,aggressive_pct,130,29.91
positional,aggressive_pct,140,27.53
positional,aggressive_pct,150,29.07
positional,aggressive_pct,160,28.79
positional,aggressive_pct,170,28.55
positional,aggressive_pct,180,28.22
positional,aggressive_pct,190,29.42
positional,aggressive_pct,200,27.94
positional,aggressive_pct,210,30.92
positional,aggressive_pct,220,29.26
positional,aggressive_pct,230,30.61
positional,aggressive_pct,240,28.3
positional,aggressive_pct,250,27.18
positional,aggressive_pct,260,27.62
positional,aggressive_pct,270,27.23
positional,aggressive_pct,280,26.11
positional,aggressive_pct,290,27.83
positional,aggressive_pct,300,29.15
positional,aggressive_pct,310,31.07
positional,aggressive_pct,320,28.5
positional,aggressive_pct,330,26.54
positional,aggressive_pct,340,27.45
positional,aggressive_pct,350,27.68
tactical,captures_pct,10,23.07
tactical,captures_pct,20,22.65
tactical,captures_pct,30,21.13
tactical,captures_pct,40,20.45
tactical,captures_pct,50,21.21
tactical,captures_pct,60,23.02
tactical,captures_pct,70,18.83
tactical,captures_pct,80,20.16
tactical,captures_pct,90,20.21
tactical,captures_pct,100,20.08
tactical,captures_pct,110,19.21
tactical,captures_pct,120,19.96
tactical,captures_pct,130,18.99
tactical,captures_pct,140,20.08
tactical,captures_pct,150,18.84
tactical,captures_pct,160,20.2
tactical,captures_pct,170,18.23
tactical,captures_pct,180,20.56
tactical,captures_pct,190,19.17
tactical,captures_pct,200,18.7
tactical,captures_pct,210,19.16
tactical,captures_pct,220,19.99
tactical,captures_pct,230,18.97
tactical,captures_pct,240,20.92
tactical,captures_pct,250,18.18
