cluster,move_type,round,percentage
tactical,aggressive_pct,10,30.71
tactical,aggressive_pct,20,30.74
tactical,aggressive_pct,30,28.31
tactical,aggressive_pct,40,28.09
tactical,aggressive_pct,50,29.71
tactical,aggressive_pct,60,28.88
tactical,aggressive_pct,70,28.18
tactical,aggressive_pct,80,28.75
tactical,aggressive_pct,90,29.66
tactical,aggressive_pct,100,28.14
tactical,aggressive_pct,110,27.33
tactical,aggressive_pct,120,28.88
tactical,aggressive_pct,130,27.2
tactical,aggressive_pct,140,27.48
tactical,aggressive_pct,150,30.12
tactical,aggressive_pct,160,27.7
tactical,aggressive_pct,170,28.14
tactical,aggressive_pct,180,27.64
tactical,aggressive_pct,190,27.74
tactical,aggressive_pct,200,28.28
tactical,aggressive_pct,210,29.95
tactical,aggressive_pct,220,28.63
tactical,aggressive_pct,230,30.01
tactical,aggressive_pct,240,26.79
tactical,aggressive_pct,250,28.76
tactical,aggressive_pct,260,28.36
tactical,aggressive_pct,270,27.02
tactical,aggressive_pct,280,30.65
tactical,aggressive_pct,290,28.26
tactical,aggressive_pct,300,29.78
tactical,aggressive_pct,310,26.23
tactical,aggressive_pct,320,29.18
tactical,aggressive_pct,330,28.63
tactical,aggressive_pct,340,28.23
tactical,aggressive_pct,350,27.21
positional,aggressive_pct,10,28.74
positional,aggressive_pct,20,28.49
positional,aggressive_pct,30,29.39
positional,aggressive_pct,40,27.38
positional,aggressive_pct,50,28.46
positional,aggressive_pct,60,27.32
positional,aggressive_pct,70,27.64
positional,aggressive_pct,80,27.6
positional,aggressive_pct,90,26.97
positional,aggressive_pct,100,27.34
positional,aggressive_pct,110,28.03
positional,aggressive_pct,120,29.21
positional,aggressive_pct,130,26.79
positional,aggressive_pct,140,25.93
positional,aggressive_pct,150,26.02
positional,aggressive_pct,160,27.92
positional,aggressive_pct,170,28.69
positional,aggressive_pct,180,28.45
positional,aggressive_pct,190,29.3
positional,aggressive_pct,200,28.19
positional,aggressive_pct,210,28.9
positional,aggressive_pct,220,28.49
positional,aggressive_pct,230,29.02
positional,aggressive_pct,240,28.1
positional,aggressive_pct,250,30.0
positional,aggressive_pct,260,28.04
positional,aggressive_pct,270,27.32
positional,aggressive_pct,280,29.79
positional,aggressive_pct,290,29.18
positional,aggressive_pct,300,28.28
positional,aggressive_pct,310,30.85
positional,aggressive_pct,320,28.17
positional,aggressive_pct,330,27.97
positional,aggressive_pct,340,27.74
positional,aggressive_pct,350,27.23
tactical,captures_pct,10,23.29
tactical,captures_pct,20,23.52
tactical,captures_pct,30,21.76
tactical,captures_pct,40,20.62
