cluster,move_type,round,percentage
tactical,aggressive_pct,10,29.29
tactical,aggressive_pct,20,30.63
tactical,aggressive_pct,30,29.08
tactical,aggressive_pct,40,29.47
tactical,aggressive_pct,50,27.72
tactical,aggressive_pct,60,28.05
tactical,aggressive_pct,70,28.81
tactical,aggressive_pct,80,26.73
tactical,aggressive_pct,90,29.49
tactical,aggressive_pct,100,27.49
tactical,aggressive_pct,110,26.67
tactical,aggressive_pct,120,27.94
tactical,aggressive_pct,130,26.95
tactical,aggressive_pct,140,29.96
tactical,aggressive_pct,150,27.44
tactical,aggressive_pct,160,29.5
tactical,aggressive_pct,170,28.62
tactical,aggressive_pct,180,25.64
tactical,aggressive_pct,190,28.73
tactical,aggressive_pct,200,26.5
tactical,aggressive_pct,210,31.01
tactical,aggressive_pct,220,27.87
tactical,aggressive_pct,230,28.2
tactical,aggressive_pct,240,29.85
tactical,aggressive_pct,250,29.61
tactical,aggressive_pct,260,28.59
tactical,aggressive_pct,270,28.01
tactical,aggressive_pct,280,29.09
tactical,aggressive_pct,290,29.49
tactical,aggressive_pct,300,29.35
tactical,aggressive_pct,310,27.29
tactical,aggressive_pct,320,25.55
tactical,aggressive_pct,330,27.32
tactical,aggressive_pct,340,27.65
tactical,aggressive_pct,350,29.59
positional,aggressive_pct,10,27.52
positional,aggressive_pct,20,29.87
positional,aggressive_pct,30,27.55
positional,aggressive_pct,40,27.75
positional,aggressive_pct,50,27.37
positional,aggressive_pct,60,29.88
positional,aggressive_pct,70,28.55
positional,aggressive_pct,80,28.41
positional,aggressive_pct,90,30.25
positional,aggressive_pct,100,29.58
positional,aggressive_pct,110,28.89
positional,aggressive_pct,120,26.66
positional,aggressive_pct,130,29.05
positional,aggressive_pct,140,27.44
positional,aggressive_pct,150,30.59
positional,aggressive_pct,160,29.26
positional,aggressive_pct,170,29.85
positional,aggressive_pct,180,27.02
positional,aggressive_pct,190,27.4
positional,aggressive_pct,200,28.7
positional,aggressive_pct,210,29.22
positional,aggressive_pct,220,26.58
positional,aggressive_pct,230,28.84
positional,aggressive_pct,240,30.12
positional,aggressive_pct,250,28.98
positional,aggressive_pct,260,28.29
positional,aggressive_pct,270,27.8
positional,aggressive_pct,280,24.25
positional,aggressive_pct,290,28.74
positional,aggressive_pct,300,26.39
positional,aggressive_pct,310,26.83
positional,aggressive_pct,320,31.41
positional,aggressive_pct,330,27.15
positional,aggressive_pct,340,29.4
positional,aggressive_pct,350,27.64
tactical,captures_pct,10,22.41
tactical,captures_pct,20,22.02
tactical,captures_pct,30,22.57
tactical,captures_pct,40,22.0
tactical,captures_pct,50,21.39
tactical,captures_pct,60,20.28
tactical,captures_pct,70,20.61
tactical,captures_pct,80,19.06
tactical,captures_pct,90,19.76
tactical,captures_pct,100,19.37
tactical,captures_pct,110,18.69
tactical,captures_pct,120,19.07
tactical,captures_pct,130,18.43
tactical,captures_pct,140,20.84
tactical,captures_pct,150,19.6
tactical,captures_pct,160,21.39
tactical,captures_pct,170,19.22
tactical,captures_pct,180,17.8
tactical,captures_pct,190,18.78
tactical,captures_pct,200,19.37
tactical,captures_pct,210,20.38
tactical,captures_pct,220,19.41
tactical,captures_pct,230,19.41
tactical,captures_pct,240,19.83
tactical,captures_pct,250,20.15
tactical,captures_pct,260,19.2
tactical,captures_pct,270,20.17
tactical,captures_pct,280,19.38
tactical,captures_pct,290,20.25
tactical,captures_pct,300,20.75
tactical,captures_pct,310,18.92
tactical,captures_pct,320,17.86
tactical,captures_pct,330,19.04
tactical,captures_pct,340,19.03
tactical,captures_pct,350,20.22
positional,captures_pct,10,20.55
positional,captures_pct,20,22.95
positional,captures_pct,30,20.51
positional,captures_pct,40,20.32
positional,captures_pct,50,19.14
positional,captures_pct,60,20.92
positional,captures_pct,70,20.68
positional,captures_pct,80,20.11
positional,captures_pct,90,21.03
positional,captures_pct,100,21.48
positional,captures_pct,110,19.16
positional,captures_pct,120,19.07
positional,captures_pct,130,19.0
positional,captures_pct,140,19.24
positional,captures_pct,150,20.39
positional,captures_pct,160,19.06
positional,captures_pct,170,19.3
positional,captures_pct,180,19.05
positional,captures_pct,190,18.59
positional,captures_pct,200,18.25
positional,captures_pct,210,19.91
positional,captures_pct,220,18.86
positional,captures_pct,230,20.4
positional,captures_pct,240,20.22
positional,captures_pct,250,19.92
positional,captures_pct,260,19.94
positional,captures_pct,270,19.25
positional,captures_pct,280,17.14
positional,captures_pct,290,18.53
positional,captures_pct,300,18.07
positional,captures_pct,310,16.86
positional,captures_pct,320,19.8
positional,captures_pct,330,19.74
positional,captures_pct,340,18.59
positional,captures_pct,350,19.12
tactical,checks_pct,10,6.89
tactical,checks_pct,20,8.61
tactical,checks_pct,30,6.51
tactical,checks_pct,40,7.47
tactical,checks_pct,50,6.33
tactical,checks_pct,60,7.77
tactical,checks_pct,70,8.2
tactical,checks_pct,80,7.66
tactical,checks_pct,90,9.73
tactical,checks_pct,100,8.13
tactical,checks_pct,110,7.98
tactical,checks_pct,120,8.86
tactical,checks_pct,130,8.51
tactical,checks_pct,140,9.12
tactical,checks_pct,150,7.84
tactical,checks_pct,160,8.11
tactical,checks_pct,170,9.4
tactical,checks_pct,180,7.84
tactical,checks_pct,190,9.95
tactical,checks_pct,200,7.13
tactical,checks_pct,210,10.63
tactical,checks_pct,220,8.46
tactical,checks_pct,230,8.78
tactical,checks_pct,240,10.03
tactical,checks_pct,250,9.46
tactical,checks_pct,260,9.39
tactical,checks_pct,270,7.83
tactical,checks_pct,280,9.71
tactical,checks_pct,290,9.24
tactical,checks_pct,300,8.6
tactical,checks_pct,310,8.37
tactical,checks_pct,320,7.69
tactical,checks_pct,330,8.28
tactical,checks_pct,340,8.62
tactical,checks_pct,350,9.38
positional,checks_pct,10,6.97
positional,checks_pct,20,6.92
positional,checks_pct,30,7.04
positional,checks_pct,40,7.42
positional,checks_pct,50,8.23
positional,checks_pct,60,8.96
positional,checks_pct,70,7.87
positional,checks_pct,80,8.3
positional,checks_pct,90,9.22
positional,checks_pct,100,8.1
positional,checks_pct,110,9.73
positional,checks_pct,120,7.59
positional,checks_pct,130,10.05
positional,checks_pct,140,8.2
positional,checks_pct,150,10.2
positional,checks_pct,160,10.2
positional,checks_pct,170,10.55
positional,checks_pct,180,7.97
positional,checks_pct,190,8.81
positional,checks_pct,200,10.46
positional,checks_pct,210,9.32
positional,checks_pct,220,7.73
positional,checks_pct,230,8.44
positional,checks_pct,240,9.91
positional,checks_pct,250,9.06
positional,checks_pct,260,8.34
positional,checks_pct,270,8.56
positional,checks_pct,280,7.11
positional,checks_pct,290,10.21
positional,checks_pct,300,8.33
positional,checks_pct,310,9.96
positional,checks_pct,320,11.61
positional,checks_pct,330,7.41
positional,checks_pct,340,10.81
positional,checks_pct,350,8.52
tactical,quiet_moves_pct,10,72.85
tactical,quiet_moves_pct,20,72.04
tactical,quiet_moves_pct,30,73.21
tactical,quiet_moves_pct,40,73.17
tactical,quiet_moves_pct,50,74.27
tactical,quiet_moves_pct,60,74.18
tactical,quiet_moves_pct,70,73.73
tactical,quiet_moves_pct,80,74.91
tactical,quiet_moves_pct,90,73.03
tactical,quiet_moves_pct,100,74.29
tactical,quiet_moves_pct,110,75.37
tactical,quiet_moves_pct,120,74.44
tactical,quiet_moves_pct,130,75.0
tactical,quiet_moves_pct,140,72.27
tactical,quiet_moves_pct,150,74.95
tactical,quiet_moves_pct,160,72.84
tactical,quiet_moves_pct,170,73.67
tactical,quiet_moves_pct,180,76.23
tactical,quiet_moves_pct,190,73.49
tactical,quiet_moves_pct,200,75.23
tactical,quiet_moves_pct,210,71.15
tactical,quiet_moves_pct,220,73.98
tactical,quiet_moves_pct,230,73.81
tactical,quiet_moves_pct,240,72.34
tactical,quiet_moves_pct,250,72.89
tactical,quiet_moves_pct,260,73.48
tactical,quiet_moves_pct,270,74.09
tactical,quiet_moves_pct,280,72.95
tactical,quiet_moves_pct,290,72.51
tactical,quiet_moves_pct,300,73.31
tactical,quiet_moves_pct,310,74.72
tactical,quiet_moves_pct,320,76.35
tactical,quiet_moves_pct,330,74.57
tactical,quiet_moves_pct,340,74.65
tactical,quiet_moves_pct,350,72.42
positional,quiet_moves_pct,10,74.69
positional,quiet_moves_pct,20,73.08
positional,quiet_moves_pct,30,74.89
positional,quiet_moves_pct,40,74.38
positional,quiet_moves_pct,50,74.5
positional,quiet_moves_pct,60,72.32
positional,quiet_moves_pct,70,74.23
positional,quiet_moves_pct,80,73.73
positional,quiet_moves_pct,90,72.21
positional,quiet_moves_pct,100,72.57
positional,quiet_moves_pct,110,73.31
positional,quiet_moves_pct,120,75.57
positional,quiet_moves_pct,130,73.31
positional,quiet_moves_pct,140,74.69
positional,quiet_moves_pct,150,71.97
positional,quiet_moves_pct,160,72.31
positional,quiet_moves_pct,170,72.25
positional,quiet_moves_pct,180,75.14
positional,quiet_moves_pct,190,74.51
positional,quiet_moves_pct,200,73.46
positional,quiet_moves_pct,210,73.31
positional,quiet_moves_pct,220,75.61
positional,quiet_moves_pct,230,73.37
positional,quiet_moves_pct,240,72.58
positional,quiet_moves_pct,250,73.08
positional,quiet_moves_pct,260,73.7
positional,quiet_moves_pct,270,73.93
positional,quiet_moves_pct,280,77.37
positional,quiet_moves_pct,290,73.23
positional,quiet_moves_pct,300,75.3
positional,quiet_moves_pct,310,74.93
positional,quiet_moves_pct,320,71.18
positional,quiet_moves_pct,330,74.61
positional,quiet_moves_pct,340,72.98
positional,quiet_moves_pct,350,74.91
