cluster,round,num_openings
tactical,10,2
tactical,20,2
tactical,30,2
tactical,40,2
tactical,50,4
tactical,60,3
tactical,70,3
tactical,90,2
tactical,100,3
tactical,110,3
tactical,120,4
tactical,130,2
tactical,140,5
tactical,150,3
tactical,160,3
tactical,170,4
tactical,180,3
tactical,190,4
tactical,200,3
tactical,210,4
tactical,220,3
tactical,230,5
tactical,240,4
tactical,250,5
tactical,260,5
tactical,270,4
tactical,280,3
tactical,290,4
tactical,300,4
tactical,310,3
tactical,320,3
tactical,330,3
tactical,340,3
tactical,350,3
positional,10,3
positional,20,3
positional,30,4
positional,40,4
positional,50,3
positional,60,3
positional,70,3
positional,90,5
positional,100,5
positional,110,3
positional,120,5
positional,130,3
positional,140,3
positional,150,4
positional,160,4
positional,170,3
positional,180,4
positional,190,3
positional,200,4
positional,210,4
positional,220,3
positional,230,4
positional,240,3
positional,250,3
positional,260,5
positional,270,3
positional,280,4
positional,290,6
positional,300,5
positional,310,3
positional,320,5
positional,330,7
positional,340,3
positional,350,5
