cluster,round,num_openings
tactical,10,3
tactical,20,2
tactical,30,2
tactical,40,2
tactical,50,3
tactical,60,4
tactical,70,5
tactical,80,2
tactical,90,3
tactical,100,2
tactical,110,2
tactical,120,2
tactical,130,2
tactical,140,2
tactical,150,3
tactical,160,3
tactical,170,2
tactical,180,2
tactical,190,2
tactical,200,2
tactical,210,2
tactical,220,2
tactical,230,2
tactical,240,3
tactical,250,5
tactical,260,4
tactical,270,2
tactical,280,4
tactical,290,4
tactical,300,4
tactical,310,5
tactical,320,4
tactical,330,3
tactical,340,4
tactical,350,6
positional,10,4
positional,20,5
positional,30,3
positional,40,3
positional,50,2
positional,60,2
positional,70,4
positional,80,2
positional,90,5
positional,100,3
positional,110,3
positional,120,5
positional,130,3
positional,140,3
positional,150,3
positional,160,4
positional,170,3
positional,180,4
positional,190,2
positional,200,4
positional,210,3
positional,220,3
positional,230,5
positional,240,4
positional,250,3
positional,260,3
positional,270,4
positional,280,4
positional,290,2
positional,300,3
positional,310,4
positional,320,4
positional,330,2
positional,340,4
positional,350,3
