cluster,round,num_openings
tactical,10,3
tactical,20,3
tactical,30,2
tactical,40,3
tactical,50,2
tactical,60,4
tactical,70,2
tactical,80,3
tactical,90,3
tactical,100,3
tactical,110,2
tactical,120,3
tactical,130,3
tactical,140,2
tactical,150,2
tactical,160,2
tactical,170,2
tactical,180,2
tactical,190,2
tactical,200,2
tactical,210,3
tactical,220,2
tactical,230,2
tactical,240,3
tactical,250,3
tactical,260,2
tactical,270,3
tactical,280,3
tactical,290,3
tactical,300,3
tactical,310,2
tactical,320,3
tactical,330,3
tactical,340,2
tactical,350,2
positional,10,3
positional,20,5
positional,30,3
positional,40,2
positional,50,3
positional,60,2
positional,70,4
positional,80,4
positional,90,3
positional,100,5
positional,110,3
positional,120,6
positional,130,4
positional,140,4
positional,150,5
positional,160,3
positional,170,4
positional,180,4
positional,190,3
positional,200,3
positional,210,3
positional,220,3
positional,230,4
positional,240,5
positional,250,3
positional,260,4
positional,270,4
positional,280,6
positional,290,5
positional,300,4
positional,310,3
positional,320,4
positional,330,5
positional,340,5
positional,350,4
