cluster,round,num_openings
tactical,10,5
tactical,20,3
tactical,30,3
tactical,40,2
tactical,50,2
tactical,60,2
tactical,70,3
tactical,80,3
tactical,90,3
tactical,100,3
tactical,110,3
tactical,120,4
tactical,130,2
tactical,140,3
tactical,150,3
tactical,160,2
tactical,170,3
tactical,180,3
tactical,190,3
tactical,200,3
tactical,210,3
tactical,220,3
tactical,230,3
tactical,240,2
tactical,250,3
tactical,260,3
tactical,270,5
tactical,280,3
tactical,290,4
tactical,300,4
tactical,310,2
tactical,320,2
tactical,330,3
tactical,340,2
tactical,350,2
positional,10,3
positional,20,3
positional,30,2
positional,40,3
positional,50,4
positional,60,2
positional,70,3
positional,80,5
positional,90,3
positional,100,5
positional,110,4
positional,120,5
positional,130,5
positional,140,5
positional,150,4
positional,160,4
positional,170,4
positional,180,4
positional,190,3
positional,200,5
positional,210,5
positional,220,4
positional,230,4
positional,240,5
positional,250,3
positional,260,4
positional,270,5
positional,280,5
positional,290,6
positional,300,5
positional,310,5
positional,320,6
positional,330,5
positional,340,6
positional,350,5
