cluster,round,num_openings
tactical,10,4
tactical,20,4
tactical,30,4
tactical,40,2
tactical,50,3
tactical,60,2
tactical,70,4
tactical,80,2
tactical,90,3
tactical,100,2
tactical,110,4
tactical,120,4
tactical,130,2
tactical,140,4
tactical,150,2
tactical,160,4
tactical,170,2
tactical,180,2
tactical,190,2
tactical,200,2
tactical,210,2
tactical,220,3
tactical,230,3
tactical,240,4
tactical,250,2
tactical,260,3
tactical,270,3
tactical,280,2
tactical,290,3
tactical,300,2
tactical,310,3
tactical,320,2
tactical,330,3
tactical,340,2
tactical,350,2
positional,10,2
positional,20,2
positional,30,2
positional,40,4
positional,50,4
positional,60,3
positional,70,4
positional,80,4
positional,90,3
positional,100,2
positional,110,4
positional,120,6
positional,130,2
positional,140,3
positional,150,3
positional,160,5
positional,170,6
positional,180,2
positional,190,7
positional,200,3
positional,210,4
positional,220,4
positional,230,4
positional,240,2
positional,250,3
positional,260,5
positional,270,9
positional,280,5
positional,290,3
positional,300,6
positional,310,5
positional,320,4
positional,330,3
positional,340,5
positional,350,2
