cluster,round,num_openings
tactical,10,4
tactical,20,2
tactical,30,4
tactical,40,2
tactical,50,4
tactical,60,5
tactical,70,3
tactical,80,3
tactical,90,2
tactical,100,4
tactical,110,3
tactical,120,3
tactical,130,2
tactical,140,3
tactical,150,3
tactical,160,2
tactical,170,3
tactical,180,2
tactical,190,1
tactical,200,5
tactical,210,2
tactical,220,2
tactical,230,2
tactical,240,4
tactical,250,2
tactical,260,2
tactical,270,2
tactical,280,2
tactical,290,2
tactical,300,2
tactical,310,3
tactical,320,4
tactical,330,4
tactical,340,3
tactical,350,6
positional,10,3
positional,20,2
positional,30,2
positional,40,3
positional,50,3
positional,60,2
positional,70,2
positional,80,4
positional,90,7
positional,100,6
positional,110,4
positional,120,6
positional,130,5
positional,140,5
positional,150,5
positional,160,4
positional,170,5
positional,180,3
positional,190,4
positional,200,4
positional,210,3
positional,220,4
positional,230,3
positional,240,4
positional,250,5
positional,260,3
positional,270,4
positional,280,3
positional,290,3
positional,300,2
positional,310,3
positional,320,4
positional,330,4
positional,340,3
positional,350,4
