experiment,round,policy_head_divergence
B1_full_sharing,10,-1e-06
B1_full_sharing,20,-2e-06
B1_full_sharing,30,-1e-06
B1_full_sharing,40,-3e-06
B1_full_sharing,50,-2e-06
B1_full_sharing,60,-2e-06
B1_full_sharing,70,-4e-06
B1_full_sharing,90,-3e-06
B1_full_sharing,100,-3e-06
B1_full_sharing,110,-4e-06
B1_full_sharing,120,-4e-06
B1_full_sharing,130,-3e-06
B1_full_sharing,140,-3e-06
B1_full_sharing,150,-3e-06
B1_full_sharing,160,-3e-06
B1_full_sharing,170,-3e-06
B1_full_sharing,180,-4e-06
B1_full_sharing,190,-4e-06
B1_full_sharing,200,-4e-06
B1_full_sharing,210,-4e-06
B1_full_sharing,220,-4e-06
B1_full_sharing,230,-4e-06
B1_full_sharing,240,-3e-06
B1_full_sharing,250,-3e-06
B1_full_sharing,260,-3e-06
B1_full_sharing,270,-3e-06
B1_full_sharing,280,-3e-06
B1_full_sharing,290,-3e-06
B1_full_sharing,300,-3e-06
B1_full_sharing,310,-3e-06
B1_full_sharing,320,-3e-06
B1_full_sharing,330,-3e-06
B1_full_sharing,340,-3e-06
B1_full_sharing,350,-3e-06
B2_no_sharing,10,0.315527
B2_no_sharing,20,0.305115
B2_no_sharing,30,0.299071
B2_no_sharing,40,0.294007
B2_no_sharing,50,0.287877
B2_no_sharing,60,0.28215
B2_no_sharing,70,0.276596
B2_no_sharing,80,0.27127
B2_no_sharing,90,0.266404
B2_no_sharing,100,0.261873
B2_no_sharing,110,0.257659
B2_no_sharing,120,0.254405
B2_no_sharing,130,0.251536
B2_no_sharing,140,0.248668
B2_no_sharing,150,0.246048
B2_no_sharing,160,0.243153
B2_no_sharing,170,0.241295
B2_no_sharing,180,0.239385
B2_no_sharing,190,0.238109
B2_no_sharing,200,0.236367
B2_no_sharing,210,0.235506
B2_no_sharing,220,0.234262
B2_no_sharing,230,0.233089
B2_no_sharing,240,0.23161
B2_no_sharing,250,0.230888
B2_no_sharing,260,0.230103
B2_no_sharing,270,0.229103
B2_no_sharing,280,0.229033
B2_no_sharing,290,0.228641
B2_no_sharing,300,0.228292
B2_no_sharing,310,0.228261
B2_no_sharing,320,0.228224
B2_no_sharing,330,0.228194
B2_no_sharing,340,0.228103
B2_no_sharing,350,0.228079
P1_share_early,10,0.289642
