cluster,round,unique_destinations
tactical,10,24.27
tactical,20,24.43
tactical,30,24.93
tactical,40,28.37
tactical,50,25.9
tactical,60,25.73
tactical,70,28.63
tactical,90,27.7
tactical,100,29.67
tactical,110,28.87
tactical,120,28.67
tactical,130,30.6
tactical,140,30.67
tactical,150,32.87
tactical,160,28.23
tactical,170,31.5
tactical,180,29.97
tactical,190,31.07
tactical,200,32.4
tactical,210,27.77
tactical,220,29.3
tactical,230,29.93
tactical,240,31.13
tactical,250,30.47
tactical,260,29.77
tactical,270,29.87
tactical,280,33.13
tactical,290,30.4
tactical,300,29.1
tactical,310,31.07
tactical,320,32.57
tactical,330,34.3
tactical,340,31.97
tactical,350,33.3
positional,10,22.6
positional,20,23.9
positional,30,28.03
positional,40,25.8
positional,50,26.2
positional,60,25.17
positional,70,26.23
positional,90,30.4
positional,100,30.53
positional,110,30.0
positional,120,29.4
positional,130,30.83
positional,140,27.97
positional,150,27.47
positional,160,31.4
positional,170,30.0
positional,180,32.27
positional,190,31.53
positional,200,30.4
positional,210,28.9
positional,220,26.67
positional,230,31.37
positional,240,33.37
positional,250,30.3
positional,260,32.33
positional,270,29.13
positional,280,30.9
positional,290,31.87
positional,300,32.27
positional,310,30.7
positional,320,30.43
positional,330,32.87
positional,340,28.97
positional,350,32.07
