cluster,round,unique_destinations
tactical,10,23.47
tactical,20,24.07
tactical,30,26.53
tactical,40,28.1
tactical,50,27.07
tactical,60,28.2
tactical,70,27.4
tactical,80,30.53
tactical,90,29.53
tactical,100,29.57
tactical,110,30.5
tactical,120,31.87
tactical,130,29.07
tactical,140,30.3
tactical,150,30.27
tactical,160,28.33
tactical,170,31.8
tactical,180,34.5
tactical,190,31.9
tactical,200,30.4
tactical,210,30.77
tactical,220,33.53
tactical,230,33.8
tactical,240,31.67
tactical,250,33.53
tactical,260,29.3
tactical,270,34.3
tactical,280,31.43
tactical,290,29.03
tactical,300,32.5
tactical,310,31.6
tactical,320,32.13
tactical,330,31.37
tactical,340,30.33
tactical,350,32.9
positional,10,21.97
positional,20,23.87
positional,30,26.3
positional,40,24.77
positional,50,27.7
positional,60,25.5
positional,70,30.03
positional,80,27.23
positional,90,27.37
positional,100,29.53
positional,110,30.77
positional,120,31.9
positional,130,30.83
positional,140,33.8
positional,150,31.87
positional,160,30.37
positional,170,30.87
positional,180,33.43
positional,190,32.33
positional,200,27.9
positional,210,28.9
positional,220,31.07
positional,230,30.03
positional,240,31.47
positional,250,29.37
positional,260,30.3
positional,270,27.83
positional,280,31.33
positional,290,32.57
positional,300,31.47
positional,310,30.2
positional,320,33.47
positional,330,33.9
positional,340,30.63
positional,350,33.37
