cluster,round,unique_destinations
tactical,10,23.93
tactical,20,22.2
tactical,30,27.87
tactical,40,25.67
tactical,50,26.3
tactical,60,24.73
tactical,70,29.1
tactical,80,28.2
tactical,90,29.4
tactical,100,29.0
tactical,110,30.6
tactical,120,32.87
tactical,130,30.2
tactical,140,29.03
tactical,150,29.23
tactical,160,31.37
tactical,170,30.67
tactical,180,27.6
tactical,190,30.7
tactical,200,30.6
tactical,210,30.57
tactical,220,30.67
tactical,230,32.23
tactical,240,28.27
tactical,250,30.83
tactical,260,33.07
tactical,270,27.33
tactical,280,30.07
tactical,290,31.9
tactical,300,30.93
tactical,310,31.1
tactical,320,32.2
tactical,330,32.47
tactical,340,31.2
tactical,350,32.67
positional,10,25.13
positional,20,25.53
positional,30,27.0
positional,40,27.17
positional,50,26.6
positional,60,31.2
positional,70,28.67
positional,80,26.9
positional,90,25.8
positional,100,28.47
positional,110,30.9
positional,120,31.6
positional,130,29.97
positional,140,29.0
positional,150,26.4
positional,160,29.33
positional,170,29.73
positional,180,30.0
positional,190,30.77
positional,200,31.97
positional,210,28.53
positional,220,30.27
positional,230,32.07
positional,240,30.63
positional,250,27.43
positional,260,32.4
positional,270,34.1
positional,280,32.2
positional,290,32.43
positional,300,31.2
positional,310,29.87
positional,320,30.9
positional,330,33.5
positional,340,29.3
positional,350,31.03
