cluster,round,unique_destinations
tactical,10,21.83
tactical,20,23.7
tactical,30,25.07
tactical,40,26.83
tactical,50,26.33
tactical,60,27.4
tactical,70,29.33
tactical,80,31.73
tactical,90,30.23
tactical,100,29.17
tactical,110,32.77
tactical,120,29.53
tactical,130,31.87
tactical,140,29.87
tactical,150,30.93
tactical,160,30.33
tactical,170,29.27
tactical,180,33.17
tactical,190,30.63
tactical,200,30.87
tactical,210,30.43
tactical,220,30.4
tactical,230,31.1
tactical,240,29.6
tactical,250,32.17
tactical,260,31.2
tactical,270,31.57
tactical,280,30.4
tactical,290,29.03
tactical,300,30.67
tactical,310,31.1
tactical,320,32.23
tactical,330,33.93
tactical,340,30.5
tactical,350,32.0
positional,10,23.93
positional,20,24.13
positional,30,27.27
positional,40,26.77
positional,50,28.3
positional,60,27.63
positional,70,29.87
positional,80,28.03
positional,90,31.47
positional,100,32.9
positional,110,30.2
positional,120,28.1
positional,130,29.2
positional,140,33.83
positional,150,32.1
positional,160,32.7
positional,170,29.87
positional,180,31.4
positional,190,29.67
positional,200,34.77
positional,210,30.4
positional,220,29.2
positional,230,29.47
positional,240,30.87
positional,250,32.4
positional,260,29.97
positional,270,34.03
positional,280,29.83
positional,290,30.83
positional,300,30.9
positional,310,28.8
positional,320,30.43
positional,330,32.63
positional,340,34.13
positional,350,31.43
