cluster,round,unique_destinations
tactical,10,25.07
tactical,20,24.53
tactical,30,23.57
tactical,40,25.57
tactical,50,25.27
tactical,60,26.73
tactical,70,27.97
tactical,80,30.57
tactical,90,28.7
tactical,100,30.93
tactical,110,30.93
tactical,120,31.0
tactical,130,32.1
tactical,140,29.3
tactical,150,30.2
tactical,160,28.53
tactical,170,32.0
tactical,180,30.6
tactical,190,30.1
tactical,200,29.57
tactical,210,30.23
tactical,220,30.57
tactical,230,30.87
tactical,240,29.5
tactical,250,30.83
tactical,260,29.07
tactical,270,30.4
tactical,280,28.83
tactical,290,29.93
tactical,300,29.27
tactical,310,32.33
tactical,320,31.3
tactical,330,32.07
tactical,340,30.33
tactical,350,27.93
positional,10,23.97
positional,20,22.67
positional,30,28.33
positional,40,29.2
positional,50,30.4
positional,60,27.3
positional,70,25.83
positional,80,29.87
positional,90,28.7
positional,100,29.13
positional,110,30.57
positional,120,32.77
positional,130,29.97
positional,140,32.03
positional,150,31.73
positional,160,31.4
positional,170,31.77
positional,180,31.53
positional,190,32.23
positional,200,32.63
positional,210,27.33
positional,220,29.93
positional,230,32.57
positional,240,30.33
positional,250,29.57
positional,260,31.2
positional,270,30.83
positional,280,34.73
positional,290,31.03
positional,300,32.13
positional,310,34.3
positional,320,28.23
positional,330,31.2
positional,340,32.17
positional,350,32.07
