experiment,round,value_head_divergence
B1_full_sharing,10,0.0
B1_full_sharing,20,0.0
B1_full_sharing,30,-0.0
B1_full_sharing,40,-0.0
B1_full_sharing,50,0.0
B1_full_sharing,60,-0.0
B1_full_sharing,70,-0.0
B1_full_sharing,90,-0.0
B1_full_sharing,100,0.0
B1_full_sharing,110,-0.0
B1_full_sharing,120,-0.0
B1_full_sharing,130,-0.0
B1_full_sharing,140,0.0
B1_full_sharing,150,0.0
B1_full_sharing,160,-0.0
B1_full_sharing,170,0.0
B1_full_sharing,180,-0.0
B1_full_sharing,190,-0.0
B1_full_sharing,200,0.0
B1_full_sharing,210,-0.0
B1_full_sharing,220,0.0
B1_full_sharing,230,0.0
B1_full_sharing,240,0.0
B1_full_sharing,250,0.0
B1_full_sharing,260,0.0
B1_full_sharing,270,0.0
B1_full_sharing,280,0.0
B1_full_sharing,290,0.0
B1_full_sharing,300,0.0
B1_full_sharing,310,-0.0
B1_full_sharing,320,-0.0
B1_full_sharing,330,-0.0
B1_full_sharing,340,-0.0
B1_full_sharing,350,-0.0
B2_no_sharing,10,1.091856
B2_no_sharing,20,1.074486
B2_no_sharing,30,1.062867
B2_no_sharing,40,1.103551
B2_no_sharing,50,1.149105
B2_no_sharing,60,1.128383
B2_no_sharing,70,1.15473
B2_no_sharing,80,1.163526
B2_no_sharing,90,1.141521
B2_no_sharing,100,1.129314
B2_no_sharing,110,1.151935
B2_no_sharing,120,1.174756
B2_no_sharing,130,1.144535
B2_no_sharing,140,1.178461
B2_no_sharing,150,1.197021
B2_no_sharing,160,1.1916
B2_no_sharing,170,1.176061
B2_no_sharing,180,1.197983
B2_no_sharing,190,1.165694
B2_no_sharing,200,1.192776
B2_no_sharing,210,1.20983
B2_no_sharing,220,1.216038
B2_no_sharing,230,1.211219
B2_no_sharing,240,1.22713
B2_no_sharing,250,1.215028
B2_no_sharing,260,1.180276
B2_no_sharing,270,1.2104
B2_no_sharing,280,0.742739
B2_no_sharing,290,0.741101
B2_no_sharing,300,1.147739
B2_no_sharing,310,0.740718
B2_no_sharing,320,0.739151
B2_no_sharing,330,0.73812
B2_no_sharing,340,0.737028
B2_no_sharing,350,0.736605
P1_share_early,10,0.609067
P1_share_early,20,0.619195
P1_share_early,30,1.104505
P1_share_early,40,1.111358
P1_share_early,50,1.036901
P1_share_early,60,0.632856
P1_share_early,70,0.638725
P1_share_early,80,1.043747
P1_share_early,90,0.646671
P1_share_early,100,1.088822
P1_share_early,110,1.13953
P1_share_early,120,1.07532
P1_share_early,130,1.137612
P1_share_early,140,1.155742
P1_share_early,150,1.12952
P1_share_early,160,1.159826
P1_share_early,170,1.162973
P1_share_early,180,0.695836
P1_share_early,190,0.701905
P1_share_early,200,1.162546
P1_share_early,210,0.708628
P1_share_early,220,0.716393
P1_share_early,230,1.175159
P1_share_early,240,0.715657
P1_share_early,250,0.719754
P1_share_early,260,0.715361
P1_share_early,270,0.715115
P1_share_early,280,0.721013
P1_share_early,290,1.174321
P1_share_early,300,1.189819
P1_share_early,310,1.173911
P1_share_early,320,1.178085
P1_share_early,330,1.191911
P1_share_early,340,1.192672
P1_share_early,350,1.182483
P2_share_middle,10,1.116132
P2_share_middle,20,1.490887
P2_share_middle,30,1.062533
P2_share_middle,40,1.065902
P2_share_middle,50,0.675944
P2_share_middle,60,0.686013
P2_share_middle,70,0.693799
P2_share_middle,80,0.703948
