cluster,round,win_rate,draw_rate,loss_rate
tactical,10,0.0,0.0,100.0
tactical,20,0.0,0.0,100.0
tactical,30,3.3000000000000003,6.7,90.0
tactical,40,0.0,10.0,90.0
tactical,50,3.3000000000000003,6.7,90.0
tactical,60,6.7,6.7,86.7
tactical,70,3.3000000000000003,6.7,90.0
tactical,90,3.3000000000000003,3.3000000000000003,93.30000000000001
tactical,100,10.0,13.3,76.7
tactical,110,3.3000000000000003,10.0,86.7
tactical,120,13.3,16.7,70.0
tactical,130,23.3,20.0,56.699999999999996
tactical,140,0.0,16.7,83.3
tactical,150,16.7,13.3,70.0
tactical,160,3.3000000000000003,13.3,83.3
tactical,170,3.3000000000000003,20.0,76.7
tactical,180,10.0,13.3,76.7
tactical,190,13.3,6.7,80.0
tactical,200,16.7,30.0,53.300000000000004
tactical,210,13.3,6.7,80.0
tactical,220,20.0,10.0,70.0
tactical,230,16.7,16.7,66.7
tactical,240,20.0,20.0,60.0
tactical,250,20.0,13.3,66.7
tactical,260,40.0,3.3000000000000003,56.699999999999996
tactical,270,23.3,6.7,70.0
tactical,280,13.3,13.3,73.3
tactical,290,23.3,13.3,63.3
tactical,300,23.3,16.7,60.0
tactical,310,26.700000000000003,26.700000000000003,46.7
tactical,320,23.3,6.7,70.0
tactical,330,30.0,13.3,56.699999999999996
tactical,340,26.700000000000003,13.3,60.0
tactical,350,23.3,20.0,56.699999999999996
positional,10,0.0,3.3000000000000003,96.7
positional,20,0.0,3.3000000000000003,96.7
positional,30,3.3000000000000003,10.0,86.7
positional,40,0.0,6.7,93.30000000000001
positional,50,0.0,10.0,90.0
positional,60,3.3000000000000003,0.0,96.7
positional,70,0.0,10.0,90.0
positional,90,3.3000000000000003,10.0,86.7
positional,100,6.7,10.0,83.3
positional,110,6.7,13.3,80.0
positional,120,10.0,13.3,76.7
positional,130,33.300000000000004,16.7,50.0
positional,140,3.3000000000000003,10.0,86.7
positional,150,16.7,3.3000000000000003,80.0
positional,160,6.7,30.0,63.3
positional,170,3.3000000000000003,23.3,73.3
positional,180,16.7,20.0,63.3
positional,190,13.3,13.3,73.3
positional,200,20.0,13.3,66.7
positional,210,13.3,20.0,66.7
positional,220,13.3,13.3,73.3
positional,230,40.0,20.0,40.0
positional,240,16.7,23.3,60.0
positional,250,20.0,10.0,70.0
positional,260,16.7,16.7,66.7
positional,270,20.0,20.0,60.0
positional,280,13.3,23.3,63.3
positional,290,26.700000000000003,16.7,56.699999999999996
positional,300,26.700000000000003,10.0,63.3
positional,310,10.0,23.3,66.7
positional,320,16.7,26.700000000000003,56.699999999999996
positional,330,16.7,16.7,66.7
positional,340,20.0,10.0,70.0
positional,350,20.0,20.0,60.0
