cluster,round,win_rate,draw_rate,loss_rate
tactical,10,0.0,0.0,100.0
tactical,20,0.0,3.3000000000000003,96.7
tactical,30,0.0,3.3000000000000003,96.7
tactical,40,3.3000000000000003,6.7,90.0
tactical,50,3.3000000000000003,10.0,86.7
tactical,60,3.3000000000000003,13.3,83.3
tactical,70,6.7,10.0,83.3
tactical,80,3.3000000000000003,13.3,83.3
tactical,90,3.3000000000000003,10.0,86.7
tactical,100,10.0,10.0,80.0
tactical,110,10.0,13.3,76.7
tactical,120,20.0,13.3,66.7
tactical,130,23.3,6.7,70.0
tactical,140,6.7,23.3,70.0
tactical,150,10.0,6.7,83.3
tactical,160,23.3,10.0,66.7
tactical,170,33.300000000000004,10.0,56.699999999999996
tactical,180,26.700000000000003,13.3,60.0
tactical,190,20.0,13.3,66.7
tactical,200,26.700000000000003,13.3,60.0
tactical,210,20.0,10.0,70.0
tactical,220,20.0,20.0,60.0
tactical,230,20.0,23.3,56.699999999999996
tactical,240,16.7,26.700000000000003,56.699999999999996
tactical,250,16.7,23.3,60.0
tactical,260,20.0,20.0,60.0
tactical,270,26.700000000000003,20.0,53.300000000000004
tactical,280,26.700000000000003,23.3,50.0
tactical,290,30.0,10.0,60.0
tactical,300,30.0,13.3,56.699999999999996
tactical,310,23.3,26.700000000000003,50.0
tactical,320,26.700000000000003,3.3000000000000003,70.0
tactical,330,30.0,23.3,46.7
tactical,340,20.0,16.7,63.3
tactical,350,36.7,26.700000000000003,36.7
positional,10,0.0,0.0,100.0
positional,20,0.0,6.7,93.30000000000001
positional,30,0.0,3.3000000000000003,96.7
positional,40,3.3000000000000003,10.0,86.7
positional,50,6.7,0.0,93.30000000000001
positional,60,3.3000000000000003,3.3000000000000003,93.30000000000001
positional,70,10.0,3.3000000000000003,86.7
positional,80,10.0,20.0,70.0
positional,90,6.7,20.0,73.3
positional,100,10.0,20.0,70.0
positional,110,16.7,6.7,76.7
positional,120,6.7,16.7,76.7
positional,130,13.3,26.700000000000003,60.0
positional,140,23.3,16.7,60.0
positional,150,16.7,16.7,66.7
positional,160,16.7,16.7,66.7
positional,170,16.7,20.0,63.3
positional,180,23.3,20.0,56.699999999999996
positional,190,16.7,16.7,66.7
positional,200,33.300000000000004,6.7,60.0
positional,210,13.3,16.7,70.0
positional,220,20.0,23.3,56.699999999999996
positional,230,23.3,6.7,70.0
positional,240,20.0,30.0,50.0
positional,250,36.7,20.0,43.3
positional,260,23.3,20.0,56.699999999999996
positional,270,16.7,13.3,70.0
positional,280,16.7,10.0,73.3
positional,290,16.7,20.0,63.3
positional,300,16.7,23.3,60.0
positional,310,23.3,30.0,46.7
positional,320,20.0,26.700000000000003,53.300000000000004
positional,330,16.7,23.3,60.0
positional,340,30.0,16.7,53.300000000000004
positional,350,26.700000000000003,23.3,50.0
