cluster,round,win_rate,draw_rate,loss_rate
tactical,10,0.0,0.0,100.0
tactical,20,0.0,0.0,100.0
tactical,30,0.0,10.0,90.0
tactical,40,0.0,3.3000000000000003,96.7
tactical,50,0.0,3.3000000000000003,96.7
tactical,60,0.0,6.7,93.30000000000001
tactical,70,0.0,16.7,83.3
tactical,80,10.0,6.7,83.3
tactical,90,10.0,10.0,80.0
tactical,100,0.0,16.7,83.3
tactical,110,3.3000000000000003,16.7,80.0
tactical,120,16.7,26.700000000000003,56.699999999999996
tactical,130,10.0,20.0,70.0
tactical,140,13.3,20.0,66.7
tactical,150,16.7,13.3,70.0
tactical,160,16.7,13.3,70.0
tactical,170,6.7,26.700000000000003,66.7
tactical,180,23.3,6.7,70.0
tactical,190,13.3,3.3000000000000003,83.3
tactical,200,13.3,13.3,73.3
tactical,210,10.0,13.3,76.7
tactical,220,33.300000000000004,6.7,60.0
tactical,230,13.3,6.7,80.0
tactical,240,36.7,13.3,50.0
tactical,250,20.0,33.300000000000004,46.7
tactical,260,16.7,26.700000000000003,56.699999999999996
tactical,270,33.300000000000004,10.0,56.699999999999996
tactical,280,30.0,10.0,60.0
tactical,290,33.300000000000004,13.3,53.300000000000004
tactical,300,16.7,20.0,63.3
tactical,310,26.700000000000003,16.7,56.699999999999996
tactical,320,30.0,16.7,53.300000000000004
tactical,330,26.700000000000003,20.0,53.300000000000004
tactical,340,20.0,26.700000000000003,53.300000000000004
tactical,350,26.700000000000003,40.0,33.300000000000004
positional,10,3.3000000000000003,0.0,96.7
positional,20,0.0,3.3000000000000003,96.7
positional,30,0.0,3.3000000000000003,96.7
positional,40,0.0,3.3000000000000003,96.7
positional,50,3.3000000000000003,10.0,86.7
positional,60,3.3000000000000003,13.3,83.3
positional,70,10.0,10.0,80.0
positional,80,3.3000000000000003,10.0,86.7
positional,90,6.7,16.7,76.7
positional,100,3.3000000000000003,13.3,83.3
positional,110,6.7,20.0,73.3
positional,120,6.7,16.7,76.7
positional,130,6.7,6.7,86.7
positional,140,23.3,13.3,63.3
positional,150,13.3,3.3000000000000003,83.3
positional,160,13.3,10.0,76.7
positional,170,16.7,13.3,70.0
positional,180,16.7,16.7,66.7
positional,190,33.300000000000004,10.0,56.699999999999996
positional,200,30.0,20.0,50.0
positional,210,26.700000000000003,0.0,73.3
positional,220,26.700000000000003,20.0,53.300000000000004
positional,230,23.3,6.7,70.0
positional,240,26.700000000000003,30.0,43.3
positional,250,33.300000000000004,6.7,60.0
positional,260,20.0,20.0,60.0
positional,270,26.700000000000003,26.700000000000003,46.7
positional,280,30.0,23.3,46.7
positional,290,16.7,26.700000000000003,56.699999999999996
positional,300,20.0,30.0,50.0
positional,310,43.3,16.7,40.0
positional,320,36.7,10.0,53.300000000000004
positional,330,26.700000000000003,20.0,53.300000000000004
positional,340,33.300000000000004,13.3,53.300000000000004
positional,350,30.0,23.3,46.7
