cluster,round,win_rate,draw_rate,loss_rate
tactical,10,0.0,0.0,100.0
tactical,20,0.0,0.0,100.0
tactical,30,0.0,3.3000000000000003,96.7
tactical,40,3.3000000000000003,6.7,90.0
tactical,50,0.0,3.3000000000000003,96.7
tactical,60,13.3,3.3000000000000003,83.3
tactical,70,16.7,10.0,73.3
tactical,80,10.0,6.7,83.3
tactical,90,6.7,6.7,86.7
tactical,100,3.3000000000000003,3.3000000000000003,93.30000000000001
tactical,110,16.7,13.3,70.0
tactical,120,23.3,13.3,63.3
tactical,130,10.0,20.0,70.0
tactical,140,10.0,26.700000000000003,63.3
tactical,150,13.3,6.7,80.0
tactical,160,10.0,6.7,83.3
tactical,170,23.3,10.0,66.7
tactical,180,13.3,36.7,50.0
tactical,190,10.0,20.0,70.0
tactical,200,16.7,6.7,76.7
tactical,210,16.7,23.3,60.0
tactical,220,16.7,6.7,76.7
tactical,230,30.0,20.0,50.0
tactical,240,6.7,16.7,76.7
tactical,250,10.0,23.3,66.7
tactical,260,26.700000000000003,16.7,56.699999999999996
tactical,270,23.3,30.0,46.7
tactical,280,26.700000000000003,30.0,43.3
tactical,290,20.0,20.0,60.0
tactical,300,33.300000000000004,13.3,53.300000000000004
tactical,310,20.0,26.700000000000003,53.300000000000004
tactical,320,13.3,13.3,73.3
tactical,330,23.3,23.3,53.300000000000004
tactical,340,23.3,20.0,56.699999999999996
tactical,350,26.700000000000003,20.0,53.300000000000004
positional,10,0.0,3.3000000000000003,96.7
positional,20,0.0,0.0,100.0
positional,30,3.3000000000000003,0.0,96.7
positional,40,0.0,6.7,93.30000000000001
positional,50,0.0,6.7,93.30000000000001
positional,60,10.0,6.7,83.3
positional,70,3.3000000000000003,10.0,86.7
positional,80,3.3000000000000003,10.0,86.7
positional,90,3.3000000000000003,20.0,76.7
positional,100,6.7,20.0,73.3
positional,110,13.3,6.7,80.0
positional,120,10.0,16.7,73.3
positional,130,13.3,10.0,76.7
positional,140,13.3,13.3,73.3
positional,150,13.3,20.0,66.7
positional,160,23.3,16.7,60.0
positional,170,13.3,16.7,70.0
positional,180,13.3,10.0,76.7
positional,190,20.0,23.3,56.699999999999996
positional,200,30.0,20.0,50.0
positional,210,20.0,16.7,63.3
positional,220,16.7,13.3,70.0
positional,230,23.3,16.7,60.0
positional,240,16.7,20.0,63.3
positional,250,36.7,16.7,46.7
positional,260,20.0,16.7,63.3
positional,270,30.0,26.700000000000003,43.3
positional,280,13.3,20.0,66.7
positional,290,33.300000000000004,6.7,60.0
positional,300,26.700000000000003,16.7,56.699999999999996
positional,310,20.0,20.0,60.0
positional,320,26.700000000000003,13.3,60.0
positional,330,16.7,23.3,60.0
positional,340,23.3,23.3,53.300000000000004
positional,350,30.0,6.7,63.3
