cluster,round,win_rate,draw_rate,loss_rate
tactical,10,0.0,3.3000000000000003,96.7
tactical,20,0.0,0.0,100.0
tactical,30,0.0,10.0,90.0
tactical,40,0.0,3.3000000000000003,96.7
tactical,50,0.0,6.7,93.30000000000001
tactical,60,6.7,10.0,83.3
tactical,70,3.3000000000000003,3.3000000000000003,93.30000000000001
tactical,80,3.3000000000000003,10.0,86.7
tactical,90,6.7,16.7,76.7
tactical,100,6.7,16.7,76.7
tactical,110,3.3000000000000003,23.3,73.3
tactical,120,10.0,23.3,66.7
tactical,130,13.3,16.7,70.0
tactical,140,6.7,16.7,76.7
tactical,150,16.7,10.0,73.3
tactical,160,23.3,3.3000000000000003,73.3
tactical,170,10.0,16.7,73.3
tactical,180,13.3,16.7,70.0
tactical,190,20.0,20.0,60.0
tactical,200,13.3,23.3,63.3
tactical,210,16.7,23.3,60.0
tactical,220,20.0,30.0,50.0
tactical,230,13.3,16.7,70.0
tactical,240,23.3,13.3,63.3
tactical,250,23.3,16.7,60.0
tactical,260,26.700000000000003,20.0,53.300000000000004
tactical,270,30.0,20.0,50.0
tactical,280,33.300000000000004,13.3,53.300000000000004
tactical,290,26.700000000000003,10.0,63.3
tactical,300,30.0,10.0,60.0
tactical,310,16.7,33.300000000000004,50.0
tactical,320,20.0,26.700000000000003,53.300000000000004
tactical,330,26.700000000000003,13.3,60.0
tactical,340,26.700000000000003,13.3,60.0
tactical,350,26.700000000000003,6.7,66.7
positional,10,0.0,3.3000000000000003,96.7
positional,20,0.0,0.0,100.0
positional,30,0.0,6.7,93.30000000000001
positional,40,6.7,13.3,80.0
positional,50,0.0,10.0,90.0
positional,60,3.3000000000000003,13.3,83.3
positional,70,3.3000000000000003,6.7,90.0
positional,80,6.7,13.3,80.0
positional,90,6.7,10.0,83.3
positional,100,16.7,16.7,66.7
positional,110,10.0,20.0,70.0
positional,120,16.7,13.3,70.0
positional,130,16.7,30.0,53.300000000000004
positional,140,20.0,23.3,56.699999999999996
positional,150,16.7,13.3,70.0
positional,160,20.0,0.0,80.0
positional,170,23.3,13.3,63.3
positional,180,13.3,23.3,63.3
positional,190,13.3,23.3,63.3
positional,200,10.0,36.7,53.300000000000004
positional,210,26.700000000000003,10.0,63.3
positional,220,20.0,16.7,63.3
positional,230,26.700000000000003,20.0,53.300000000000004
positional,240,33.300000000000004,6.7,60.0
positional,250,30.0,13.3,56.699999999999996
positional,260,23.3,16.7,60.0
positional,270,16.7,20.0,63.3
positional,280,13.3,26.700000000000003,60.0
positional,290,16.7,23.3,60.0
positional,300,26.700000000000003,16.7,56.699999999999996
positional,310,6.7,46.7,46.7
positional,320,16.7,20.0,63.3
positional,330,30.0,20.0,50.0
positional,340,16.7,30.0,53.300000000000004
positional,350,16.7,13.3,70.0
