cluster,opponent,round,win_rate
tactical,Stockfish-1000,10,0.0
tactical,Stockfish-1200,10,0.0
tactical,Stockfish-1400,10,0.0
tactical,Stockfish-1000,20,0.0
tactical,Stockfish-1200,20,5.0
tactical,Stockfish-1400,20,0.0
tactical,Stockfish-1000,30,0.0
tactical,Stockfish-1200,30,0.0
tactical,Stockfish-1400,30,5.0
tactical,Stockfish-1000,40,10.0
tactical,Stockfish-1200,40,10.0
tactical,Stockfish-1400,40,0.0
tactical,Stockfish-1000,50,10.0
tactical,Stockfish-1200,50,5.0
tactical,Stockfish-1400,50,10.0
tactical,Stockfish-1000,60,10.0
tactical,Stockfish-1200,60,10.0
tactical,Stockfish-1400,60,10.0
tactical,Stockfish-1000,70,15.0
tactical,Stockfish-1200,70,5.0
tactical,Stockfish-1400,70,15.0
tactical,Stockfish-1000,80,15.0
tactical,Stockfish-1200,80,15.0
tactical,Stockfish-1400,80,0.0
tactical,Stockfish-1000,90,0.0
tactical,Stockfish-1200,90,20.0
tactical,Stockfish-1400,90,5.0
tactical,Stockfish-1000,100,30.0
tactical,Stockfish-1200,100,15.0
tactical,Stockfish-1400,100,0.0
tactical,Stockfish-1000,110,15.0
tactical,Stockfish-1200,110,15.0
tactical,Stockfish-1400,110,20.0
tactical,Stockfish-1000,120,30.0
tactical,Stockfish-1200,120,20.0
tactical,Stockfish-1400,120,30.0
tactical,Stockfish-1000,130,30.0
tactical,Stockfish-1200,130,20.0
tactical,Stockfish-1400,130,30.0
tactical,Stockfish-1000,140,20.0
tactical,Stockfish-1200,140,25.0
tactical,Stockfish-1400,140,10.0
tactical,Stockfish-1000,150,15.0
tactical,Stockfish-1200,150,15.0
tactical,Stockfish-1400,150,10.0
tactical,Stockfish-1000,160,50.0
tactical,Stockfish-1200,160,15.0
tactical,Stockfish-1400,160,20.0
tactical,Stockfish-1000,170,20.0
tactical,Stockfish-1200,170,55.0
tactical,Stockfish-1400,170,40.0
tactical,Stockfish-1000,180,45.0
tactical,Stockfish-1200,180,30.0
tactical,Stockfish-1400,180,25.0
tactical,Stockfish-1000,190,35.0
tactical,Stockfish-1200,190,30.0
tactical,Stockfish-1400,190,15.0
tactical,Stockfish-1000,200,35.0
tactical,Stockfish-1200,200,45.0
tactical,Stockfish-1400,200,20.0
tactical,Stockfish-1000,210,10.0
